,utente,commento,hotel,dataIns,rating
372,Joyce-vi,"Posto molto carino, bella location. Struttura rinnovata, camere belle, pulite e arredate in modo semplice ma con molta cura. Colazione buonissima, abbondante con una varietà di torte fatte in casa. Molto gentile il proprietario. Consigliatissimo!",Agriturismo Deviscio,2019-07-05,5 stelle
373,simona v,"Siamo stati in questo agriturismo una notte sola ma ci è bastato per vedere che tutto qui è stupendo! Le camere sono nuovissime e moderne, il giardino fuori rilassante e molto curato, la colazione magnifica! I proprietari Agostino e Chiara ci hanno accolti affettuosamente e sono stati a disposizione per qualsiasi bisogno. Tutto è pensato in modo da coccolare i clienti, dal thè e caffé sempre disponibili agli spazi per il relax, sia fuori che dentro la struttura. Grazie per questo weekend magnifico, non vediamo l'ora di tornare!",Agriturismo Deviscio,2019-07-05,5 stelle
374,Elisa B,Ho conosciuto questo agriturismo perchè venivano degli amici a trovarci a Lecco e non potendoli ospitare hanno trovato sistemazione in questo meraviglioso posto.A parte la cortesia dei titolari ( cosa ormai rara da trovare in generale) ma la bellezza della location e la cura con cui è stato costruito questo luogo sono veramente incantevoli! Le stanze sono pulitissime e pur avendo uno stile moderno riescono a mantenere il sapore del rifugio di montagna. La posizione è ottima sia per il panorama che per la vicinanza al centro della città.Andateci e sarà una piacevole sorpresa!!! Ciao Elisa,Agriturismo Deviscio,2019-07-05,5 stelle
375,francesco b,Abbiamo ricevuto un accoglienza e un pernottamento davvero stupendi.. poi la colazione è molto buona. Camere moderne struttura fatta da poco ma molto ben curata. Che aggiungere.. ci torneremo presto. Ringrazio tutti per l ospitalità mostrata,Agriturismo Deviscio,2019-07-05,5 stelle
376,Valerio G,"Siamo stati all'agriturismo Deviscio solamente per una notte ma è stata una delle migliori esperienze in strutture di questo tipo. Tutto è stato perfetto, dall'accoglienza alle sistemazioni, al servizio. Il punto forte è decisamente la posizione, immerso nella natura sopra la cittadina di Lecco, con vista panoramica sulla città e sul lago ma con il fresco della montagna!Sicuramente il soggiorno merita più di una notte. Suggeritissimo!",Agriturismo Deviscio,2019-07-05,5 stelle
377,Stefania R,"Siamo stati ospiti dell'agriturismo per il ponte del 2 giugno, la struttura è perfetta pulitissima ed accogliente nelle stanze non manca nulla sopratutto quella con cucina.Silenzio e natura più l'ottima accoglienza e compagnia del proprietario Agostini estremamente gentile ed ospitale; per non parlare della colazione deliziosa e abbondante con le marmellate e le torte fatte da loro squisite!Un'esperienza che rifarei domani!!!",Agriturismo Deviscio,2019-07-05,5 stelle
378,Maria Pia,"Abbiamo trascorso due notti in questo splendido posto. I titolari sono gentilissimi e molto disponibili a dare consigli ed informazioni. La stanza e' accogliente ed arredata con gusto, il bagno comodo e fornito di tutto quello che serve. Struttura nuova ed immersa nella natura, ma comodissima perché' si arriva in centro in 15 minuti. Ottima colazione, varia, ricca e con prodotti genuini. Speriamo di ritornarci presto!",Agriturismo Deviscio,2019-07-05,5 stelle
379,Eddy P,"Io e il mio amico Alessandro abbiamo soggiornato una notte della scorsa settimana in questo bellissimo e accogliente bed and breakfast. Struttura nuova, pulita e accogliente. Anche la camera in cui siamo stati è arredata con gusto, in più il bagno risultava ampio e confortevole. La colazione al mattino è stata abbondante e in più abbiamo assaggiato 2 torte fatte in casa. Grazie inoltre per la cortesia e disponibilità che il signor Agostino ci ha riservato.Consigliatissimo!",Agriturismo Deviscio,2019-07-05,5 stelle
380,Valerio,Posto fantastico struttura nuova e pulita personale gentile e disponibile colazione buonissima la struttura è geograficamente ideale per spostarsi comodamente in città senza usare mezzi di trasporto..,Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
381,Dorita P,"Non molto distante dal centro, ma vicinissimo all’ospedale.. questo B&B ha superato le mie aspettative.. la gentilezza e cortesia del personale non ha prezzi, disponibili in tutto. Ottima e abbondante la colazione. Lo consiglio. Ci tornerò sicuramente. Grazie ",Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
382,MatteoEsse77,"Non ci sono altre parole se non meraviglioso, per descrivere questo B&B. Situato poco lontano dal centro, abbastanza da non dormire vicino al traffico ma non così tanto da non poterlo raggiungere agevolmente a piedi o in bicicletta (tra l'altro è previsto anche il noleggio di biciclette elettriche), questo bed & breakfast dispone di camere ampie ed arredate gradevolmente e soprattutto pulite. Mia moglie è allergica alla polvere e non ha mai tossito né starnutito una volta durante il nostro soggiorno. So che sembra una stupidata, ma chi ha questo tipo di allergia può capire. Mi sento in dovere di spendere qualche parola anche nei confronti di Federico, il titolare, e dei suoi genitori  per l'umanità e la disponibilità nei confronti dei clienti. Sempre sorridenti, attenti, disponibili e umili.  Grazie di cuore, siete meravigliosi. …",Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
383,girolamo,"Ero come al solito in giro per lavoro e grazie ad un mio caro amico mi è stata indicata questo bed and breakfast, stupendo,moto accogliente,molto pulito e curato,il personale molto gentile e disponibile,la sala colazioni molto curata e funzionale,i letti comodissimi e camere attrezzate di comfort,sono stato davvero bene anzi benissimo,grazie al personale della gestione, complimenti per il vostro bed and breakfast che curato da voi è proprio una perla nel cuore di Lecco,lo consiglio a tutti...…",Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
384,mAmbra,"Di questo B&B abbiamo apprezzato la pulizia e il confort delle camere. Ma soprattutto la cortesia del titolare, disponibile e professionale.  Sonno sereno in una zona tranquilla vicina al centro ma fuori dal traffico. Colazione varia e buona. Consigliato!!",Polvara Trentuno Bed & Breakfast,2019-07-05,4 stelle
385,Anto62,"Situato lungo una via non proprio centrale di Lecco , che  consente di parcheggiare comodamente, si rileva una bella scoperta una volta che sei ospite della struttura. Camera confortevole e pulitissima cosi come la stanza da bagno.A questo si aggiunge un proprietario prodigo di consigli sul circondario e di una disponibilità difficile da trovare.Ci ha permesso di trascorrere il nostro scampolo di vacanza risolvendoci un inconveniente che abbiamo avuto con l'auto. Grazie ancora Federico  per la gentilezza e  anche per l'ottima colazione.",Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
386,debora c,"In una zona molto tranquilla con camere silenziose anche se con le finestre sulla strada, è molto accogliente e pulito con arredamento nuovo e curato.A cinque minuti di macchina il centro di Lecco.Facile parcheggio anche se non c’è un posto riservato ai clienti.La colazione molto buona e varia con disponibilità anche di caffè e cappuccino preparati al momento nella sala colazione.Personale gentilissimo.Ottimo rapporto qualità/prezzo",Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
387,FRANKeANTO,"Camera di dimensioni standard,molto pulita,bagno confortevole con doccia.Colazione super con frutta e prodotti dolci di qualità e la chicca delle torte e crostate preparate da loro.Proprietari simpatici, gentili, disponibili.Ubicazione vicino ad un parco giochi molto attrezzato e pulito, a 5 minuti in macchina dal centro e a 15 minuti a piedi dal caratteristico borgo di pescarenicoNelle vicinanze della struttura si trova facilmente parcheggio per la macchinaZona tranquilla di notteChe aggiungere?",Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
388,Stefania M,"Pulizia, ampiezza della stanza e del bagno, cortesia dello staff, colazione abbondante, aria condizionataVicino al centro Ottimo appoggio per qualsiasi attività in città e nei dintorni Da ritornarci Sicuramente",Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
389,marco89na,"Abbiamo alloggiato nel Polvara 31 B&B per il famoso Nameless Festival e siamo rimasti stupiti da subito. Le camere veramente molto ben fatte e organizzate, c'è persino l'asciugacapelli nelle stanze. Tutto molto ordinato e pulito.Colazione abbondante e tutto molto buono.Il sig. Federico è di una gentilezza e disponibilità incredibile.Avrei molte belle cose da elencarvi a riguardo ma credo che è meglio che vivete dal vivo qualora siete diretti a Lecco.Consiglio col cuore questa struttura che è veramente molto ma molto valida!",Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
390,GrandeZonco,Per uno che sta spesso in giro ...sentirsi a casa é semplicemente FAVOLOSO !!!Complimenti.Carina la stanza e confortevole.Ottima la colazione.Gentilezza e cordialità il cavallo di battaglia.Ci ritornerò e lo consiglio.,Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
391,Ensha,"Ho pernottato in questa struttura una sola notte ed è stato come dormire in camera mia a casa! Stanza dotata di tutti i comfort ed arredata con tanto gusto, bagno ampio e gradevole! Possibilità di parcheggiare gratuitamente nei pressi! Ma soprattutto proprietari molto disponibili e gentili! Ci tornerò sicuramente!",Polvara Trentuno Bed & Breakfast,2019-07-05,4 stelle
392,SilviaeBruno,Si resta increduli dalla gentilezza e disponibilità di Federico e Patrizia.. l 'appartamento ha tutto il necessario .. la colazione è ricca di cose genuine sia dolci che salate.. peccato solo 5 stelle ne avrei date 10... piccolo gioiello di ospitalità.,Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
393,7777Krissy,"Sono stata in questa struttura a fine gennaio. Il proprietario è venuto a prendermi in stazione. L'appartamento è ristrutturato, molto accogliente. C'è tutto ciò di cui si può aver bisogno. Addirittura mi ha fatto trovare due bottiglie di acqua , cosa che ho molto apprezzato visto che sono arrivata di sera tardi.La zona è tranquilla e silenziosa. L'appartamento è dotato di riscaldamento.",Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
394,Alessio N,"Pernottato per una notte sola. Luogo molto tranquillo, il personale si é subito dimostrato gentile e cordiale. La camera devo dire molto spaziosa, bagno molto grande con i sanitari rialzati, tv a schermo piatto e oltre a i 2 letti era presente anche una poltroncina. Forse il letto aveva un materasso troppo duro, ma con il sonno che avevo non ho avuto problemi. La colazione non era abbondante, erano presenti dei biscotti, una crostata e una torta, dei cornetti e marmellate varie con  fette biscottate. Per una notte andava più che bene.",Polvara Trentuno Bed & Breakfast,2019-07-05,4 stelle
395,Giuseppe418,Ho soggiornato 4 notti con mia moglie e mi sono trovato benissimo. Camera e bagno spaziosi e ben rifiniti. Molto buona e varia la colazione. Molto gentile e disponibile il proprietario. Ottima la posizione Lo consiglio,Polvara Trentuno Bed & Breakfast,2019-07-05,4 stelle
396,arbitercibor,"Ho soggiornato con la mia compagna in questo affittacamere per una sola notte ma il ricordo piacevole resterà a lungo.Camere spaziose, confortevoli, rifinite in ogni minimo dettaglio. Colazione ottima e di qualità. Ambiente molto discreto e famigliare. Ho apprezzato inoltre moltissimo la disponibilità del proprietario che si è preso cura di noi in ogni modo possibile. Ben oltre la semplice ospitality, un vero ed egregio padrone di casa.Tutto molto positivo. Non posso che consigliarlo.",Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
397,Phil-Ila,Sono stato in questa deliziosa struttura per visitare il Lago e dintorni..situato in posizione strategica..silenzioso e molto carino..camera pulita..colazione ottima ed abbondante..gestore simpatico e professionale..CONSIGLIATO!!,Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
398,CarlaLetizia,"L'accoglienza è molto calorosa, sorridente e cordiale. Sbrigate le formalità di registrazione salgo in camera e la trovo spaziosa, con due belle finestre, pulitissima, ben arredata con mobili di legno chiaro, fornita di armadio grande e pulito, televisore, wi-fi, bollitore con bustine di tè e nescafè, frigobar con una bottiglia d'acqua gentilmente offerta, letto comodo con materasso duro al punto giusto, lenzuola candide.Il bagno è grande, con una porta-finestra che dà sul balcone; in un piccolo cestino blu è fornito il set di cortesia per la pulizia personale, completato dal set di asciugamani e da comodissime salviette di carta. La doccia è ricavata in un angolo separato da un muro alto, dunque è spaziosa tanto quanto il bagno, perlomeno in lunghezza: è quasi un altro locale a sé stante. Non mancano ripiani e ganci e un grande termosifone scalda asciugamano.La colazione è molto mattiniera e offre torte, yogurt, caffè, tè, latte, cereali, marmellate, fette biscottate, croissant e non so quante altre possibilità; io ho assaggiato la torta margherita e la pastiera napoletana, entrambe perfette, accompagnate da un caffè espresso corposo e cremoso. Ho soggiornato qui per una sola notte, ma se tornerò a Lecco sicuramente tornerò qui a provare ancora questa accoglienza accurata, professionale e calorosa.",Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
399,napoletana79,"B&B ottimo da ogni punto di vista camere belle e pulite,colazione egregia e per chi arriva con la bici servizio ricovero ideale. Gestore gentile e disponibile , soggiorno meraviglioso... la struttura è vicina al centro. CONSIGLIATISSIMO!",Polvara Trentuno Bed & Breakfast,2019-07-05,5 stelle
400,Laura&Franco M.,...abbiamo scelto questa struttura che è stata rinnovata molto recentemente ed in modo radicale!!!! Gentilissimo e disponibilissimo il titolare!!!! Unica micro pecca nella prima colazione ma proprio a voler trovare un neo......,Affittacamere Solosonno,2019-07-05,4 stelle
401,Samuel F,In data 13/05/2018 mi reco in questo b&b per prenotare una camera. Appena davanti la porta con nemmeno campanello. Mi apre non un receptionist ma una cameriera che appena prima di aprire la porta ad alta voce sussurra: ma chi sono questi. NON MI SEMBRANO MODI DI ACCOLGIERE UN POTENZIALE CLIENTE. Per chi ha voglia di lavorare. Aggiungo che non sono nemmeno entrato ho girato le spalle e ripreso la macchina. Bruttissima esperienza.…,Affittacamere Solosonno,2019-07-05,1 stelle
402,Luca O,Partiamo camere fredde stufe che non funzionano aria calda non c'è freddissimo polvere sporcizia varia bagni comuni sporchi occupati io residente a lecco ma con carta di identità fatta a Pompei tasse non dovute e non concordate pee pernottare in più stanze a piani alti al 3 io faccio fatica e lei risponde alla 1 di notte e così vada e basta per non parlare della colazione inclusa 0 cornetti 0 servizi cose fredde e un più di bassissima qualità uno schifo enorme non lo consiglio a nessuno carissimo il conto alla fine tra cose non dovute polvere animali morti e freddo mio dio non andateci. …,Affittacamere Solosonno,2019-07-05,1 stelle
403,SilviaSaluz,"Ho inizialmente prenotato questo b&b tramite booking, ci è stato consigliato dall'ospedale di Lecco, per un intervento chirurgico di mia mamma. Sperando in disattese attenzioni ed in un servizio decente, ho successivamente contattato il proprietario del bb ( gentilissimo al telefono) informandolo che avrei volentieri prenotato direttamente con lui e cancellato la prenotazione con booking. Ha ovviamente accettato volentieri, così non doveva piu alcuna commissione di prenotazione a booking..! Premetto che già la visita non era di piacere, ma per intervento chirurgico ad un piede, ed i miei genitori sono letteralmente scappati una volta effettuato l'intervento: -per arrivare alla camera ci sono 2 rampe di scale senza ascensore! -arredamento fatiscente e buio, ok se non è rinnovato come gli altri ma non si tollerano comodini e cassetti male odoranti -puzzo di fumo nella camera -cuscino di riserva con federa sporca (usata?) -vasca scivolosa e vecchia con filo per farsi la doccia troppo corto -un asciugamano macchiato -colazione con prodotti secchi, non freschi -addetta all'accoglienza e alla distribuzione del caffe veramente poco comunicativa Anche la vicina di camera ( in una camera tra quelle rinnovate ) si è lamentata della struttura... Al giorno d'oggi per Euro 60,00 a notte, a camera, si trovano b&b più che decenti e confortevoli. Sconsiglio vivamente di recarsi al Solosonno, soprattutto se la visita non è di piacere ma per la salute!Buona solo la posizione adiacente all'ospedale.…",Affittacamere Solosonno,2019-07-05,2 stelle
404,Tripadvis0r007,"Prenotiamo in fretta ,pronti via prezzo 30€ a testa due camere e bagno in comune   Camere senza monodosi(shampoo,bagnoschiuma,sapone o dentifricio)  Il bagno in comune aveva 2 rotoli di carta igienica e un sapone per le mani, anche quello in comune   Il regolamento dice check out ore 11:00 Alle 9:20 si presenta la persona che si occupa delle pulizie esclamando: ""ma qui dormono tutti ,uffa!!!""  Due minuti dopo sale la proprietaria che invita a lasciare la camera entro mezz'ora aggiungendo  :""anche prima se potete ""  Lascio così con totale disprezzo a tempo record una stanza   Servizio  per la colazione non utilizzato Proprietaria vista solo per intascare cash i soldi senza fattura e sentita solo attraverso la porta alle 9:30 per la levata degli alpini  Tutta la struttura camera compresa è sprovvista di sistemi per la rilevazione di fumi per incendi   Tutto condiviso ospiti e condomini(simpatiche vecchiette del lago di Lecco) nello stesso palazzo ,Bagno e sapone condiviso  Morale:la levata degli alpini condivisa   Minifrigo in stanza:senza tessera per la camera rimane spento   …",Affittacamere Solosonno,2019-07-05,2 stelle
405,ninetta56,"Ho soggiornato una settimana in camera doppia con bagno privato, pulito a stento.Buona la posizione, pessima l'accoglienza e molto scarsa la colazione. Rapporto qualità/prezzo assolutamente sconveniente(si paga anche l'aria che si respira). Non consiglierei a nessuno di soggiornare in questo posto.",Affittacamere Solosonno,2019-07-05,1 stelle
406,Leonardo F,"Cominciamo dal Bene:Camera ben insonorizzata dall' esterno, ampia e moderna.  A pochi passi dal centro, dal lago e dalla stazione ferroviaria.Male:Pulizia della camera scarsa, colazione sufficiente. La signora addetta alla gestione, poco cordiale e poco ospitale.Abbiamo chiesto la carta igienica perché eravamo senza e per averla abbiamo andare in cerca della signora e richiederla nuovamente, abbiamo dovuto chiedere anche degli asciugamani puliti.Giriamo spesso per strutture del genere e le pulizie ed il cambio asciugamani ce lo hanno fatto sempre tutti i giorni.",Affittacamere Solosonno,2019-07-05,3 stelle
407,Elena84,"Ho soggiornato due notti in una stanza stanza doppia con bagno privato. La stanza (Girasole) e il bagno sono molto spaziosi e c'è pure un terrazzino, l'aria condizionata e il phon. Gli ambienti sono molto puliti, la zona e lo stabile sono tranquilli e il personale è gentile e disponibile (per ezempio, ho potuto fare colazione prima dell'orario stabilito). Infine, è situato a pochi minuti a piedi dal lungolago e dal centro città e a circa un quarto d'ora dalla stazione.",Affittacamere Solosonno,2019-07-05,5 stelle
408,Tommy B,"Ciao a tutti,ottime camere dal punto di vista estetico,ma colazione scadente visto il costo delle camere...siamo scesi alle nove e ci hanno comunicato che le persone prima avevano finito quasi tutto e non avevano da ricaricare il tavolo...visto il costo é meglio che vi attrezzate in modo migliore perché nel prezzo della camera é compresa la colazione!!ora vado al bar!",Affittacamere Solosonno,2019-07-05,2 stelle
409,mariellabro,"A mio avviso si paga un pò troppo per il servizio fornito. La posizione è ottima, le camere sono belle e spaziose (anche se in doccia vi è della muffa) però la colazione è TERRIBILE !!! Meglio pagare 10 EUR in meno e non farla direttamente perchè è veramente povera. Consiglio quindi di migliorarla e mettere anche un MINI bagnoschiuma in bagno ( siam dovuti andare a comprarlo). Agendo su questi dettagli allora vale la pena spendere 40 EUR+ tassa a notte... altrimenti no!",Affittacamere Solosonno,2019-07-05,3 stelle
410,palermitano1,Sono stato ospite in questo B&B e devo  dire che mi sono trovato  molto bene. Camere molto accoglienti e dalla pulizia accurata. Lo consiglio molto anche per la posizione a 5 minuti a piedi dal centro della bellissima Lecco.,Affittacamere Solosonno,2019-07-05,5 stelle
411,Yleniav89,"ho trascorso tre giorni e due notti al b&b. È a meno di due minuti a piedi dalla clinica Mangioni e a dieci minuti esatti dalla stazione dei treni, con fermata del bus a ""portata di mano"". La stanza era bellissima e confortevole. L'unica cosa che non ho gradito quando avevo bisogno di un po' più di luce era quella soffusa di cui la stanza era fornita (piacevole comunque perchè rilassante). Gli asciugamani erano morbidissimi. Pulizia impeccabile. La connessione ad internet funziona benissimo.La colazione è sufficiente, ma dal mio punto di vista non c'è molta scelta.Il proprietario e la ragazza che si occupa della colazione sono gentilissimi ed affabili.Ci tornerei e lo consiglio, soprattutto a chi è interessato alla clinica (ps la struttura è convenzionata con quest'ultima).Grazie per l'ospitalità e la cordialità.",Affittacamere Solosonno,2019-07-05,4 stelle
412,chino85,"È un affitta camere che per quanto riguarda pulizia e cortesia da il giro a molti 4 stelle. Bagni appena rifatti, spaziosi ed eleganti nella loro semplicità. Camere luminose e colorate. Posizione ottima per visitare il lago. Da apprezzare la disponibilità del gestore",Affittacamere Solosonno,2019-07-05,5 stelle
413,Aldo L,"Soggiorno molto soddisfacente. Camera attrezzata. Ottima la pulizia della struttura Prima colazione completa. Personale di servizio gentile e disponibile. In pieno centro lecchese. Facile da raggiungere, anche a piedi dalla stazione fs",Affittacamere Solosonno,2019-07-05,5 stelle
414,Patrizia Del Gatto,"Personale gentile, camere pulite e spaziose. La nostra aveva un bagno carino ma anni '70, però le altre sono state tutte ristrutturate.Unico neo, come detto da altri recensori, non c'è il bagno schiuma, ma direi che si tratta di una pecca davvero piccolina rispetto alla pulizia della camera e della biancheria. E poi c'erano due bottigliette d'acqua a disposizione in fresco nel frigo!SI trova proprio nel centro di Lecco in una zona di parcheggio gratis (certo, bisogna trovare!) a pochi passi dal lago.Colazione semplice a buffet... come a casa.",Affittacamere Solosonno,2019-07-05,4 stelle
415,Joy S,"Costo per una notte 80 euro+2 euro di tasse di soggiorno. La stanza era grande, grande anche il bagno con una bella doccia. Non abbiamo trovato però saponi e bagnoschiuma. Per fortuna avevamo portato i nostri personali. Abbiamo preso una camera con vista, ma di vista ce n'è veramente poca, solo un piccolo squarcio di lago. La colazione non offre tanta scelta: caffè, latte, succo d'arancia, un crossaint, del pane bianco, nutella, marmellata, biscotti. Non ci sono le pinze e devi usare le mani.Non sono riuscito a connettermi al wifi. Buona posizione rispetto al lago. Tutto sommato il giudizio è positivo, ma vista la somma pagata ci aspettavamo qualcosa di meglio.Dipende dalle pretese che uno ha.",Affittacamere Solosonno,2019-07-05,3 stelle
416,915pippo056,"Siamo stati 4 notti in questa struttura ma abbiamo trascorso nottate di caldo insopportabiei, in quanto la stanza era fornita di un semplice ventilatore che, non poteva certo risolvere il caldo dei 40° ! La colazione è risultata povera e poco attrezzata, mancavano semplici pinze per biscotti e pancarrè che bisognava perciò prendere tutti con le...mani.Il personale è risultato assente.",Affittacamere Solosonno,2019-07-05,2 stelle
417,claudia p,"In posizione centrale a Lecco, vicinissimo ad un parcheggio a pagamento cui è convenzionato al costo di 15 euro al giorno. Composto da tre piani senza ascensore( se avete figli chiedete espressamente camere ai piani inferiori). Camera spaziosa, arredata a nuovo. Ampio bagno ben rifinito. Nei mesi estivi le camere risultano essere un po' troppo calde.. Avrete a disposizione un ventilatore. Non è presente l'aria condizionata. Colazione autogestita essenziale con fette biscottate, brioche e biscotti tutti confezionati; nulla di fresco. Piacevole la terrazza dove è appunto possibile fare colazione. Nel complesso lo consiglio.",Affittacamere Solosonno,2019-07-05,4 stelle
418,Marco T,Dovendomi fermare a Lecco per una sola notte ho trovato questa struttura ed è stata una piacevole sorpresa.Stanza bene arredata ed accogliente con anche un frigobar.Bagno spazioso con una ampia doccia.Si trova vicinissimo al centro 500 metri del lungo lago.il locale colazione era in ordine ed adeguatamente rifornito.Unico neo la scarsa illuminazione della stanza,Affittacamere Solosonno,2019-07-05,4 stelle
419,marcobologna2206,"Fu un esperienza indimenticabile. Mi mandarono a scaricare in furgone  proprio  a lecco ma arrivai di notte. Era tutto deserto e chiedendo in un bar mi diedero il numero di questo affittacamere. Era notte e il titolare venne ad aprirmi ugualmente. Gentilissimo,massima pulizia e davvero tutto nuovo. La mattina apro la finestra  e scorgo un po del lago,un campanile in azione e le montagne... che grandissimo spettacolo. Non so se il titolare si ricordera di me ancora ma lo voglio  ringraziare ancora  tanto. Capitó tutto nel 2011/2012!!!!",Affittacamere Solosonno,2019-07-05,5 stelle
420,angelica478,"Allora inizio dicendo che è stata una bella esperienza , il b&b è molto pulito e rispondente alle foto ma ho tolto 2 punti al punteggio totale per 2 ragioni:in primis avevo chiesto specificatamente la possibilita' di un parcheggio nella villa e mi era stato detto di si, ma poi arrivati in loco scopro che i 2/3 parcheggi disponibili erano già occupati quindi siamo stati cortesemente direzionati in un parcheggio pubblico ,non proprio di fronte la villa ..anzi con una salitina che di sera dopo cena non è proprio piacevole..per fortuna almeno non è piovuto! Il punto non sta nella vicinanza o meno del parcheggio ma nella non chiarezza della padrona la quale poteva tranquillamente dirmi che il parcheggio c'era ma non privato e non visibile dalla villa, tutto qui, mi sembrava rispettoso da parte sua fare questa precisazione in modo da poterci dare la possibilità di scegliere  se optare per questa struttura con parcheggio pubblico con salita o un'altra soluzione con parcheggio privato cosi come avevo chiesto. Tralascio anche il fatto che siamo rimasti per 2 notti e in entrambi i casi siamo rimasti fuori perchè ""qualcuno"" chiudeva una delle porte d'uscita che doveva rimanere aperta e noi non si aveva la chiave in questione...il problema si è risolto perchè in entrambe le sere siamo rientrati non oltre le 22 per cui suonando il citofono la padrona ci ha aperto, ma mi chiedo... se fossimo tornati alle 2 di notte sarebbe stato ugualemente facile?Comunque, non è stato questo il punto per cui Martin perse la cappa, la questione riguarda la cifra davvero elevata richiesta per una colazione : 15 euro per una colazione , per 2 persone, mi sembra davvero giustificabile solo nel caso in cui si garantisce un ricco buffet con prodotti di alta pasticceria o prodotti caserecci... . e non era questo il caso ! Il giorno dopo siamo andati in un bar del centro e la colazione con cornetto, cuppuccio e succo di arancia è costata 4 euro ciascuno....fate vobis....…",Villa Puccini B&B,2019-07-05,3 stelle
421,avventuriero,"Arrivati si è incantati dalla bella struttura e dall'arredamento ma le camere sono rumorosissime, tanto da sentire gli altri ospiti parlare, andare in  bagno etc.. Il centro è lontano e bisogna sempre usare l'auto e il parcheggio è pure distante. La colazione è pessima, scarsa la scelta e la qualità dei prodotti (brioches e torte stantie messe li da almeno 2 giorni).. Puzza nell'atrio e nel bagno. Padrona di casa nervosetta che attendeva ogni volta che entrassimo in camera per spegnere le luci.. pure la sera tardi.. Se potete EVITATE!…",Villa Puccini B&B,2019-07-05,1 stelle
422,Girovaghi,"Dovevamo soggiornare in questa, a prima vista, meravigliosa struttura, due giorni ma dopo una notte praticamente insonne, siamo scappati!!! Le camere al piano terra sono tre e da ogni camera si sente tutto quello che fanno gli altri ospiti (anche respirare.. figuriamoci parlare, andare in bagno, aprire l'acqua o lo sciacquone!!!). È come se non fossero separate dai muri, ma comunicanti! Non solo... colazione pessima: brioches di cartone, durissime e pezzi di torta o di girella malfermi! Puzza di cane nell'atrio e puzza di fogna nel bagno! E dulcis in fundo padrona che, anche lei all'inizio sembra gentile e premurosa, ma antipaticissima e che spegne ogni volta le luci nell'entrata... Quindi.. non fatevi ingannare dalla bellezza della casa e dai suoi interni veramente favolosi... a meno che non siate sordi o vi portiate la colazione da casa!!!…",Villa Puccini B&B,2019-07-05,1 stelle
423,Giuseppe C,"Ottima camera, spaziosa, bel bagno. Struttura scomoda da raggiungere e parcheggio distante. Colazione pessima con prodotti acquistati al discount. Brioches (probabilmente del tipo confezionato) riscaldate con il microonde (una o era del giorno prima o è stata scaldata troppo era indurita)…",Villa Puccini B&B,2019-07-05,3 stelle
424,Silvia S,"Sulle colline di Lecco, in una villa storica. Noi eravamo in una camera familiare enorme e comoda. Possibilità di fare colazione in struttura. Wifi. Proprietaria disponibile a dare consigli e indicazioni. C'è un simpatico cagnolino a fare compagnia. Ottimo rapporto qualità prezzo. …",Villa Puccini B&B,2019-07-05,5 stelle
425,Cristina P,"Una villa adibita a b&b, camere molto spaziose e particolarmente pulite, parcheggio nel giardino interno e proprietaria gentilissima! Consigliato per l'ottimo prezzo e per la posizione ottima per Lecco.",Villa Puccini B&B,2019-07-05,5 stelle
426,RossellaGiancarlo,"Week end rilassante nella bella Lecco. La struttura è stata comoda e ideale per questi 2 giorni.Ci hanno accolti la padrona del B&B, molto gentile e disponibile e il suo fidato cagnolino molto simpatico.Consigliamo questa struttura a coppie.",Villa Puccini B&B,2019-07-05,5 stelle
427,Lorenzo B,Abbiamo trascorso un weekend pernottando una notte tutto curato e delizioso i gestori disponibili a dare tutte le informazioni necessarie per il soggiorno la stanza molto pulita con il bagno fornito di tutto il necessario anche gli accappatoi consigliato,Villa Puccini B&B,2019-07-05,4 stelle
428,dodotella,Il pesonale è molto cortese e disponibile. Villa situata in zona tranquilla con bella vista.simpatica l'accoglienza di uno splendido cucciolo di cane. Lo consiglio per un soggiorno sereno ed intimo lontani dal caos.,Villa Puccini B&B,2019-07-05,4 stelle
429,r0c02016,Bellissima Villa in stile in posizione tranquilla.Lussuosa camera con balcone e bagno. Cura dei dettagli e ottima pulizia. Panorama. Ottima e abbondante colazione. Gentilezza della proprietaria. RACCOMANDIAMO!!!,Villa Puccini B&B,2019-07-05,5 stelle
