,utente,commento,hotel,dataIns
440,gywa07,"un ottimo hotel , ottimo in tutte le sue caratteristiche , la camera era spaziosa e pulita , con letto doppio , tavolo , sedie , divano , guardaroba , tante prese elettriche e la TV satellitare , la doccia molto grande e il bagno provvisto di tutte le necessità , il tutto immerso nel silenzio , ottima la colazione e anche il ristorante propone dei buoni piatti…",Genusshotel Goldene Rose,2019-07-05,5 stelle
441,Stefania.r.82,"Siamo appena rientrati da un soggiorno presso questo hotel e già sentiamo la mancanza del posto. in posizione centralissima e nel centro pedonale di Silandro vicinissimo a tutto: bar, negozi, edicola, ristoranti e a 10 minuti dalla stazione del treno. Camere pulitissime e molto accoglienti, letto comodissimo e cuscini morbidissimi. la nostra camera aveva un piccolo balcone molto comodo anche se c'era una balconata comune con lettini dove potevi fermarti per rilassarti. Area relax bella e con tutto;  Ristorante: cibo ottimo e molto vario per non parlare della colazione che c'era l'imbarazzo della scelta. Tutti molto cordiali e gentili.…",Genusshotel Goldene Rose,2019-07-05,5 stelle
442,Fany_Viaggi,"Posizione centrale, camere moderne, accoglienti e pulitissime...I ""padroni di casa"": Thomas ed Agnese simpatici e sempre disponibili. L'intero staff  cortese  ed efficiente. Torneremo sicuramente anche il prossimo anno Livia e Riccardo",Genusshotel Goldene Rose,2019-07-05,5 stelle
443,Erika G,"È già la terza volta che torniamo in questo splendido Hotel situato nel cuore di Silandro. Questo hotel è eccellente in ogni suo aspetto: camere pulitissime, moderne e molto accoglienti. Tutto il personale estremamente gentile e attento. Colazioni ricche e con una vasta scelta di dolce o salato.  Cene curate nella scelta dei menu, nella presentazione e nella preparazione sempre ottima, di altissimo livello.  È un piacere ogni volta sedersi a tavola!  Grazie ancora per avere reso unica la nostra vacanza, tra paesaggi mozzafiato e il “sentirsi a casa”!…",Genusshotel Goldene Rose,2019-07-05,5 stelle
444,dbenecchi,"ottimo servizio, titolari e personale molto cortesi e disponibili. Ospitalità anche per il cane di famiglia. Giudizio ottimo anche riguardo alle camere ed alla location in centro al paese di Silandro.",Genusshotel Goldene Rose,2019-07-05,5 stelle
445,Gianni C,"Siamo stati benissimo ottimo Luogo per staccare la spina e passare qualche giorno sereno Hotel in zona pedonale ma accessibile senza problemi,accogliente , stanze molto curste, ristorante ottimo i proprietari e tutto  lo staff gentilissimi  Torneremo",Genusshotel Goldene Rose,2019-07-05,5 stelle
446,dorastefi,"Abbiamo trascorso cinque giorni in questo hotel, nel centro di silandro La colazione e' abbondante  e varia con dolce e salato e la cena ottima e sempre curata  nei minimi particolariLa camera spaziosa e pulitissima con ampia doccia, balconcino,  ed e' possibile usufruire del garage chiuso dell'hotel, visto che noi eravamo con la moto.La struttura e' molto bella e curata nei minimi particolari, e abbiamo apprezzato la cortesia e la professionalita' di tutto lo staff e dei titolati Thomas e Agnese.ASSOLUTAMENTE CONSIGLIATO!!!!",Genusshotel Goldene Rose,2019-07-05,5 stelle
447,Emilio P,Non ho trovato posto vicino a N’erano e mi sono avventurato nei dintorni. Ottima scelta Hotel molto bello e caratteristico con un ristorante tipico in abbinata. Il personale è molto cordiale e disponibile. Mi sono sentitosi casa!,Genusshotel Goldene Rose,2019-07-05,5 stelle
448,Andrea D,"Probabilmente uno dei migliori hotel dove abbia mai soggiornato.Per la qualità della camera (suite eccelsa!), la cortesia e la professionalità dello staff (impagabili!), per la location (centro pedonale - ma raggiungibile con i propri mezzi - nel cuore di Silandro), per la colazione (quantità e qualità al buffet con pochi paragoni). Biker friendly, si aggiunga, visto che dispone, oltre che di un proprio parcheggio privato, di un ampio garage per bici e, appunto, moto. Non abbiamo avuto modo di testare il centro benessere (impegnati come eravamo a scorrazzare per i dintorni, magnifici), ma siamo stati coccolati ampiamente durante il nostro soggiorno. Prenotate per tempo visto che la reputazione ottima lascia spesso ben poche camere a disposizione. Onestissimo il rapporto qualità prezzo. Solo due parole, per chiudere: Complimenti, Grazie!!!",Genusshotel Goldene Rose,2019-07-05,5 stelle
449,Stefano,Pranzo con famiglia. Devo dire la verità ...dubitavamo del posto ....l'eleganza del locale mi ha fatto pensare male del tipo usciamo con la fame e spendiamo un sacco di soldi . Devo dire che incece mi ha piacevolmente sorpreso. Piatti curati di ottima qualità e discreta quantità.  Servizio professionale ma non sterile. Prezzi un pochino elevati . Tutto sommato siamo rimasti contenti. Lo consiglio,Genusshotel Goldene Rose,2019-07-05,4 stelle
450,Amarildo7,"Struttura composta da una parte di recente costruzione e una storica unite da una bella terrazza.Abbiamo soggiornato nella nuova ala dell'hotel, in una stanza spaziosa, confortevole e pulita.Proprietari e personale gentile e cortese disponibili a cambiamenti sia nel menù che nei tavoli per venire incontro alle esigenze dei clienti.Ricercata la cucina anche se non sempre i piatti ci sono sempre sembrati azzeccati e tradizionali.",Genusshotel Goldene Rose,2019-07-05,4 stelle
451,donatella d,"Abbiamo soggiornato in questa struttura con famiglia e cane al seguito. La nostra camera quadrupla era molto spaziosa, dotata di ogni comfort, ben arredata e recentemente ristrutturata. Staff molto cordiale, attento ed estremamente professionale, proprietari molto simpatici e disponibili. Buona la colazione e ottima la ristorazione. La struttura si trova proprio nel centro del paese, quindi comodo per passeggiate, facilmente raggiungibile e dotato di piccolo parcheggio gratuito. Torneremo senz'altro.",Genusshotel Goldene Rose,2019-07-05,5 stelle
452,Mantoblu,"Abbiamo soggiornato per 4 notti in questo hotel situato proprio nella zona centrale pedonale di Silandro, dispone di parcheggio riservato, Spa con sauna bagno turco ed idromassaggio. La colazione è ottima ed abbondante e oltre ai prodotti tipici ci sono anche quelli senza glutine o lattosio. Le camere sono moderne e molto silenziose. Consiglio di fare la mezza pensione in quanto alcune sere come ad esempio lunedì e martedì nella zona quasi tutti i ristoranti fanno turno di chiusura, ed in più il ristorante interno è veramente ottimo. Personale molto cordiale. Hotel consigliatissimo!!",Genusshotel Goldene Rose,2019-07-05,5 stelle
453,dino608899,"Abbiamo pranzato nel ristorante di questo hotel.Gentilissimo tutto il personale,molto belle le salette interne,Degustato  due antipasti tipici tirolesi e dei primi con gnocchi fatti in casa con asparagi e ravioli davvero ottimi.Conto onestissimo.Bravi !!!",Genusshotel Goldene Rose,2019-07-05,4 stelle
454,Pasquale N,"Ultimamente per motivi di lavoro mi è capitato spesso di dover frequentare e alloggiare in zona Lasa (Bolzano). L'ultima volta abbiamo alloggiato presso questa struttura ed è stata una vera sorpresa. Per essere un 3 stelle, aver speso 50-60 euro per una singola nel weekend (Venerdì sera), il servizio è sicuramente di gran lunga sopra la media! Le camere sono decisamente molto spaziose, tutto nuovo, in ottimo stato e fornite di ogni cosa necessaria. Stile moderno ed elegante. La mia camera disponeva anche di una grande balconata. Il buffet della colazione vario sia sul salato che sul dolce e di qualità. Compreso nella struttura c'è anche un grande ristorante dallo stile elegante, un pub più spartano ed il parcheggio accessibile dal pieno centro di Silandro (non abbiate timore di raggiungerlo direttamente in macchina, nessun problema di ztl). Albergo consigliatissimo sia se si è di passaggio per lavoro, sia se si vuole passare una vacanza di relax in Val Venosta (l'albergo dispone anche di area relax/spa)!",Genusshotel Goldene Rose,2019-07-05,5 stelle
455,devis g,"Dopo esserci recati ai mercatini a Merano, abbiamo proseguito verso l'hotel (tragitto di 20 minuti circa). L'hotel é previsto di parcheggio privato. Le stanze sono nuovissime e molto ampie. La scelta della stanza con vista è stata ampiamente ripagata. Abbiamo passato un paio di ore nella zona relax; non é molto ampia e purtroppo l'idromassaggio non funzionava, ma è stato comunque piacevole. La sera abbiamo approfittato del ristorante e con un prezzo adeguato abbiamo mangiato secondo e dolce. La colazione a buffet del mattino è ottima e con ampia scelta! Consigliato....",Genusshotel Goldene Rose,2019-07-05,4 stelle
456,Piercarlo B,"Al centro della valle, Silandro è un centro ideale per visitare la valle. Goldene Rose si distingue per molti aspetti, grazie alle attenzioni dei gestori. Bella la camera, con arredi ed impianti perfetti. Qualche difficoltà nella scelta dei cuscini del letto, superata. Posizione centrale molto tranquilla. Eccellente le scelta del buffet della colazione. Il ristorante offre una buona scelta di qualità, con specialità locali. Ottimo il servizio e piacevole l'arredamento: le pareti sono arricchite da vedute di soggetti valligiani di grande originalità, con tecnica a carboncino ed acquerello.",Genusshotel Goldene Rose,2019-07-05,4 stelle
457,luca n,Soggiornato una notte con 2 bambini piccoli. Ottima base per la vicina Merano raggiungibile con comodissimo treno panoramico (biglietti forniti in omaggio da Thomas) . Consiglio questa struttura a tutte le famiglie. In poche parole : Perfetto!,Genusshotel Goldene Rose,2019-07-05,5 stelle
458,Graziella M,"Trovato hotel  dopo essere stata in pronto soccorso, dopo caduta  in moto, costretta a fermata  forzata per una notte bello personale cortese anche se parlava tedesco si inpegnavano a capirti, propretribuzione squisiti disponibili camera grande luminosa pulitissima con tutti conFort cena alla carta piatti ben presentati e buoni colazione abbondante e ciliegina al mattino vengo accompagnata all treno  dal proprietario  il quale la sera  prima ci aveva consegnato un biglietto che valeva per tutto il trentino e per 7 giorni anche  se noi ci siamo  fermati  una   notte Un Grazie  particolare ai proprietari  e al personale  hotel da consigliare per  qualità  prezzo  e cortesia ancora  grazieeeeeeeee a Agnese  e Thomas",Genusshotel Goldene Rose,2019-07-05,5 stelle
459,beppenet,"Abbiamo dormito una notte con colazione. La Camera era nella parte molto bella, ampia e accogliente come pure il bagno. La tv sec o nudo me posizionata di lato poco comoda. Per la colazione era tipica della zona con brioche fredde. Unica nota è che il personale è poco accogliente, non ci ha chiesto nulla della permanenza.",Genusshotel Goldene Rose,2019-07-05,3 stelle
460,GoPlaces52376356244,"Hotel in buona posizione. Colazione a buffet con anche una buona scelta per menu senza glutine. Purtroppo non ho potuto provare i menu (pranzo e cena) del ristornate, per questo non posso dare un mio parere. Mostra tranquillità e accoglienza. ",Hotel Benaco,2019-07-05,4 stelle
461,MarilunaBuono,posizione invidiabile sotto il profilo paesaggistico.  i proprietari sono professionisti seri e disponibili. Lo staff cortese e sempre sorridente. Ottima struttura e camere.  Buona cucina e abbondante colazione.,Hotel Benaco,2019-07-05,5 stelle
462,Piergiorgio58,"Devi dire che le recensioni positive che avevo visto su Tripadvisor sono state tutte confermate dall’esperienza diretta. Pulizia e cortesia le doti principali, unite ad una location estremamente centrale e panoramica e ad una colazione ricca e gradevole.",Hotel Benaco,2019-07-05,5 stelle
463,Travel07029467108,"Un ambiente pulito e ordinato; con possibilità di parcheggio (anche se un pochino distante, 700m dichiarati) Alla reception il personale è gentile, solare, disponibile ed educatissimo. Qualora si decida di cenare in Hotel le porzioni sono davvero abbondanti; colazione a buffet veramente eccellente e completissima (meglio della cena). Insomma non manca di nulla ed è ideale per chi vuole passare qualche giorno in tranquillità in uno dei luoghi che personalmente amo di più... ma questa è una considerazione personale.…",Hotel Benaco,2019-07-05,4 stelle
464,paolomF2446WAVerona,"Posizione superlativa, struttura però a mio avviso da migliorare. Personale gentilissimo. Colazione al limite. Al mattino la mia camera è risultata un po' disturbata coi rumore di servizio, ma comunque rimane da evidenziare la gentilezza estrema dei proprietari e il garbo.",Hotel Benaco,2019-07-05,3 stelle
465,Trek18640278256,"Ho passato tre giorni sul Garda per seguire un evento a Riva e passeggiare nei dintorni. L'Hotel Benaco si è rivelato un posto bellissimo sull'antico porto dei pescatori di Torbole, comodo e con ottimi servizi ad un prezzo conveniente.",Hotel Benaco,2019-07-05,5 stelle
466,Jet16148168171,"siamo capitati li per caso, la signorina della recezione ci ha fatto sentire subito a nostro aggio, la camera accogliente con vista sul porticciolo era perfetta, molto buona la cena al loro ristorante a base di pesce, il personale di sala è stato molto gentile e disponibile.",Hotel Benaco,2019-07-05,4 stelle
467,Roberto Lorenzo R,"L'albergo è in una posizione privilegiata da un punto di vista del paesaggio.Il personale molto disponibile, sempre sorridente e con un ottimo rapporto con tutti i clienti.Anche i pasti sono deliziosi. lo consiglio di cuore",Hotel Benaco,2019-07-05,5 stelle
468,Jet61670059158,"Quando si dice : un posto in cui non si mangia bene ... a colazione solo pane e marmellate o mieli, niente brioches o torte... Mi ha colpito anche la scortesia nel servire! Per il resto, la location sarebbe molto carina. Peccato per la gestione !",Hotel Benaco,2019-07-05,2 stelle
469,Sherpa49630912119,"Ho soggiornato con la mia famiglia per il ponte del primo novembre con una prenotazione tramite booking, ci siamo trovati benissimo, siamo stati accolti con tanta cortesia, la camera era grandissima e pulita, anche il bagno era molto comodo. Abbiamo mangiato sempre nel ristorante dell'hotel perché il cibo era buonissimo e curato anche la pizza era eccellente, complimenti allo chef!!Il personale gentile, attento e molto cortese.Nonostante erano gli ultimi giorni prima della chiusura invernale non mancava niente.Lo consiglio anche x il fatto che si trova in punto molto strategico per raggiungere varie località.",Hotel Benaco,2019-07-05,5 stelle
470,Tiffany640,"Abbiamo soggiornato in questa struttura in un uggioso weekend. Il posto è tranquillo e raccolto: ottima vista lago. Camere pulite, personale gentile e disponibile. Presenza di Bollitore in camera per the o tisane gratuite e Frigobar.Arredo un po'retrò, classico in linea con la storia dell'albergo ed il suo stile. Non abbiamo optato per il ristorante interno perché le proposte,forse troppo turistiche non ci hanno invogliato a provare la cucina.In compenso colazione con discreta scelta tra dolce e salato. Parcheggio a pagamento.",Hotel Benaco,2019-07-05,3 stelle
471,riccardomazzetti,"Hotel ben tenuto con stanze ben arredate è abbastanza spaziose. Per quanto riguarda la cena, essendo un gruppo di 54 persone, diciamo che sta procedendo bene, cibo buono e personale svelto. Sono disponibili per favorire le nostre esigenze, abbiamo fatto anticipare la colazione senza problemi.",Hotel Benaco,2019-07-05,4 stelle
472,Argonauta_Sicily,"Albergo posizionato difronte al lago. Non vi è il parcheggio, ma comunque noi abbiamo trovato posto non troppo distante dall’hotel nel parcheggio a pagamento sul lungolago. La camera per noi che eravamo in quattro non era molto spaziosa ma pulita. La colazione è stata buona.",Hotel Benaco,2019-07-05,3 stelle
473,Michele C,"Personale tutto molto  gentile e già questo é un buon biglietto da visita.Hotel in centro paese, in riva al Lago di Garda. Ottimo per uscire a piedi sul lungolago e girare il paese. La ns camera era pulita, non modernissima, in linea con l'edificio.Dispongono di parcheggio a pagamento interno e di uno gratuito a circa 700 mt.L'hotel inoltre ha un ristorante pizzeria interno dove si mangia proprio bene!",Hotel Benaco,2019-07-05,4 stelle
474,lino s,ottimo hotel in posizione centrale con parcheggio interno a pagamento. Camera tripla spaziosa con un bagno adeguato. Buona pulizia e colazione dolce/salato molto variegata.Ristorante pizzeria annesso.,Hotel Benaco,2019-07-05,4 stelle
475,ORIETCR,"Siamo da anni clienti di questo hotel e torniamo sempre volentieri per i seguenti motivi:cortesia/disponibilità dei titolari e di tutto il personale, direi di tipo familiare;la colazione a buffet e la ristorazione sono ottime nella qualità e nella quantità, camere belle e ben tenute; il tutto nel contesto di una posizione proprio in riva al lago ed al porticciolo;buon rapporto qualità prezzo, anche rapportata ad altre località del Garda.Aspetti negativi almeno per noi non ce ne sono, poi tutto può sempre essere migliorato, come in qualsiasi contesto.",Hotel Benaco,2019-07-05,5 stelle
476,sim0nagas,"Siamo stati in questo hotel un we lungo a settembre in una quadrupla. L'hotel e' pulitissimo, in ottima posizione centrale, vicino ai centri noleggio windsurf e ai ristorante, I letti sono comodi e le camera  e il bagno sono in ottime condizioni. Il personale e' cortese e la colazione ben fornita. Ha un parcheggio sul retro e quando e' pieno a 700m a pagamento. Ottimo rapporta qualita' / prezzo.",Hotel Benaco,2019-07-05,5 stelle
477,430anto64,"Ottima posizione, colazione favolosa. Camera Gold ampia e confortevole con splendida vista, anche se parziale, sul lago. Forse toglierei la  moquette. Personale delizioso e molto disponibile. Lo prenderemo in considerazione per il prossimo viaggio a Torbole.",Hotel Benaco,2019-07-05,4 stelle
478,isabellapaterno,Ho trascorso una vacanza piacevolissima in questa struttura dove il personale era sempre attento e a disposizione del cliente con ricca colazione ma scarsa scelta del menu della cena avendo optato per la mezza pensione e nel complesso lo consiglio vivamente,Hotel Benaco,2019-07-05,5 stelle
479,fipina,"personale gentile, ottima la cucina buona e abbondante con prezzi nella media, colazione a buffet dove c'è veramente di tutto  ,camere con arredamento non lussuoso ma nuovo e pulito, secondo me un ottimo rapporto qualità/prezzo",Hotel Benaco,2019-07-05,5 stelle
480,Mela4493,"Posizione ottima: a due passi dalla Fenice e in zona San Marco. Ottimo il rapporto qualità/prezzo rispetto anche ai prezzi della città. Camera molto pulita, zona tranquilla e personale accogliente. Molto buona la colazione e davvero carina l'idea dei petali di rosa e dello spumante. Lo consiglio assolutamente.…",Hotel Mercurio Venezia,2019-07-05,5 stelle
481,Gianluigi C,"Per i nostri primi 20 anni insieme ci siamo finalmente concessi una visita a Venezia...che dire l'hotel mercurio è un posto in zona centralissima, egualmente distante da san marco come da rialto...i servizi offerti dal personale sono di alto livello, la camera bella e confortevole,...i consigli per la cena e l'aperitivo azzeccatissimi...molto probabilmente non faremo passare altri 20 anni prima di tornare....merita...un saluto alla Sig Monica, particolarmente gentile, disponibile e molto socievole e preparata su tutto quello che ci è venuto in mente di chidere. Grazie a presto. …",Hotel Mercurio Venezia,2019-07-05,5 stelle
482,Davide L,"Ho alloggiato al Mercurio insieme alla mia compagna per due notti. Posizione ottima: zona San Marco, ma allo stesso tempo tranquilla, non si sentono rumori. Punto forte anche la colazione: davvero super! Piccola nota stonata la camera: piccola e con lo scarico del bagno non funzionante al 100%. …",Hotel Mercurio Venezia,2019-07-05,4 stelle
483,Sweetyears,"Ero stato gia ospite dell'Hotel Mercurio e avevo apprezzato la facilita di trovarlo , la centralita rispetto a San Marco,il senso di accoglienza dello staff , l'abbondante colazione..e sopratutto l'ottimo rapporto qualita prezzo , cosi l'ho prenotato per i miei genitori , che hanno confermato il tutto..dal personale , la camera e la varieta' della colazione .Venezia poi è magica di sua..Mercurio l'ha resa ancor di piu..Promosso..a presto sicuramente.…",Hotel Mercurio Venezia,2019-07-05,4 stelle
484,Alessio G,"Un buon albergo, centralissimo e comodissimo da raggiungere. Sviluppato su stretti livelli come l'intero centro storico di Venezia, offre camere non grandi ma comunque confortevoli e pulite. Il mobilio tuttavia appare un po' mediocre e poco raffinata è la presenza di canalette a vista per cavi elettrici. Anche il bagno si è mostrato pulito, anche se un po' troppo piccolo e negletto nelle suppellettili ma con sanitari nuovi. Graditissima la presenza di una cassaforte e dell'asciugacapelli. Colazione a buffet ampia e varia, personale cortese e disponibile. Ambiente silenzioso. Buono e gratuito il segnale wifi.…",Hotel Mercurio Venezia,2019-07-05,4 stelle
485,SoniaBor,"Accoglienza perfetta... hotel proprio dietro piazza San Marco 3-4 min a piedi e siete lì, tutto ok dallo staff alla pulizia e colazione varia sia dolce che salata. Camera sempre calda.Ci ritornerei volentieri",Hotel Mercurio Venezia,2019-07-05,5 stelle
486,selvaggia1952,"Accoglienza  perfetta,  posizione ottima dietro a San Marco  , prezzo molto buono , ci sono stata il giovedì notte tra  i due sabati di carnevale , la prima colazione  abbondantissima. La camera ed il bagno pulitissimi. Consiglio  vivamente",Hotel Mercurio Venezia,2019-07-05,4 stelle
487,Giorgio e Vale,"Siamo partiti soltanto per due giorni per festeggiare un anniversario. Siamo rimasti contentissimi. Personale cordialissimo e disponibile. Stanze ampie e pulite. Location perfetta, vicinissimo sia a Piazza San Marco che al ponte di Rialto. Colazione abbondante e con tante possibilità di scelta e per finire prezzo abbordabilissimo. Grazie ancora e spero di rivedervi presto. Lo consiglierò!",Hotel Mercurio Venezia,2019-07-05,5 stelle
488,IlRecensoreTop,"Tre notti da favola, hotel pulito, riservato e veramente al centro. Abbiamo preso la suite con ingresso indipendente, trovando petali di rosa e spumante in ghiaccio sul letto. Colazione buonissima. Vista sul canale, direttamente di fronte a dove soggiorno’ Mozart. Un ringraziamento ai ragazzi della reception.",Hotel Mercurio Venezia,2019-07-05,5 stelle
489,Susy,"Come trasformare un viaggio di lavoro in viaggio piacevole!🥂🍾❤️Venezia❤️Accoglienza calorosa (grazie Marco e grazie alla gentile signora di cui nn ricordo il nome, mi scuso), una particolare attenzione alle esigenze del cliente, molto pulite le camere, abbiamo avuto la camera che dava su dehor estivo del ristorante che c’è a fianco, ma nonostante tutto, non era rumoroso. La colazione è sia all’italiana che continentale, ampia scelta di prodotti, il cameriere Marcello disponibile e molto attento a soddisfare le esigenze di tt gli ospiti. Sicuramente torneremo!",Hotel Mercurio Venezia,2019-07-05,5 stelle
490,viaggioenonmistanco,"La nostra visita a Venezia è stata un sogno e non solo perchè Venezia è una favola, ma grazie anche all'ospitalità del Mercurio Hotel. Tutto in ordine, il personale di grande professionalità e cortesia oltre il dovuto. Questa è gente che fa il lavoro con il cuore!! Grazie ancora.La stanza elegantissima, pulitissima e calda. La colazione ricca e di grande qualità......cos'era il cheesecake? Lo consiglerei a tutti........grazie e continuate così",Hotel Mercurio Venezia,2019-07-05,5 stelle
491,Mauro D,"Ospite in questo hotel dal 11 al 15 Gennaio, super consigliato, ottima accoglienza del Signor Marco, il quale ci ha fornito tutte le Info e consigli necessari per Visitare al meglio la Città, camera suite mozart al piano terra con ingresso indipendente, comoda e spaziosa, sempre pulita, con suggestiva vista proiettata direttamente sul Canale, colazione sana ed abbondante gestita in maniera impeccabile dal Simpaticissimo Marcello.Tutto lo staff ci ha fatto sentire in famiglia proprio come casa. A presto Mauro e Federica.",Hotel Mercurio Venezia,2019-07-05,5 stelle
492,Roxy,"Abbiamo prenotato due camere triple in questo bellissimo hotel centrale anzi centralissimo Camere molto belle pulite in stile veneziano la suite numero 63 la consiglio,come altre, si affaccia direttamente su un canale ed è molto romantica colazione buona personale gentilissimo il mio consiglio è arrivare alla stazione e prendere il vaporetto fino a Piazza San Marco da lì a due passi c'è Questo delizioso hotel dal prezzo onesto per essere a venezia!",Hotel Mercurio Venezia,2019-07-05,5 stelle
493,Ester S,"Albergo in posizione strategica, vicino al teatro la Fenice e a pochi minuti da piazza San Marco, ma nonostante la posizione centrale molto tranquillo e silenzioso.Stanza pulita, ma da ristrutturare, come tutta la zona dell'albergo dove era posizionata.Edificio privo di ascensore. Buona la colazione. Personale molto gentile e disponibile.",Hotel Mercurio Venezia,2019-07-05,3 stelle
494,Pastorino,"Abbiamo soggiornato qua per capodanno. Ovviamente prezzi molto alti ! Le camere sono piccole ma pulite . Noi avevamo la""camera comfort"" e il letto era comodissimo ! Il personale molto gentile e disponibile . Pensavo solo ad una colazione un po più vasta ! ma nel complesso  è stato un soggiorno piacevole. Lo consiglio anche per la posizione.",Hotel Mercurio Venezia,2019-07-05,4 stelle
495,Luca G,"Piccolo hotel situato al centro di Venezia vicinissimo a Piazza san Marco. Noi abbiamo prenotato un camera più grande (n. 63) con affaccio su un piccolo canale dove passano le gondole; ottima scelta. Molto buona la colazione; il signore che la serve molto professionale, disponibile e anche molto simpatico. Consiglio a tutti l'hotel soprattutto per un viaggio di coppia. Grazie, a presto.",Hotel Mercurio Venezia,2019-07-05,5 stelle
496,elena v,"Piccolo come da tradizione Veneziana, ma molto carino e accogliente, posizione strategica nel cuore della città  colazione salata e dolce, personale cordiale. la camera in stile classico, calda e tutto funzionante.",Hotel Mercurio Venezia,2019-07-05,5 stelle
497,elecappe,"Davvero ottimo hitel, colazione abbondante e gustosa, staff davvero cordiale!! La sua posizione centrale è ottima, soprattutto se  di sera si vuole fare un giro per le bellissime vie di Venezia! Ci torneremo con molto piacere!",Hotel Mercurio Venezia,2019-07-05,5 stelle
498,primo l,"A due passi da Piazza San Marco, dall'Accademia, da La Fenice. Pulito, con una buona colazione. ""Stretto"": il bagno, le scale (molte), la reception... A volte propone prezzi molto convenienti. In questo caso è da non perdere.",Hotel Mercurio Venezia,2019-07-05,4 stelle
499,fabio m,"In realtà ho soggiornato una notte sola, ma  per quello che ho potuto vedere l'hotel è un ottimo compromesso tra prezzo e qualità, centralissimo una posizione ottima praticamente a due passi da piazza San Marco personale gentilissimo ,ho prenotato un 3 stelle che devo dire è risultato un 3 stelle superior , stanza pulita confortevole con vista sui tetti di Venezia, bottiglia di prosecco di benvenuto, pulizia è una buona colazione italiana, in realtà era presente anche una discreta colazione continentale. Ci tornerei 4 palle meritate. Grazie",Hotel Mercurio Venezia,2019-07-05,4 stelle
500,Contonello,"Abbiamo soggiornato per due notti presso l'Hotel Mocenigo durante il ponte del 25 aprile. La nostra camera era una matrimoniale superior, bellissima e spaziosa, arredata con molto gusto. A detta di mia moglie, impeccabile la pulizia della stanza e del bagno. Gentilissimo il receptionist Sandro, sempre a disposizione degli ospiti.  Ottima posizione, comodo per la stazione con fermata del trasporto pubblico a due passi! Non fatevi influenzare dalle 2 stelle, ne vale decisamente di più. Noi ci torneremo di sicuro!!!!…",Hotel Al Ponte Mocenigo,2019-07-05,5 stelle
501,Violetta M,"Siamo stati in questo hotel per un weekend a Venezia, per festeggiare i nostri 10 anni di matrimonio... Davvero un bel hotel impeccabile in  tutto. Camera grande, pulitissima e in stile veneziano. Forse non era la più bella, ma comunque molto ampia e  perfetta . Abbiamo dormito benissimo. La colazione poi è stata un tripudio di delizie, anche I pancake erano presenti.  Personale gentile e disponibile, location suggestiva, con un accesso da un ponticello con possibilità di accedere anche con taxi acquatico e gondola. Vicinissimo a Palazzo Mocenigo, adibito a museo delle stoffe e dei profumi. Ottima posizione per raggiungere tutto ciò che si vuole... Curata la sala delle colazione con una vetrata sul graziosissimo cortile dell'hotel. Lo consiglio vivamente è ci ritornerei volentieri. …",Hotel Al Ponte Mocenigo,2019-07-05,5 stelle
502,paolat1982DF,"Un hotel curato, raffinato, molto pulito e in una posizione strategica per visitare Venezia. Una colazione ottima, ricca e abbondante, ed inoltre una grande attenzione al cliente: quindi promosso e consigliato. Alla prossima!!!",Hotel Al Ponte Mocenigo,2019-07-05,5 stelle
503,Ludibriaventis,"Ho pernottato in questo hotel per una notte con il mio ragazzo: abbiamo ricevuto un'ottima accoglienza, sia il proprietario che il personale sono competenti, gentili e disponibili. Ci sono, infatti, stati dati consigli molto utili su come girare la città e prenotare i musei al nostro arrivo. La camera assegnataci era molto bella, spaziosa e dotata di ogni comfort essenziale, con vista sul canale. Infine, la colazione è stata ottima, in grado di soddisfare i gusti di tutti e di farci saltare il pranzo!  Consiglio a tutti di pernottare in questo hotel!  …",Hotel Al Ponte Mocenigo,2019-07-05,5 stelle
504,Tiziana,"Accoglienza molto professionale ,Lo staff è sempre presente in ogni tua richiesta stanze molto spaziose e pulite (Noi eravamo alloggiati nella Depandance ) che è a 20 metri dall'Hotel , quello che abbiamo trovato veramente da elogiare è la colazione del mattino ,cameriere molto attente un Buffet di tutto rispetto dal dolce al salato  molto completo. un Hotel da un rapporto qualità prezzo ottimo.....Ritorneremo…",Hotel Al Ponte Mocenigo,2019-07-05,4 stelle
505,Fra_l,"Nel nostro soggiorno a Venezia in questo hotel ci siamo trovati benissimo, le camere sono pulite e accoglienti, tutto il personale è cordiale e super disponibile, la colazione ottima e abbondante. L'hotel è molto curato e la posizione è comodissima, vicina alle principali attrazioni e ai mezzi di trasporto ma lontana dal caos dei turisti. Per tutto il soggiorno i proprietari e i loro collaboratori sono stati gentilissimi, fornendoci anche degli stivali per la marea eccezionale verificatasi a Venezia e venendo incontro a tutte le nostre esigenze. Due stelle sono davvero troppo poche, torneremo sicuramente!",Hotel Al Ponte Mocenigo,2019-07-05,5 stelle
506,FlyBabi,"Ho soggiornato altre volte a Venezia, finalmente ho trovato un hotel piacevole, elegante, con un ottimo rapporto qualità/prezzo, ma anche gentilezza e professionalità. Le camere sono molto belle, pulite e confortevoli, tutto ristrutturato da poco. Anche la colazione è ottima. La posizione è tranquilla, vicina e  ben collegata a tutto. Sicuramente ci ritornerò.",Hotel Al Ponte Mocenigo,2019-07-05,5 stelle
