,utente,commento,hotel,dataIns,rating
81,Sheila_163,"Ho soggiornato 4 notti insieme a mio figlio in questo albergo. Che dire, tutto perfetto, colazione abbondante, stanza pulita e personale molto gentile e disponibile! Ci ritorneremo sicuramente per un soggiorno più lungo.",Principe di Piemonte Hotel,2019-07-05,5 stelle
82,dbonura,"Buona posizione, si attraversa la strada e si è subito al mare. Sono stata un po’ sfortunata La mia camera era piccola(ma andava più che bene visto che ero sola )  e con una vista nel retro sulle grondaie ma a qualcuno doveva pur capitare! La stanza però era pulita.  La colazione varia che spazia dal dolce al salato. Il personale gentile  L’accoglienza molto cortese  …",Principe di Piemonte Hotel,2019-07-05,3 stelle
83,Julios,"Hotel veramente di gran classe e di tutto rispetto le tre stelle sup. ottima location di fronte al lungomare di Rimini,ottima metà per chi viaggia e deve fermarsi per una pausa e non solo anche per un soggiorno sulla Rivera romagnola .",Principe di Piemonte Hotel,2019-07-05,5 stelle
84,martimatmiky,"Hotel in posizione centrale, sulla via principale , a una traversa dal mare. Nelle immediate vicinanze troviamo negozi, pub, ristoranti ecc le camere sono spaziose, moderne, con bagni ampi e tv a schermo piatto. Ascensore disponile. La nostra a metà aveva vista su un palazzo sul retro. Il top é la colazione dove troverete di tutto dalla frutta al salato, dolci, paste, cereali, pane di vari tipi, caffè e cappuccino espresso serviti al tavolo. Consigliato …",Principe di Piemonte Hotel,2019-07-05,4 stelle
85,SUPERTUONO,"Buon hotel, a Miramare di Rimini,sulla strada principale. Personale cordiale e disponibile. Hotel per non fumatori, mi è stata subito sostituita la camera, utilizzata da un fumatore (no comment sull'educazione dei ""signori"" fumatori).Camera e colazione in linea con gli standard dell'hotel.Ci ritornerei senz'altro.",Principe di Piemonte Hotel,2019-07-05,4 stelle
86,Andrea M,"In gita con famiglia per acquisti a San Marino ci siamo fermati per una notte piacevolissima accoglienza, bella stanza pulita e comoda, ottima e abbondante la colazione. Molto consigliato è ovviamente lo terrò in evidenza per le future occasioni",Principe di Piemonte Hotel,2019-07-05,5 stelle
87,deborahg1990,Siamo stati qui per il weekend del 16 e 17 marzo.. Abbiamo solo dormito nella camera 106.. Che dire ci hanno subito accolto calorosamente.. Camera ok :matrimoniale  (non amo particolarmente la moquette sul pavimento ma va bene) con balcone .. Bagno:piccolino ma con tutto.. Pulizia ottima.. Peccato non aver fatto colazione in hotel.. Sarà per la prossima!,Principe di Piemonte Hotel,2019-07-05,3 stelle
88,NIKKOM,"Ritorno nella capitale italiana delle vacanze e rialloggio nell'hotel che mi ha coccolato a ottobre... il principe di Piemonte!Riconosciuto al ricevimento dalla professionale e bellissima Ylenia, vengo sistemato in pochi minuti con un check in rapidissimo. La camera davvero completa di tutto, confortevole e pulita. Anche il portiere di notte di testa canuta, mi ben consiglia sul parcheggio del mio motoveicolo va il mio plauso. La colazione a buffet è una conferma! Un offerta di cibo degna di un emirato arabo. Spettacolare di cui allego documentazione fotografica.Ribadisco il prezzo (per la bassa stagione) davvero rasenta il gratuito. Ottimissimo rapporto qualità/prezzo.Io lo straconsiglio.",Principe di Piemonte Hotel,2019-07-05,4 stelle
89,lallagenova78,"Sono stata piu' volte in questa struttura. Ottima l' accoglienza, le camere un po' piccole, ma offrono tutto quello che serve per un soggiorno, pulite. La colazione assortita per tutti I gusti, vasta scelta di dolce e salato, cordialita'  e professionalita' delle ragazze in sala.La reception, ottima l' accoglienza e l'assistenza. Unico neo non ha il parcheggio, ma si trova facilmente il posto nelle vicinanze. Naturalmente ci ritorneremo appena saremo in zona.",Principe di Piemonte Hotel,2019-07-05,5 stelle
90,enrichetto77,"Non conoscevo l'hotel era la prima volta che o contattavo. In poche parole perfetto. Personale gentile e cordiale, massima disponibilità al mio arrivo Camera fronte strada pulita in ordine perfetto per il mio soggiorno. Mi ha colpito il profumo che si sentiva nei corridoi che mi portavano in camera. Prezzi ottimi. Sicuramente sarà nuovamente la mia location quando sarò in citta.",Principe di Piemonte Hotel,2019-07-05,5 stelle
91,Mikyfilo,"Tutto perfetto. Ambiente accogliente, colazione a buffet buona ed abbondante, camere pulite e silenziose. Perfetta accoglienza da parte di tutto il personale. Ci è stato persino concesso un upgrade non richiesto. Consiglio vivamente!",Principe di Piemonte Hotel,2019-07-05,5 stelle
92,Costanzo B,Ci siamo andati “per caso” per un fine settimana alle terme di Rimini . Ambiente pulito . Ottima colazione. Personale cordiale e ottimo rapporto qualità prezzo. Ad un passo dal mare e a pochi passi dalle terme  ... lo consiglio,Principe di Piemonte Hotel,2019-07-05,4 stelle
93,AdamMILANO,"Abbiamo soggiornato in questo albergo nel mese di gennaio 2019 e dobbiamo dire che ci ha stupito la disponibilità del titolare (Gianmario) e dei ragazzi alla reception.Se a ciò si unisce il fatto che la struttura è in prima linea sul lungomare di Rimini ed è ottimamente rifinita, consigliano di soggiornare in questo bel albergo...Le camere sono pulite e la colazione è ottima.",Principe di Piemonte Hotel,2019-07-05,4 stelle
94,Stef97,"Hotel accogliente con personale educato e gentile, ho prenotato una stanza al 3º piano, nonostante il freddo che c’era fuori, la stanza si presentava calda e accogliente. Ambiente pulito e profumato, bagno comodo e caldo, come il letto, comodo e pulito. La cosa che mi ha colpito di più è stata la colazione che era buonissima e abbondante con ricche scelte. Consigliato!",Principe di Piemonte Hotel,2019-07-05,5 stelle
95,La_laury86,"Ho soggiornato in questo hotel un solo week end, ma sono rimasta molto soddisfatta, soprattutto per la qualità/prezzo.Camera ampia e confortevole, bagno con doccia molto pulito.Ho apprezzato molto gli accappatoi al posto dei soliti asciugamani grandi.Comodo anche il bollitore in camera per poter fare the/camomilla/caffè (offerti ovviamente dall’ hotel)Un altro punto a favore: la tv con Sky.(Non e’da tutti) Un 3 stelle con servizi da 4 stelle!!!Personale molto gentile.Unica pecca, il garage e un po’ scomodo.Per il resto super consigliato",Principe di Piemonte Hotel,2019-07-05,5 stelle
96,Sct_Ale,"CAMERA: Normale, pulita, basicBAGNO: Piccolo, pulito, doccia con tutto il necessarioCOLAZIONE: Abbondante, sia dolce che salatoPERSONALE: Disponibile, efficiente, cordialePARCHEGGIO: Gratis lungo strada fronte edificio in zona molto tranquilla",Principe di Piemonte Hotel,2019-07-05,5 stelle
97,Freedom633273,"Premetto che nel bagno della camera c'era un freddo polare, rispetto alla camera con una escursione termica notevole. Di questo però, non mi è stato possible fare parola, poiché fin dal primo dei miei tre giorni di soggiorno in questo Hotel, per aver fatto richiesta alle 8,30 del mattino che la mia camera venisse rassettata al più presto, dato che il mio fidanzato era influenzato e con la febbre alta, sono stata aggredita volgarmente con modi scortesi ed ingiuriosi da parte del titolare, uomo con evidenti problemi di stress, che credo dovrebbe prendere in considerazione l'idea di cambiare mestiere. Il personale è gentilissimo, nonostante il cattivo esempio della proprietà.",Principe di Piemonte Hotel,2019-07-05,1 stelle
98,Giorgio M,"L'albergo e confortevole e pulita, la colazione ottima sia dolce che salata ed il personale molto gentile. Se si aggiunge che abbiamo pagato una matrimoniale 34 euro non si può che dare 5 pallini. Da tenere in  considerazione.",Principe di Piemonte Hotel,2019-07-05,5 stelle
99,Tese,"Mi dispiace molto ma debbo bocciarlo. L’esterno dell’albergo e la reception lanciano buoni presupposti, peccato che la camera non è all’altezza. Ho scelto l’albergo per il servizio Sky ma non ha mai funzionato, l’aria condizionata butta solo aria tipo ventilatore e non rinfresca nella maniera più assoluta, la moquette del pavimento suppongo non basti un semplice aspirapolvere poiché ha diversi residui seppur minuscoli, l’asciugamano da doccia del secondo giorno era sporco di sangue. Nota positiva personale della reception sorridente e gentile.",Principe di Piemonte Hotel,2019-07-05,2 stelle
100,Cristian Z,Passandoci davanti sul lungomare ti attrae la piscina ben illuminata di notte che ti invoglia a provare l'hotel: Il personale di sala molto gentile ed operoso ma le pietanze non soddisfano.. A mio parere il rapporto qualità prezzo è deludente.,Hotel Marina,2019-07-05,3 stelle
101,dap_esc,"Trascorsi un paio di giorni con la famiglia all'hotel Marina. Cerco difetti, ma non ne trovo. 3 stelle meritate. Ottima posizione: fronte mare al centro di Jesolo lido. Parcheggio sicuro nell'area dell'hotel. A disposizione biciclette per gli ospiti. Pulito e ordine ovunque. Camera quadrupla (2 comunicanti) con arredamento funzionale, accessori presenti e ben manutenuti, condizionamento autonomo preciso e silenzioso. Ottima qualità del sonno. Colazione varia e abbondante, dolce e salata. Personale professionale e sorridente. Servizio colazione e bar attento e veloce. Ottima organizzazione per le pulizie. Ricevimento disponibile e chiaro.  Apprezzata prontezza e disponibilità nel risolvere un problemino col posto spiaggia.…",Hotel Marina,2019-07-05,5 stelle
102,Carla B,"Niente da dire oltre a benissimo su tutto: reception (Matteo sempre un Signore), staff del ristorante, cucina, pulizie, bar esterno, piscina, bici etc... Una garanzia tant'è che la piccola Clara ormai si sente come a casa e ciò rende, di conseguenza, anche i grandi sempre felici. Impeccabili.…",Hotel Marina,2019-07-05,5 stelle
103,marybolz,"Ho trascorso un weekend di maggio all'Hotel Marina con un'amica . Ci siamo trovate benissimo ! Relax totale in questa  struttura dalla posizione meravigliosa, direttamente sulla spiaggia . La disponibilità e la gentilezza del titolare e dei suoi dipendenti, che va oltre il semplice rapporto coi clienti,  ci ha fatte sentire "" a casa"", supportate in tutto ciò di cui potessimo aver bisogno e ci ha permesso un soggiorno piacevole e sereno. La location dell'hotel è spettacolare, sia frontemare, con la terrazza  e la piscina direttamente sulla spiaggia,  sia sul giardino interno molto  curato e da cui si esce per lo shopping sulla via pedonale. Ottima la colazione , come qualità e quantità, varia sia nel dolce che nel salato e ottime  tutte le pietanze che abbiamo gustato con piacere, con una grande varietà di primi e  di secondi. Tutto è stato perfetto, nulla ci ha deluso e sicuramente ci ritorneremo con piacere. Questo hotel lo consigliamo vivamente a tutti perché merita…",Hotel Marina,2019-07-05,5 stelle
104,Fuz,"Vado spesso, con la mia famiglia, a mangiare nella terrazza dell'hotel Marina. Ed, ogni volta, viene confermata la bontà della scelta. Ristorante con ottimi primi piatti e gustosi secondi con menù del giorno, ottima snackeria e, recentemente, è stato introdotto anche il menù pizza (davvero molto buona) per soddisfare tutti i palati.  Personale altamente professionale ed allo stesso tempo estremamente affabile. Titolari squisiti ed attenti ad ogni singola esigenza del Cliente, personalmente non vi é stata richiesta della mia famiglia che non sia rimasta soddisfatta. Altra nota di merito: la location. Ampissima e bellissima terrazza (con piscina) direttamente sulla spiaggia, ove gli adulti possono per di più degustare i tanti cocktails proposti mentre i bambini giocano tranquillamente, con spazio loro dedicato. Una garanzia di buon cibo in un'atmosfera accogliente e di pieno relax.…",Hotel Marina,2019-07-05,5 stelle
105,mlu981,"Sono stata all'hotel Marina per 6 giorni, eravamo due adulti e una bimba di meno di un anno. Siamo state benissimo! L'hotel è una bella struttura direttamente sul mare con una splendida terrazza con piscina. La posizione è ideale, a due passi dalla via dello shopping di Jesolo. La camera era molto spaziosa con un bellissimo bagno (con la doccia anche con cromoterapia). I servizi inclusi sono molto vantaggiosi: parcheggio, posto sulla spiaggia, uso delle biciclette. Il ristorante è spettacolare: cibo buonissimo (in particolare ottimo il pesce), molto vario, colazione di alto livello, servizio eccezionale (complimenti per la gentilezza e la simpatia al giovane cameriere Luca). Grande cordialità anche da parte dei titolari. Gentilissimo il signor Matteo dell'accoglienza! Davvero tutti hanno riservato attenzioni e sorrisi alla bimba della mia amica! Consiglio la struttura a tutti, in particolare a famiglie con bambini.",Hotel Marina,2019-07-05,5 stelle
106,murche99,"Abbiamo conosciuto l’hotel Marina per caso e abbiamo soggiornato 5 notti io con la mia bambina di 6 mesi  ed una mia amica.Nell’hotel è stato tutto perfetto: dall’accoglienza del Signor Matteo, la camera ampia e perfetta per chi ha bambini piccoli, la posizione dell’hotel stupenda (in spiaggia e di fronte alla bellissima via pedonale), la cucina davvero di livello elevato con ampie scelte sia a pranzo che a cena, colazione a buffet eccezionale, ma soprattutto quello che fa la differenza è la gentilezza e professionalità del personale!Ci tornerò sicuramente!!!",Hotel Marina,2019-07-05,5 stelle
107,SABRI S,"Struttura direttamente sul mare, ampio parcheggio, camere comode e pulite, titolari e personale professionali  e disponibili  ad ogni esigenza e richiesta. Abbondante colazione, con ampia scelta, a buffet, da poter consumare anche sulla splendida terrazza dell’albergo direttamente sulla spiaggia!!! Ottima anche la cucina per chi sceglie la pensione completa(ampia scelta e curata) !!!Da rimarcare ancora la splendida terrazza fronte mare dove è possibile anche pranzare in costume direttamente a bordo piscina !!!!Struttura consigliata sia per soggiornare o per pranzare!!!!Bellissima l’atmosfera di sera, per un caffè o solo per rilassarsi in riva al mareCi ritorneremo..!!!",Hotel Marina,2019-07-05,5 stelle
108,Anna M,"Abbiamo deciso anche quest'anno di passare una settimana di vacanza in questo hotel perché ci siamo trovati bene, persone veramente gentili, pranzo in terrazza con piscina e vista mare, ottimi piatti freddi e da quest'anno anche pizza!!! Grazie Hotel Marina",Hotel Marina,2019-07-05,4 stelle
109,STE PORK,"Abbiamo pranzato con degli amici che alloggiano presso questa struttura. Cosa dire?? Top...!!!!!Location fantastica, ampia terrazza con mega piscina direttamente sulla spiaggia e  con vista mare!!Personale cordiale e disponibile ma sopratutto ottima cucina ad un ottimo prezzo per la posizione ed il servizio fronte mare!!! (Possibilità di pranzare anche  in costume)Al termine del pranzo visitata la struttura...,penso proprio che la prossima volta, sceglierò l’hotel Marina per le mie vacanze con la famiglia.",Hotel Marina,2019-07-05,5 stelle
110,Clarissa F,"Secondo anno che vengo qua in vacanza, mi sono trovata benissimo, il personale molto simpatici e sempre pronti ad aiutarti se hai bisogno di qualcosa. Ho consociuto persone fantastiche e vi ringrazio per tutto, ci rivedremo presto.😘CONSIGLIATO!!",Hotel Marina,2019-07-05,5 stelle
111,rogi2017,Ottimo hotel. La posizione fronte mare poi lo rende veramente  fantastico.  La colazione in terrazza  è un inizio di giornata fantastico. Il Ristorante poi è veramente ottimo con cucina di qualità e personale gentilissimo. Vacanza da ripetere sicuramente.,Hotel Marina,2019-07-05,5 stelle
112,che P,"Di passaggio dalla spiaggia, abbiamo deciso di mangiare nello snack bar che hanno aperto al pubblico nella terrazza in piscina. Arrivati ed accomodati abbiamo subito ordinato da bere, ma l’attesa per 2 birre ed un’acqua è stata lunghissima poi abbiamo ordinato 1 insalatina mista, 1 insalatona mediterranea ed 1 filetto di branzino ai ferri. Dopo una lunga attesa arrivano con un branzino e verdure fritte, quindi lo portano via, dopo altri 10 minuti d’attesa servono due insalatone, fatto presente l’errore portano via un’insalata tolgono il tonno e l’uovo dimenticando qualche pezzetto e me la riconsegnano MA STIAMO SCHERZANDO se sbagli me la fai nuova non togli gli ingredienti AI QUALI POTREI ESSERE ALLERGICA E METTERE A RISCHIO LA VITA!!! Ancora attesa per l’insalata ... finalmente arriva, ma manca ancora il pesce... insomma abbiamo mangiato in 3 con lunga attesa ed errori imperdonabili!Non è ammissibile lavorare in questo modo, se non si è organizzati continuate a fare solo gli albergatori, magari vi riesce meglio. Inoltre il costo di 50€ in 3 per un pranzo lo trovo caro.A mio parere questa terrazza è da evitare.Mi dispiace per alcuni camerieri molto gentili.",Hotel Marina,2019-07-05,1 stelle
113,Fededread,Ho prenotato un po' al buio non conoscendo l'hotel...È sono stata piacevolmente sorpresa!! Tutto ottimo servizio pulizia cibo super e personale disponibilissimo e simpatico! Tutto a un passo dal mare!!! Meravigliosa vacanza ci tornerò sicuramente!,Hotel Marina,2019-07-05,5 stelle
114,ciaoelena,"Arrivati a Jesolo dopo una visita in Valdobbiadene, questo albergo ci è stato consigliato e prenotato dall'ufficio informazioni turistiche. Ci è stata assegnata una camera tripla molto spaziosa, accogliente e con il servizio nuovo.Essendo bassa stagione, il ristorante dell'hotel era ancora chiuso e per la prima colazione siamo stati accompagnati all'adiacente hotel Adlon: OTTIMA.Il personale dell'hotel Marina è molto cortese e preparato, torneremo sicuramente.  Grazie a tutti !",Hotel Marina,2019-07-05,4 stelle
115,Giada1975,"L’hotel si trova in una posizione centrale che permette di fare una passeggiata per via Andrea Bafile piena di negozi, gelateria, sala giochi (...) o di raggiungere in pochi minuti l’attrazione Tropicarium o la stazione dei bus (per andare ad Aqualandia). Durante il soggiorno avevamo un ombrellone e due lettini alla spiaggia che si accede direttamente dall’albergo. Peccato per la presenza di tante meduse al largo se si vuole prendere il pedalò per un bagno. Alla piscina non ci siamo mai stati perché i lettini erano sempre presi d’assedio già da mattina presto. Ottima la varietà di scelta delle pietanze nei menu proposti giornalmente al ristorante; i miei figli hanno preferito questa cucina rispetto a una struttura di 4stelle da cui provenivano da una vacanza di montagna. Anche la colazione offre ampia scelta di salato e soprattutto di dolci. I camerieri e gli addetti alla reception sono stati tutti gentili( in particolare la cameriera del nostro tavolo, Michelle). Bici in uso gratuito sempre disponibili. Per quanto riguarda la camera, è stata soddisfacente ed è solo mio sbaglio non aver scelto una col balcone perché risulta scomodo lo stendino in bagno. Wi-Fi e aria condizionata buon funzionanti. Abbiamo partecipato a un’escursione con la barca MobyDick a Murano/Burano/Torcello con il molo d’accesso proprio davanti alla spiaggia dell’hotel. Soddisfatti e sceglierei ancora questa struttura tra le tante proposte alberghiere di Jesolo.",Hotel Marina,2019-07-05,4 stelle
116,Carla B,"Tornerò di sicuro e intanto ringrazio tutto lo Staff... impeccabile! Buon lavoro, Ragazzi! Vista meravigliosa, cibo gustoso, gentilezza autentica H 24 e tanti sorrisi... un posto che fa stare bene chiunque :)",Hotel Marina,2019-07-05,5 stelle
117,ErreC72,"Ho trascorso ben tre settimane di ferie presso questa meravigliosa struttura, in parte anche assieme al cagnolino di mio figlio e a quello più grande dell'altro mio figlio.Mi sembra di essere rimasta a casa da quanto bene sono stata coccolata dal personale dell'Hotel con la differenza di essere praticamente a contatto con la sabbia e il mare,Menu e buffet di prima scelta, ricche e invitanti feste a tema completano un esperienza che mi accompagnerà fino all'anno prossimo in attesa di riviverla nuovamente.Grazie di cuore alla Famiglia Rizzante ed al personale dell'Hotel",Hotel Marina,2019-07-05,5 stelle
118,Pivello63,"Per noi è stata una piacevole scoperta l’hotel Marina.Le tre stelle sono molto riduttive.Nonostante l’inconveniente iniziale, rimediato ampiamente,è stato un susseguirsi di piacevoli sorprese.Complimenti in particolare a tutto lo staf per la competenza, la professionalità, la gentilezza e l’attenzione riservata.Naturalmente un ringraziamento particolare alla proprietà per l’organizzazione è per la bella festa organizzata a ferragosto.Siamo curiosi di provare l’anno prossimo il 5 stelle.",Hotel Marina,2019-07-05,5 stelle
119,Agenzia P,"L'hotel si trova in un'ottima posizione, con due bambine di 2 e 5 anni è stato comodissimo avere una piscina attaccata alla spiaggia! Tutto lo staff è stato gentile e cordiale, soprattutto il signor Matteo, che ha accolto ogni nostra richiesta con molta professionalità e simpatia. La struttura dell'hotel è molto classica e caratteristica, piacevole da vedere.  Le camere spaziose erano molto pulite, unica pecca l'assenza di balcone, ma   non ci è pesato più di tanto stando sempre fuori. Comodissimo il vialone pedonale situato proprio dietro l'hotel per passeggiate serale. Piacevole la colazione servita in terrazza accanto alla piscina frontemare, molto varia. Lo consiglio e sicuramente ci torneremo!",Hotel Marina,2019-07-05,5 stelle
120,Sara,"Ho soggiornato due giorni in mezza pensione nel mese di Luglio. Posizione dell'hotel fantastica, a 30 m dal mare con parcheggio e piscina adiacenti alla struttura. Prima colazione e cena nella norma, ottimo invece il servizio del personale di sala e della reception, sempre disponibili e sorridenti! Consiglio a famiglie anche con bambini piccoli!! …",Hotel Jet,2019-07-05,4 stelle
121,Annalisa,"Ho soggiornato con mio marito e la mia bimba di 6 mesi per una settimana dal 29 giugno al 6 luglio e gia' al momento della prenotazione il personale addetto si e' rivelato molto molto disponibile.  Le signore alla reception sono molto gentili attente alle esigenze soprattutto della mia bimba che sto svezzando.  Ogni giorno brodo vegetale fresco dalla cucina x le pappe della mia bimba.  L'ambiente e' familiare e anche il personale che serve in sala a colazione e cena e' cordiale e veramente gentile. I piatti offerti sia a colazione che a cena sono veramente ottimi. Menu molto vari e il pesce servito per cena molto molto gradito!  Le camere e gli ambienti sono puliti. Tutti i giorni pulizia garantita e cambio asciugamani e salviette. Anche il personale delle pulizie molto curato nel suo lavoro. Come posizione l'hotel e"" situato a pochi metri dal mare..comodo con parcheggio gratuito e giusto sulla via principale ricca di negozietti e ristoranti. Nonostante cio' nelle ore notturne non c'e'troppo disturbo.  Consiglio vivamente il soggiorno in questo hotel alle famiglie perche' qualita' prezzo e' buona e la disponibilita' del personale merita!…",Hotel Jet,2019-07-05,4 stelle
122,sara,"Hotel molto bello con camere pulite spaziose e dotate di balcone. Personale molto gentile e professionale cibo di buona qualità e prezzo giustissimo contando che offre anche piscina con lettino e ombrellone, parcheggio dell'hotel (nel caso finisca ha una convenzione con un parcheggio esterno che comunque paga in percentuale lui), spiaggia convenzionata con a disposizione lettini e ombrellone,... Il ristorante è aperto solo a cena quindi non è possibile fare una pensione completa. Zona comodissima e attaccata al mare.…",Hotel Jet,2019-07-05,4 stelle
123,Silvia D,"Cucina molto buona, servizio gentile, comodo alla spiaggia,  parcheggio macchina ottimo . E' un buon compromesso per chi vuole passare una vacanza tranquilla ma con le comodità e i servizi sia di spiaggia che di negozi e ristoranti",Hotel Jet,2019-07-05,5 stelle
124,Mobile13643646804,"Avevo bisogno di staccare la spina con un week end al mare. Hotel Jet ha risposto alle mie aspettative. camera  , piscina, spiaggia, prima colazione, parcheggio ... tutto a buon livello! Ci tornerei per altri week end o anche per una settimana di relax",Hotel Jet,2019-07-05,4 stelle
125,Trail37702159071,"Struttura in posizione centrale, ma non caotica, con servizi inclusi come piscina ed ombrellone e posto macchina comodi.  Personale gentilissimo, molto disponiibile. Colazione a buffet ricca ed  eccellente,",Hotel Jet,2019-07-05,5 stelle
126,Paradise34402143381,"Siamo un gruppo di 5 persone che ha soggiornato una notte, personale cortese, ottima colazione, camere pulite e spaziose, ottima anche la piscina vicino all'hotel così come i lettini riservati in spiaggia, consigliato.",Hotel Jet,2019-07-05,5 stelle
127,Happiness38012007794,"Ciao posso dire essermi trovato molto bene anche per la gentilezza e la simpatia dei gestori è del personale, buona cucina non do 5 stelle solamente  per un bagno un po'  troppo piccolo così come la doccia",Hotel Jet,2019-07-05,4 stelle
128,Giudizio Anonimo,Abbiamo alloggiato nell'albergo per un giorno e una notte. Buona la posizione perché l'albergo è piuttosto vicino al mare. La camera di giuste dimensioni ma poco pulita specialmente il letto e l'armadio. Bagno piccolino. Il giorno della partenza siamo stati svegliati alle 8:00 di mattina dalla donna delle pulizie che è entrata in camera. Staff non cortese durante la colazione. Buffet poco ricco. Bello che ci sia la piscina ma vista la poca pulizia della camera non l'abbiamo provata,Hotel Jet,2019-07-05,2 stelle
129,Michela S,"Accoglienza ottima , titolari molto gentili e disponibili.Camera sempre molto pulita e personale ai piani molto gentile.Colazione e cena con buffet molto molto abbondante e vario e con ottimo personale di sala Complimenti allo chef per i piatti e dolci molto buoniPiscina pulitissimaGià consigliato ad amici e ci ritorneremo di sicuro...",Hotel Jet,2019-07-05,4 stelle
130,Seaside23281589067,"Vicino alla spiaggia con posto auto privato,piscina,prima colazione self-service dolce/salato molto varia, staff gentile e disponibile anche per il dopo check out.Bella la camera all'ultimo piano con terrazzino.",Hotel Jet,2019-07-05,5 stelle
131,Deborah J,"Camere pulitissime, personale veramente molto cortese e disponibile,colazione abbondante e per tutti i gusti,comodissimo sia per accesso in spiaggia che per i locali e ristoranti!Ci hanno dato camera all’ ultimo piano con una mega terrazza, lettini e una vista mozzafiato!Lo consiglio vivamente !!!Deborah Johansson",Hotel Jet,2019-07-05,5 stelle
132,Fabrizio T,"Hotel ristrutturato, camere molto pulite e confortevoli.Il personale è molto cordiale e disponibile. Mi dispiace non aver provato la cucina. La colazione a buffet è molto abbondante, ricca e curata nella qualità. Lo consiglio",Hotel Jet,2019-07-05,5 stelle
133,Chiara O,"Hotel veramente molto bello. La struttura è ben tenuta, la nostra camera fresca di ristrutturazione con aria condizionata, design moderno e un bel terrazzo che da sul mare. Pulizia ottima e personale delle pulizie molto cordiale e disponibile. Abbiamo prenotato in mezza pensione e devo dire che non mi aspettavo di mangiare così bene, tutte le sere ci sono 4/5 proposte di primi e di secondi, buffet di antipasti, di verdure e di dolci/frutta. Anche qui un complimento al personale di sala che ti fa sentire come a casa è dovuto. La struttura offre servizi come : piscina, 2 lettini con ombrellone(a camera) nella spiaggia dell' hotel, biciclette, parcheggio interno.Ultima aggiunta è la gentilezza dei titolari e di tutto lo staff, che sono sempre stati premurosi e solerti ad ogni nostra eventuale richiesta!!! Ben accetti anche i cagnolini!!!",Hotel Jet,2019-07-05,5 stelle
134,Global66868923884,"Ho soggiornato una sola notte per poter fare la mezza maratona serale il 25/05. L'hotel, anche se l'ho ""usufruito"" poco mi ha destato un'ottima impressione per struttura, posizione,camere, piscina e personale cordiale. Colazione da lasciarci gli occhi e prendersi un kg!!",Hotel Jet,2019-07-05,4 stelle
135,Durame,"La struttura è ottimamente posizionata nelle immediate vicinanze della spiaggia, anche se non vi è direttamente affacciata, ed è molto vicina a piazza Milano. Bene organizzata, dispone di un comodo parcheggio privato, di un tratto riservato di spiaggia, di biciclette e di una bella piscina. Le camere sono ampie, confortevoli e pulite. Ottima la colazione e molto cortese e disponibile il personale. Prezzi nella norma.",Hotel Jet,2019-07-05,4 stelle
136,Michela C,"Io e il mio compagno siamo stati in questo Hotel molto accogliente per un week end, personale cortese e disponibile. Vicinissimo alla spiaggia e al centro. Dotato di piscina bella grande, colazione super, molto variegata.",Hotel Jet,2019-07-05,5 stelle
137,Laura Marchi,"Un hotel super!!! top veramente !! Pulito e ottimo cibo.!!! Noi siamo capitate senza prenotare ma Il Personale è stato molto educato, gentile e disponibile! state solo un week end ma ci torneremo sii sicuro !!!",Hotel Jet,2019-07-05,5 stelle
138,Pierluca,"Ottima location a due passi dal mare. Tutto il personale all'accoglienza preciso e puntuale.Camere pulite, ottima la camera superior appena ristrutturata.Sala colazione gradevole, scelta per tutti i gusti, materie prime ottime.Servizio spiaggia e parking ottimi.Noi torneremo prestissimo. Ringraziamo per la piacevole esperienza.",Hotel Jet,2019-07-05,5 stelle
139,Carlo,"Servizio ottimo, disponibilità e professionalità del personale, cucina buona ed abbondante. La posizione è ottima, vicino alla spiaggia e al centro. Ottimo il voto per il buon rapporto qualità prezzo... l'unica cosa che migliorerei è la stanza da bagno, per il resto tutto eccellente.",Hotel Jet,2019-07-05,5 stelle
140,schener,"Vicinissimo al mare,stanza climatizzata e adatta al tipo di vacanza mordi e fuggi. Servizio spiaggia incluso. Piscina in loco, pulizia accurata.Il valore aggiunto? Cortesia e disponibilità dei titolari che ti fanno sentire ""a casa"" non appena arrivi!da consigliare e da ritornarci!!!! Ovviamente munite di Fenicottero!…",Hotel Stockholm,2019-07-05,4 stelle
141,Adriana B,"Ospitale , pulito, è come sia la tua seconda casa, ti senti al sicuro. Attento ai minimi particolari. Si ha a disposizione la spiaggia privata ed il parcheggio incluso nel prezzo.Ospitali e gentili. Lo consiglio vivamente! ",Hotel Stockholm,2019-07-05,5 stelle
142,ANGELO G,"Gestori gentilissimi,ci hanno consigliato dove cenare e come muoverci,la struttura bella con piscina,camere spaziose e pulitissime e sopratutto un'ottima colazione,peccato aver soggiornato solo per 2 notti,ritorneremo presto per provare il mare di jesolo!!!",Hotel Stockholm,2019-07-05,5 stelle
143,Sonia C,"Per la prima volta le recensioni degli ospiti corrispondono: -uno staff cordiale che ti fa sentire ospite gradito -camera molto pulita, ben arredata, lenzuola e copriletto freschi di bucato -una bella piscina per non fare due passi (due) fino alla spiaggia -arredamento in generale, spazi esterni e interni, tutto curato come a casa propria -colazione, un brunch che fa quasi scordare il pranzo Mi sarebbe piaciuto uno spazio dove consumare liberamente un  pasto senza doversi appoggiare per forza al bar... solo questo. Bravi ragazzi, abbiate sempre questa cura e non avrete rivali nei 4 stelle!!…",Hotel Stockholm,2019-07-05,5 stelle
