,utente,commento,hotel,dataIns,url
72,,"Un meeting in questo hotel che e’ proprio su una piazza fantastica a Roma, davanti al pantheon.Facile da raggiungere, e vicino a tanti monumenti di Roma che si raggiungono in un attimo.Ambiente pulito e confortevole.",,,
73,,"Sono appena tornata da una vacanza a Roma e ho soggiornato in questo bellissimo albergo..Posizione ottima di fianco al Pantheon..in centro storico...a pochi km dai migliori monumenti, che puoi raggiungere tranquillamente a piedi...L' albergo  con arredi raffinati ed eleganti, pulizia al top, e colazione molto valida. non per ultimo il personale gentile e disponibile.....sicuramente ci tornero'......",,,
74,,"Non posso che confermare tutte le recensioni precedenti. Camera standard ma con vista al primo piano dotata di tutto (compresi accappatoio e ciabattine). Riassetto stanza 2 volte al giorno (e vogliamo chiamarlo un 3 stelle???) colazione ottima sia dolce che salato, servizio di concergierie attento e sempre disponibile. In ultimo la posizione strepitosa. What’s else? La terrazza all’ultimo piano ad uso dei clienti dove d’estate è disponibile il servizio bar!!",,,
75,,"Tre stelle storico in posizione strategica, centrale e suggestiva: davanti al Pantheon.Camera un pò piccola ma curata.Ottima la prima colazione anche con frutta e succhi freschi.Prezzi abbordabili tenuto conto della posizionePersonale gentile.Difficile pretendere di più.Vale la pena tornare.",,,
76,,"Ottima è strategica posizione, personale superlativo, pulizia e colazione eccellenti, unica pecca, l'albero di Natale non era all'altezza dell'hotel, poteva fare concorrenza a Spelacchio!Quindi lo consiglio vivamente",,,
77,,Posto molto bello e accogliente comodo personale molto gentile ottimo lo consiglierei per un lungo week end. Sono stata benissimo e tornero presto appena possibile. Rapporto qualita prexxprezzo.ottimo,,,
78,,Location super. Struttura molto bella e pulita con camere spaziose e molto belle. Terrazza al sesto piano con vista fantastica sul pantheon e su tutta Roma. Colazione molto varia. Personale gentilissimo e attento ad ogni esigenza.,,,
79,,"Posizione perfetta,personale magnifico,camere splendide....ci hanno anche fatto un upgrade di camera,rispetto a quella prenotata.Colazione ricca di tutto,comprese crostate ,macchina automatica per i pancake, succhi,yogurt,brioches freschissime, bacon,uova strapazzate, diversi tipi di pane,focacce....e molto altro.Camera assolutamente deliziosa,spaziosissima e silenziosissima,nonostante la posizione assolutamente centrale.Provato anche il bar dell'albergo che offre aperitivo davvero buoni e ricchi.Personale,come dicevo,disponibilissimo,cordialissimo,gentilissimo.Un motivo in più per tornare a Roma, e torneremo presto.",,,
80,,Nel cuore di Roma! Stanza grande e con vista mozzafiato. Personale disponibile e cortese. Ottimo sia per un viaggio d affari sia per un soggiorno di piacere. Il prezzo assolutamente in linea con la qualità della stanza. ,,,
81,,"Siamo stati in questo splendido hotel solo una notte, sarebbe stato assolutamente bello starci di più. Il personale è stato puntuale, professionale e molto educato. Ci hanno contattato i giorni prima del nostro arrivo, ci hanno prenotato un transfer dalla stazione Roma termini, ci hanno accolto in modo impeccabile. La suite Tempesta, che avevamo scelto, è molto bella sia per la posizione sia per la presenza di una grande casa idromassaggio. Il pavimento in legno a spina è bellissimo ed i materiali dell’arredo sono Tutti ricercati e di tendenza. La domotica è buona. Consiglierei solo di aggiungere Netflix in camera o altri servizi per TV. Colazione la mattina in terrazza vista su piazza Navona davvero INCREDIBILE . Consiglio questo posto a chi ama soggiornare in piccoli boutique hotel di design  Un grazie alla responsabile e a tutto lo staff…",,,
82,,"Non avessi letto le altre recensioni forse sarei arrivato con aspettative più basse ed avrei messo cinque palle, arrivando in un cinque stelle, con cinque palle, primo hotel di Roma su TripAdvisor si arriva con un’aspettativa talmente alta che si rischia di rimanere un pochino delusi. Cosa mi è piaciuto: -La vista, la vista, la vista: l’affaccio su piazza Navona è impagabile. -L’arredo: curato, elegante, ironico -La pulizia -rapporto qualità/prezzo buono  Cosa poteva andare meglio: -le dimensioni del letto -la sala della colazione e là colazione in generale -alcuni piccoli dettagli nell’arredo (fili elettrici troppo lunghi, piccole scalfitture nei mobili, soprammobili  con il prezzo sotto)...dettagli che fanno la differenza tra il molto buono ed il perfetto. -il fatto di essere un hotel di fatto senza servizi comuni a parte la reception e la terrazza è penalizzante (no Spa, no ristorante, no palestra, no aree comuni), anche se questo lo si sa già al momento della prenotazione. In sintesi: bello, posizione meravigliosa, stanze coinvolgenti, ma manca ancora qualcosina per arrivare alla perfezione…",,,
83,,"Palazzo affascinante, posizione unica come la vista direttamente sulla suggestiva Piazza Navona. Personale gentile e disponibile. Le camere originali, di un design moderno e curato nei minimi dettagli e colazione buonissima. Niente di meglio",,,
84,,"Hotel eccezionale, posizione fantastica, personale di una cortesia e professionalità superiore. Camera favolosa con vista su Piazza Navona. Servizi in camera di livello superiore. Terrazza stupenda. Vale veramente la pena soggiornare in questo fantastico hotel. ",,,
85,,Ho soggiornato nella bellissima suites Cappuccino. Da non perdere la vista dalla fantastica terrazza.La  stanza affaccia su una delle più belle e famose piazze di Roma.Per colazione ho scelto l’omelette ed era deliziosa. Non ho resistito e ho scattato alcune foto che allego di seguito.,,,
86,,Una location unica con tutte le suite che si affacciano su piazza Navona con una vista mozzafiato. Le camere curate in ogni particolare offrono il massimo del piacere e del confort. Lo staff con discrezione offre cordialità ed efficienza . Il soggiorno in questa location regala un'esperienza unica nel centro di Roma,,,
87,,"Ho alloggiato in questo hotel per qualche giorno e devo dire che è sempilcemente... FANTASTICO! Le camere erano fantastiche e arredate con ordine e classe, affacciavano su piazza Navona... meravigliosa! Il personale molto gentile e attento alle esigenze di tutti.",,,
88,,Le suite valorizzano al massimo la veduta di piazza Navona una delle più belle del mondo. In particolare la suite dove ho soggiornato era prospiciente sulla fontana dei quattro fiumi e sulla basilica di Santa Agnese. Uno spettacolo unico. Le suite sono luminose e ben arredate in stile moderno e dotate dei più moderni conforts. La prima colazione offre prodotti di prima qualità e piatti espressi molto gustosi.,,,
89,,Si trova proprio difronte a Piazza Navona la reception è molto accogliente si mangia bene ed l'unico peccato e che nn si possono portare gli animali domestici Però ottimo hotel sopratutto grazie alla posizione,,,
90,,"La posizione si trova proprio davanti alla Fontana dei Quattro Fiumi di Bernini in Piazza Navona. Posizione ottima, andavamo camminando da per tutto ( vicino al Pantheon )! La suite meravigliosa, l'arredo e il design la rendono unica ( anche il bagno ). Pulizia impeccabile. Personale gentilissimo ! Hotel di altissimo livello! POSTO VERAMENTE INCANTEVOLE! Sono molto felice di averlo scelto !",,,
91,,Devo dire che questo hotel e bellissimo e vale i soldi che ho pagato per una suite. Ottimi servizi. Ottima colazione (ovviamente c'è di tutto) è ottimo io personale gentile e simpatico grazie per questo soggiorno,,,
92,,Location favolosa che si staglia su piazza Navona... un vero gioiello incastonato nella città eterna. Personale cordiale e sempre attento alle richieste del cliente. Inutile dire della bellezza della camera. Indimenticabile. Confort e lusso ad un prezzo congruo. Colazione favolosa. Che dire di più?? Andateci almeno una volta sarete piacevolmente coccolati.,,,
93,,"Il posto è meraviglioso. Hai la fortuna di entrare e vivere per qualche giorno in uno dei più bei palazzi romani e di affacciarti, come fosse la tua casa, sulla piazza più bella al mondo: una sensazione incredibile! Le camere poi sono super confortevoli, eleganti, lussuose e originali. Lo staff infine è la ciliegina sulla torta: sorridente, gentile, attento e pronto a darti suggerimenti per vivere al meglio il tuo soggiorno a Roma.",,,
94,,"ESPERIENZA UNICA . I proprietari così come tutto lo staff del Lifestyle sono persone eccezionali . Camere stupende, arredate con gusto e classe. Ogni stanza richiama un tema particolare e lo stile è conforme allo stesso. Tutte le camere hanno l'affaccio su Piazza Navona, aprire la finestra ti permette di godere di un panorama unico, tra i più belli ed invidiati del mondo . Pulizia e cura dei particolari sono tra i punti di forza di questa struttura perfetta ed impeccabile sotto ogni aspetto . La colazione è di una qualità superiore. Buffet con varietà di frutta, yogurt, salumi ( tra cui il pregiatissimo patanegra spagnolo ), torte preparate giornalmente, cereali, biscotti, pane e la possibilità di ordinare piatti espressi : uova, bacon, omelette e quant'altro . Non ci sono parole per descrivere questo posto, esse non basterebbero per decantare al meglio un luogo magico come il LSS di Roma . Bravi ragazzi, continuate cosi ! Siete voi con la vostra professionalità e attenzione la vera chiave del vostro meritato successo! Francesca",,,
95,,"Perfetta location, stanze bellissime, vista da sogno , personale disponibilissimo, pulizia impeccabile, colazione superAssolutamente da ritornare!!!Sono un grande viaggiatore e ho girato il mondo ma questa struttura mi ha impressionato in positivo in tutto e per tuttoPerfetto per coppieVeramente romantico",,,
96,,"Hotel di altissimo livello, siamo rimasti senza parole, tutto perfetto pulito e comodo. Curato con molta attenzione ogni angolo della struttura, silenzio e tranquillità hanno reso il nostro soggiorno ancora più piacevole. Per concludere dalla camera una vista strepitosa. Sicuramente ci torneremo!!!CONSIGLIATO!!!",,,
97,,"Ho trascorso un breve periodo presso il Lifestyle Suites per un viaggio d'affari e devo dire che la mia esperienza è stata di alto livello.Il personale è sempre stato molto gentile e preparato, le camere poi erano veramente belle ed accoglienti.",,,
98,,"Hotel di altissimo livello. Ho avuto la fortuna di scegliere quest'hotel per un breve soggiorno romantico a Roma. ma sono rimasto senza parole quando sono entrato nella suite che ci era stata assegnata camera perfetta, parquet, letto comodissimo e con un baldacchino in vetro particolarissimo...vista mozzafiato su piazza Navona e poi il bagno..con una vasca idromassaggio incantevole e un piano doccia da lasciar senza parole. colazione ottima, variegata e di alta livello. personale gentilissimo e servizievole in tutto, sia prima del check in che durante il soggiorno.",,,
99,,Hotel di altissimo livello. Ho avuto l'occasione di pernottare da solo nella struttura per un viaggio d affari e l'esperienza é stata impeccabile. Molto comoda la location. Se dovessi tornare nella capitale non avrei dubbi sull'hotel da scegliere,,,
100,,"posizione fantastica, con vista su pantheon e piazza della rotonda a 2 passi dai luoghi più belli. Camera molto pulita e personale molto disponibile. Colazione a buffet in un bar di fronte all'hotel molto soddisfacente",,,
101,,"Le camere sono modeste ma pulite, senza grandi comfort (noi abbiamo alloggiato nella depandance). La colazione nel vicino bar è piuttosto misera. Personale cortese e ottima posizione. Abbastanza caro per quello che offre ",,,
102,,"A prima vista non sembra interessante. Appena sali in camera ti accorgi che e' un hotel che non sembra confortevole ma lo è. Camere di livello superiore e, poi nel centro del centro di Roma, al Pantheon, che dire di più. La prima colazione si consuma in uno dei bar con tavolinetti all'aperto nell'incantevole piazza della Rotonda proprio di fronte al Pantheon. Che dire di più. Un'ottima scelta.…",,,
103,,"Credo che ci sia poco da dire, personale di ottimo livello e molto gentile, affaccio in una zona meravigliosa di Roma, colazione all'altezza della location ottima variegata e assolutamente fresca. E' un'ottimo albergo.",,,
104,,"Abbiamo alloggiato in questo Albergo per il ponte dell'Immacolata. Avevamo prenotato con scetticismo ma ci siamo subito ricreduti. Struttura posizionata difronte al Pantheon con una vista spettacolare. Molto carine le camere, da poco ristrutturate : faccio notare che se qualcuno ha scritto che ci vorrebbe una rinfrescata dovrebbe pensare che i danni li faccio noi clienti e non il personale della struttura. Gli ambienti si presentano puliti e confortevoli. Il personale è gentilissimo e squisitamente disponibile. La colazione veniva servita in un bar nelle immediate vicinanze: cibo di buona qualità in quantità appropriate. I prezzi sono giusti e rapportati alla location della struttura.  Al mio ritorno ho ricevuto, tramite mail, il ringraziamento per il soggiorno da parte della struttura con un saluto da parte di tutto il personale; cosa che ho apprezzato notevolmente. Decisamente consigliato .... io ci ritornerò.…",,,
105,,"Hotel confortevole, ma che avrebbe bisogno di una rinfrescata. I bagni sono puliti ma ""vintage"". Con qualche piccolo accorgimento meriterebbe un pallino in più. Colazione consona al livello. Ottima la posizione.",,,
106,,Molto caro e niente arrosto. Di sicuro al prezzo di 250 euro al giorno ti aspetti non di trovare ii servizi di un 5 stelle ma di sicuro un 3 stelle di altissima qualità. E anche così quel prezzo e veramente altissimo. Stanza nella dependance picolissima. Un letto a una piazza e mezzo con d'intorno spazio di neanche mezzo metro a girarci. Parchet in legno molto andato ( grafiato ) anche se qui in tutto non sarebbe la colpa del albergo. Tv in stanza credo 21 pollici ( minuscolo ). Bagno ristrutturato nuovo anche se si poteva di meglio.                              Owen Francisc,,,
107,,"Abbiamo alloggiato in questo hotel per il ponte del 25 aprile. Camera con affaccio sul pantheon. Vista spettacolare. Camera molto confortevole e personale eccellente. La colazione poi,fatta in un bar che ha i tavoli sulla piazza, prepara per una giornata felice. Ci tornerò sicuramente.",,,
108,,Location unica con vista mozzafiato sul PantheonPersonale professionale e gentile Camera perfetta con tutti i comfort Colazione bellissima in piazza della rotondaConsigliatissimo il mio riferimento a Roma.,,,
109,,Per chi vuole soggiornare in pieno centro di Roma a un prezzo conveniente in stanze pulite anche se non molto spaziose può venire qui.Per la colazione c ' e' una convenzione con il vicino bar a piazza della Rotonda.,,,
110,,"Ho soggiornato una notte  per lavoro all'Hotel Abruzzi. Posizione ottimale difronte al Pantheon. Zona centralissima con turisti ad ogni ora,  vi lascio immaginare il rumore esterno. Ma una volta entrati nell'Hotel  una tranquillità assoluta, molto silenzioso. Camera spaziosa e pulita. Il prezzo un po' caruccio!!! Personale competente e gentile. Spero di trovare qualche offerta per ritornarci😊",,,
111,,"Moderno nuovo, carinissimo personale disponibile e gentile,colazione all'americana abbondante presso un bar adiacente .In posizione centrale proprio davanti al Pantheon.Abbiamo viaggiato con un bimbo ci siam trovati benissimo.",,,
112,,"Purtroppo, dopo aver chiamato hotel Abruzzi, che con sincerità Non avevano più doppie, che l'unica disponibilità che avevamo era un matrimoniale, abbiamo prenotato da qui imbroglioni dell'albergo del sole, vicino dell'Abruzzì così abbiamo potuto constatare la grande differenza. Si l' Abruzzi Non si può confondere, ottima professionalità e sincerità, belle stanze, Totti doc, dietro il suo piccolo cuore si nasconde un super 5 stelle.",,,
113,,"Ottimo soggiorno e personale cordiale e disponibile. Camera luminosa, panorama incantevole con sottofondo musicale che accompagna il weekend romantico. Spero di ritornare nuovamente per la quarta volta.",,,
114,,"Era un viaggio rapido per un fine settimana a Roma, e quindi volevo un hotel vicino a tutti i principali siti: quello trovato non avrebbe potuto essere un posto migliore essendo a circa 25 minuti a piedi dal Vaticano e Colosseo, a 5-10 minuti dalla fontana di Trevi, da Piazza di Spagna e negozi. E con il Pantheon a due passi e Piazza Navona 2 minuti di distanza.La camera era in un annesso a breve distanza dalla porta dell'hotel. Era pulita, ordinata ed aveva tutto quello che occorre per i i bisogni di base. Il personale è stato di grande aiuto quando ciò è stato necessario e ci ha fatto sentire molto ben accolti. E' stato molto piacevole, inoltre, mangiare all'aperto, seduto in un bar sulla piazza che si affaccia sul Pantheon e gustare un prosecco prima di una breve passeggiata per raggiungere il letto.",,,
115,,"Un hotel splendido in una posizione magnifica!Centralissimo e comodo per raggiungere raggiungere molte mete, musei, punti di interesse e monumenti della splendida Capitale.La vista sulla piazza del Pantheon è veramente emozionante!E sopratutto la struttura è arredata in modo veramente carino!",,,
116,,"Abbiamo pernottato presso questo albergo qualche giorno fa x un'occasione speciale e lo abbiamo scelto perché affaccia proprio in piazza del Pantheon. L'atmosfera che si respira è davvero romantica, la stanza in stile moderno con mobili nuovi e stampe con riproduzioni della città eterna davvero accogliente. L'albergo non dispone di ascensore e di sala colazione, ma ha una convenzione con un bar ristorante della piazza che permette di mangiare esattamente di fronte al Pantheon. L'accoglienza è stata calda e professionale, esperienza sicuramente da ripetere!",,,
117,,"Consiglio questa eccellente struttura, soprattutto per chi si vuole muovere a piedi nel centro di Roma. Il personale è professionale e cortese.Le camere affacciano sulla suggestiva piazza del Pantheon e sono molto luminose.",,,
118,,"Sono stata veramente bene in questo albergo. Mi è stata data una suite al quarto piano con una vista a dir poco spettacolare. Silenzioso (gli ottimi infissi isolano dai rumori della strada), confortevole e con uno staff di grande professionalità e squisita cordialità.La colazione, varia e abbondante, si fa all'esterno, in un bar della piazza, dai cui tavolini si continua a godere della splendida vista.",,,
119,,"Di fronte al Pantheon e infatti risulta impossibile dormire a causa dei vari rumori: folla, spazzini, vigilanza... Stanze piccole e cosi pure il bagno dove non rifornivano di gel doccia. Fino al primo piano no ascensore e quindi 3 rampe di scale.Per la colazione bisogna andare al bar nella parte opposta della piazza della rotonda che offre poco e di scarsa qualità,",,,
120,,La struttura è situata in pieno centro con la camere suddivse in diverse case molto vicine alla struttura principale raggiungibile a piedi in pochi minuti. Ottima e bellissima la colazione preparata con molta cura. Camere veramente pulite.,,,
121,,"Siamo un gruppo di motociclisti (Motorustici) che ogni anno fine Maggio primi di Giugno, si prende una pausa da tutto (famiglia e lavoro) per qualche giorno. Quest'anno Sardegna, strade bellissime da moto, paesaggi stupendi, gente cordiale, insomma il Top.  Ho cercato su Tripadvisor ed è spuntato Albergo diffuso Mannois. Già al telefono chi ti risponde ti fa capire che lavorano sereni.....quindi prenotiamo x 7 pax. Stanze in abitazioni recuperate e ristrutturate ""stile sardo"", pulite e fresche. Colazione alta qualità e abbondante, a buffet. Sa Turre (ristorante della struttura) con una cucina tradizionale, gustosa e con rapporto qualità/prezzo giusti. Tutti i dipendenti giovani, allegri, disponibili, bravissimi......da 10. (come in Liguria!!!!)…",,,
122,,"Un meraviglioso gioiello incastonato nel centro storico di Orosei. Curato nei più piccoli dettagli, fortemente legato alle tradizioni senza essere banale e scontato. Gentilezza e professionalità fanno il resto. Molto comodo il servizio bike x raggiungere il loco piccolo stabilimento balneare. Esperienza che si ripeterà tante tante volte .…",,,
123,,"Abbiamo soggiornato in questo meraviglioso hotel diffuso per festeggiare una nostra importante ricorrenza. Le location sono incantevoli, curate nei dettagli, accoglienti e confortevoli; ottima pulizia, colazione abbonante e variegata. Il tutto accompagnato dalla cortesia e dalla simpatia del personale. Ottimo anche il ristorante  dell'albergo Sa Turre, buon cibo, bella vista e gentilezza!!! Alla prossima occasione ...…",,,
124,,Soggiornato in formula appartamento durante i ponti Loft perfetto e molto ben accessoriato Terrazza con cucinino bella e fruibile Nelle immediate vicinanze puoi trovare bar e forno per una colazione pronta All’uso Personale gentilissimo e dispensatore di ottimi consigli,,,
125,,"Otto giorni come si deve in questo gioiellino, molto curato e accogliente. Al centro di una delle zone più interessanti della Sardegna. Ottimo. Colazione nella media. Camera con jacuzzi funzionante( merce rara al giorno d’oggi) personale bravissimo.",,,
126,,"Bellissima struttura diffusa. consigliatissima.Ottimo anche il ristorante connesso Sa Turre posto sulla vetta di un torrione che domina l'intero paese di Orosei.Locale riservato e romantico, personale gentile e competente.",,,
127,,"Nel 2014 avevo  soggiornato in questa struttura che mi aveva pienamente soddisfatta.  Orosei e il suo bel mare mi hanno  spinta a ripetere l'esperienza con mio marito e mia nipote di 12anni . Non ho avuto dubbi nel scegliere Mannois. Il concetto di albergo diffuso mi soddisfa pienamente, dislocato nel centro storico, ma funzionale , tutte le strutture sono a pochi minuti di distanza . Abbiamo alloggiato  a ""sa dommo"" in una ampia camera tripla con balcone con tavolino e poltrone , la cui pulizia era ineccepibile e profumatissima, il sonno fantastico. Se vogliamo l'unico neo il bagno senza aria  con ciò che ne consegue. La colazione è servita a Sa corte, casa madre,   in cui è ubicata la reception: abbondante, varia,  con prodotti del territorio , dolci preparati dal cuoco ( torte, cannoli, paste, brioche ogni ben di Dio ) e salata ( ricotta, formaggi, salumi, uova, bacon ) frutta, succhi . Il personale è numeroso, attento, simpatico, efficiente. Basta chiedere è si è accontentati. Altrettanto posso dire  di Emanuele, della straordinaria Emanuela prodighi di informazioni, suggerimenti, consigli sul territorio, sulle attività , sui offerti. Solleciti, discreti, con professionalità straordinaria. L'albergo offre anche un valido servizio di biciclette, anche a pedalata assistita con cui è agevole muoversi nel centro storico di Orosei, dove non è facile parcheggiare,  e si percepisce un certo fastidio da parte degli abitanti nei confronti dei turisti. Non è semplice aggirarsi in auto nelle strette viuzze del paese.  Ciò esula dal giudizio  ultra positivo sulla struttura. Vorrei fare un plauso al lido Mannois, perfettamente attrezzato,  pulito, ordinato ma soprattutto gestito da fantastici ragazzi  sorridenti, simpatici che aggiungevano valore al bello stabilimento balneare.Consiglio a chi cerca semplicità raffinata, senza ostentazione che non sia la qualità del servizio, la professionalità, l'efficienza, l'onestà nei prezzi per i servizi forniti. Un grande abbraccio a tutto il personale che ci ha fatto sentire in una grande famiglia.",,,
128,,"Un albergo, specialmente quello delle vacanze, deve evocarti sensazioni, emozioni...E quando si sceglie l’albergo diffuso Mannois, una struttura ricettiva dislocata in edifici diversi, si ha anche la possibilità di “personalizzare” le proprie emozioni. Ho deciso in loco di prolungare il mio soggiorno e, a causa di una prenotazione già confermata, ho avuto la possibilità di pernottare in una camera diversa dalla prima assegnata: ed è proprio da questa mia esperienza che ho potuto assaporare un’atmosfera diversa dalla prima. Sa Turre: una stanza luminosa e mediterranea, con una vista mozzafiato sui borghi di Orosei che si stendono a perdita d’occhio fino al mare, arredi chiari e perfettamente in armonia con i giochi architettonici delle volte dei soffitti. Sa Corte: una stanza romantica e intima, con un balconcino che si affaccia sulla corte interna, sfondo indimenticabile per un aperitivo in attesa del tramonto, arredi minimal e architettura curata nel minimo dettaglio per conservare al massimo il fascino di quei borghi ricchi di charme.La prima colazione è degna di un hotel lusso, con specialità di alta pasticceria e un ricchissimo buffet che saprà accontentare anche i palati più esigenti. Non solo lo consiglierei vivamente, ma invito gli amici di TripAdvisor a visitare di persona questa sorprendente realtà per ammirare con quanto amore per la propria terra e con quanta dedizione sono stati sapientemente ricostruite ambientazioni e architetture, partendo da vecchie e dismesse abitazioni e riprendendo pazientemente ogni piccolo particolare che potesse richiamare la loro iniziale condizione. Per un full immersion nella vera Sardegna che piano piano sta scomparendo. Eccellente rapporto qualità prezzo, personale attento e molto cordiale. Direi che definirlo hotel 4 stelle è sicuramente riduttivo, perché i servizi offerti non hanno nulla da invidiare ad un resort più titolato.",,,
129,,Hotel super carino in centro a Orosei.Buona e varia la colazione.Lo staff molto preparato è disponibile.Camera piccola ma accogliente.Molto valida anche la cena al ristorante sulla terrazza con vista sulla città.Lo consiglierei sicuramente.,,,
130,,"Piacevole struttura, personale cortesissimo, ben organizzato. Pulizia ed efficienza, buona base per le meravigliose escursioni nella zona. Silenziosa e tranquilla, consigliabile per soggiorni sia brevi ch lunghi. Buona la colazione. Suggerimenti? Attenzione al link con il ristorante Sa Turre, le luci nelle camere potrebbero essere migliorate, in particolare il lampione nel cortile.",,,
131,,"Anche se il tempo non é stato dei migliori (pioveva a dirotto) abbiamo deciso di fare tutto il tragitto da Porto Torres fino a Orosei... 2 ore e mezza per godere di questo piccolo paradiso che ha mantenuto le promesse date. All´arrivo ha addirittura smesso di piovere ;) Uno spettacolare hotel nascosto all´interno della parte vecchia del paese di Orosei. Personale gentilissimo e preparato. Parcheggio a pochi passi dall´hotel (con i bagagli un pó scomodo; ma comunque siamo stati aiutati dalla reception). La stanza con vasca idromassaggio soddisferebbe anche i gusti piú difficili. Abbiamo goduto di un lungo bagno con essenze profumate e tante bolle, abbiamo gustato un buonissimo spumante direttamente immersi nella vasca e il comodissimo letto c´ha regalato una notte stupenda. La colazione del mattino dopo, servita nella saletta della struttura centrale, era completa di uova e pancetta, ottime marmellate, diverse tipi di pane, formaggi, succhi di frutta, caffé, cappuccino... Insomma... un´esperienza positiva su tutti i fronti...Peccato essere stati costretti a ripartire subito il giorno dopo... avremmo voluto rimanere piú a lungo e scoprire anche la zona e le sue magnifiche Domus de Janas...Unica pecca é stata la visita al Ristorante SA TURRE... onestamente ci saremmo aspettati qualcosa di speciale da un ristorante connesso ad uno degli hotel piú particolari e speciali della Sardegna.",,,
132,,"Struttura ristrutturata di recente, accogliente e silenziosa. Siamo stati a Orosei tre giorni e sono stati bei momenti. L'appartamento è dotato di angolo cottura che però si trova nella terrazza esposta al vento e al freddo.",,,
133,,"Dormiamo ad Orosei dove siamo per la prima volta. Signora all'accoglienza molto gentile e disponibile. Camera molto carina, pulita e silenziosa. Accogliente.Ristorante chiuso perché fuori stagione ma i suggerimenti datici sono stati anche molto gentili ed interessanti. Da tener presente.",,,
134,,"Abbiamo pernottato in questa struttura per sole due notti ma bisogna ammettere che avrebbe meritato fermarsi a lungo. Ambienti deliziosamente curati ed arredati. Stanze pulite e comode. Personale di accoglienza di grande professionalità, disponibili, gentili, simpatici. Eccellente la colazione preparata in un sala veramente graziosa. Complimenti e ..... arrivederci a presto. Consiglio.",,,
135,,Albergo diffuso di immensa bellezza le stanze comprendono il bagno e sono curate nei minimi dettagli in stile sardo molto accoglienti e pulite e estremamente confortevoli. Viene servita una colazione a buffet molto varia e abbondante e tutto buonissimo. Consigliatissimo!!,,,
136,,"Abbiamo soggiornato qui per 4 notti e la nostra vacanza è stata stupenda. La prima sera siamo arrivati in ritardo al check in e il ragazzo della reception si è offerto di aspettarci per ben due ore!!I Ragazzi che lavorano in questoalbergo sono Gentilissimi e sempre disponibili, dalla signora che serviva i cappuccini alla mattina, a quelli della reception che ci davano sempre ottimi consigli su dove mangiare o cosa visitare. L'ultima sera, quando abbiamo detto alla ragazza della reception che saremmo partiti l'indomani prima della colazione si è persino offerta di farci un pacco colazione da prenderci su per il viaggio! Che dire?? Meglio di così non poteva andare! Staff fantastico!!",,,
137,,"Piacevole soggiorno per chi cerca privacy, indipendenza e qualità. Ho soggiornato con il mio fidanzato nell'appartamento de luxe   : tutto nuovissimo, pulizia eccellente , stoviglie pulitissime e nuove , letto molto comodo e . stabile sapientemente ristrutturato, comodo per le varie escursioni e poi parcheggio pubblico adiacente , il centro si raggiunge tranquillamente a piedi,panetteria con prodotti freschi e deliziosi sotto casa, macelleria con con carni locali e bar. Stra-consigliato",,,
138,,"Abbiamo soggiornato per 8 gg al Mannois sulla scorta delle ottime recensioni e perché preferiamo ogni anno scoprire zone che non conosciamo di questa meravigliosa isola. Pertanto la scelta è ricaduta su Orosei.  L hotel è molto curato con gusto nelle parti comuni  dove si può gustare un'eccellente colazione che può soddisfare tutti i gusti per varietà e qualità.  Bella la camera con pulizie giornaliere perfette. Simpaticissimo il servizio bike che ci ha consentito di raggiungere la spiaggia in circa 20 minuti  attraverso un bel percorso in buona parte pista ciclabile.  Servizio spiaggia perfetto comodissimo e con ombrelloni molto distanziati.  Personale di servizio professionale e gentilissimo tra  cui Anna regina delle colazioni che ci ha anche suggerito qualche percorso alternativo all interno che si è rivelato perfetto. Il paese di Orosei è stata una piacevole sorpresa con centro storico curato e grazioso con esercizi commerciali anche gradevoli. Consiglio anche la visita su spiagge limitrofe quale Su Barone, Bidderosa, Bircheda. Interessantissima la visita alla sorgente di Su Gologone (sempre suggerito da Anna).",,,
139,,"inizio col scrivere che Davide il ragazzo che ci ha accolti nella struttura distaccata dell'hotel cioè nel Loft, è una persona GENTILISSIMA e molto disponibile, ci ha anche prenotato la minicrocera e il ristorante.il Loft è un incanto, avevamo il numero 8, vista mare e montagna, camera arredata con gusto, veranda comodissima con frigo piano ad induzione microonde lavello e vari accessori essenziali, utilissimo per chi viaggia con bimbi piccoli come noi, preparando la pappa prima delle giornate passate al mare.letto comodissimo, culla fornita gratuitamente,   bagno molto grande e funzionale.L'intero alloggio pulito impeccabilmente, un 10 e lode.Sicuramente consiglierò questo alloggio a chi vorrà trascorrere una vacanza ad Orosei, sicuramente ci ritorneremo.un caro saluto a tutto lo staff e buon lavoroYlenia, Stefano è Mattia",,,
140,,Un soggiorno eccellente. Abbiamo scelto l hotel per la nostra luna di miele. Struttura incantevole per posizione ottima e scenario. Vista mare dalla colazione alla cena. Piscina da favola. Staff gentilissimo professionale e molto disponibile. Al nostro arrivo regalo di benvenuto molto gradito per la nostra luna di miele. Siamo stati aiutati nella scelta delle escursioni e ci hanno consigliato spiagge e locali. Ottimo il servizio di navetta. Grazie allo staff non vi dimenticheremo mai. A presto i novelli sposi Serena e Mattia.…,,,
