utente;commento;hotel;dataIns;labelpers;tipo_lista
Giovanni S;Stanza minuscola con bagno delle stesse dimensioni.Mobilio vetusto molto rovinato.Frigo completamente vuoto..lampadina della stanza fulminata.L'accessorio per stirare i pantaloni fuori uso.Discretamente pulito..le finestre sono chiuse sigillate.Colazione a buffet..personale di sala non particolarmente disponibile.Spero di non tornare più da queste parti;Crowne Plaza Milan Linate;05/07/2019;ce;TRAINING
Paury;Ho soggiornato una notte in questa struttura e devo dire che mi sono trovato bene.la stanza era in ordine e pulita, il set bagno completo e alla mattina la sala colazioni risultava essere ricca di cibo dolce e salato. Un solo piccolo neo riguarda la reception che ha fatto storie per accettare un tipo di pagamento tramite carta (che utilizzo da almeno 5 anni in tutta Italia basta vedere le mie altre recensioni), abbiamo impiegato più di mezz’ora per far passare un pagamento per “autorizzazioni mancanti” ma che ripeto negli ultimi 5 anni ovunque in Italia non mi sino mai state chieste. Del resto tutto ok;Crowne Plaza Milan Linate;05/07/2019;ce;TRAINING
DanieleM;Siamo stati due notti in questa splendida struttura a San Donato Milanese. Il Plaza è sempre una garanzia. Camere confortevoli, personale gentilissimo,  complimenti alle ragazze della reception Marina, Ersilia e Sara, simpatiche, gentili e sorridenti. Colazione top. Parcheggio con custode h24 a 7 euro al giorno. Ci torneremo. Un caro saluto..;Crowne Plaza Milan Linate;05/07/2019;ce;TRAINING
olivia17f;La vicinanza a Linate è sicuramente positiva ma forse andrebbe rivisto lo shuttle che dovrebbe accompagnare a metro piu decorosein 10 minuti già in centro anche a pagamento.Ineccepibile pulizia,meraviglioso confort del sonno(gradirei conoscere marca cuscini e materassi)ottima colazione ma...frigo bar vuoto senza avviso,assenza di presa in bagno,e...phon nell’armadio del corridoio quindi inutilizzabile.peccato!;Crowne Plaza Milan Linate;05/07/2019;ce;TRAINING
Ricky;L'hotel è in zona abbastanza servita e raggiungibile. Vanta un bel parcheggio e uno anche custodito a pagamento. Linee moderne e hall centrale. Ristorante e centro congressi. Non ho visto le stanze perchè ho partecipato ad un congresso. Bagni puliti nonostante tantissime persone. Co spigliato per congressi.;Crowne Plaza Milan Linate;05/07/2019;ce;TRAINING
FERLA74;Hotel bello ed accogliente. Ambienti puliti e personale molto gentile. Sale meeting molto curate. Parcheggio molto piccolo e pertanto molti di noi hanno dovuto parcheggiare fuori con rischio di multe e carro attrezzi. Cibo a buffet nella norma;UNAHOTELS San Vitale Bologna;05/07/2019;ce;TRAINING
giaser;Sempre un ottimo hotel per alloggiare  ma alcuni dettagli in camera andrebbero migliorati.I servizi igienici come il bidet sono troppo piccoli e troppo vicino alla parete.il tappo del lavabo ed il soffione della doccia andrebbero manutenuti un po meglio. La colazione buona e varia.…;UNAHOTELS San Vitale Bologna;05/07/2019;ce;TRAINING
maurobt;Posizione davvero strategica ad un passo dalla tangenziale, un buon hotel con camere ampie e pulite. Ampio anche il bagno ed è per questo che non si capisce la scelta di mettere un bidet mini....per me una pallina in meno solo per questo in hotel il comfort è la prima cosa e quando oltretutto hai spazio non si capisce la scelta. Colazione buona da hotel business quindi non troverete la torta di nonna papera ma tutto quello che erve per iniziare bene la giornata. Personale molto gentile, facilità di parcheggio. Lo consiglio ....anche se avete le gambe un po' lunghe -)));UNAHOTELS San Vitale Bologna;05/07/2019;ce;TRAINING
Gennaro;Ho soggiornato per una notte in questo hotel ed appena entrato subito ti accorgi che e' il top. E' tutto cosi' perfetto dalla stanza alla colazione , io non ho trovato un solo difetto . Complimenti, ci ritornerei subito ...;UNAHOTELS San Vitale Bologna;05/07/2019;ce;TEST
Bikernumberone;Ho soggiornato in questo hotel in occasione di un viaggio di lavoro a Bologna. Per andare in fiera la posizione è piuttosto buona, in meno di dieci minuti si arriva. Camera molto spaziosa e ben arredata, stessa cosa per il bagno: frigobar, cassaforte e tutto ciò che serve. Servizi buoni: parcheggio privato (un tantino caro e non ben segnalato secondo me) ristorante interno e ottima sala meeting. Una nota, a mio avviso, la colazione: mi è parsa un tantino scarsa per un 4 stelle. Ultima cosa: se ora si chiama UNAHOTELSANVITALE perché continuate a lasciare una indicazione differente all’estero?;UNAHOTELS San Vitale Bologna;05/07/2019;ce;TEST
Michele M;Pulito, in ordine, efficiente. Camera comoda, materasso e cuscini comodi, flat tv ampia, frigo e cassaforte.Personale sorridente e disponibile, colazione continentale.Parcheggio di prossimità gratuiti e sotterraneo a pagamento.Servizi pubblici di fronte, 10 min e siete in centro BO, consigliato.Tutto gradevole.;UNAHOTELS San Vitale Bologna;05/07/2019;ce;TEST
Alberto Caleca;Diverse volte ho soggiornato in questo hotel, buona accoglienza e ottima ristorazione ( a prezzi corretti per Bologna)... La camera assegnata con muro sporco... Ultimo giorno acqua calda assente in doccia e per 3 giorni wifi lentissimo (lamentela condivisa da altri ospiti)...non scaricava nemmeno i messaggi di WhatsApp... Figurati potere lavorare...;UNAHOTELS San Vitale Bologna;05/07/2019;ce;TRAINING
Katia C;Ottimo hotel prenotato dal mio compagno, comodo , si trova all’uscita della tangenziale, parcheggio gratuito, camera spaziosa, pulita, bagno con bellissima e comoda doccia , materasso ottimo e colazione fantastica sia dolce che salata!!Personale gentilissimo;UNAHOTELS San Vitale Bologna;05/07/2019;ce;TRAINING
giuliano m;Hotel non modernissimo ma pulito elegante e facile da raggiungere sia in auto che in metro.  Stanza spaziosa e silenziosa  letto comodo.  Colazione con ampia scelta e servizio puntuale in location elegante;Starhotels Business Palace;05/07/2019;ce;TRAINING
giorgio888;Prima volta in questo splendido Hotel, impeccabile in tutto! Pulizia, rispetto, silenzio, cortesia e disponibilità sono i principali fattori di una vacanza. Sicuramente sarà un mio punto di riferimento qualora dovessi tornare a Milano.;Starhotels Business Palace;05/07/2019;ce;TEST
Danjela V;Sono anni che prenoto qui e mai una delusione...magari leggermente fuori centro ma la fermata della metro é a due passi quindi nessun problema per muoversi. Buona la colazione è la pulizia,stanze spaziose;Starhotels Business Palace;05/07/2019;ce;TRAINING
CHIBE;Hotel che necessita sicuramente della manutenzione nelle camere che risultano datate anche se pulite.Mi sarei aspettata prese funzionanti ai comodini per poter caricare gli ormai mille apparecchi tecnologici che si anno. Servizio alla reception normale in check in e piacevole in check out.Parcheggio coperto sotto l'hotel comodo per dimenticare la macchina ed usare i mezzi pubblici (la metro dista 2 minuti a piedi dall'hotel fermata Porto di Mare linea gialla), forse un pò caro ma in linea con i prezzi di hotel 4/5 stelle.La cosa che più ci ha delusi è sicuramente la colazione. poca qualità, succhi creati da buste e fatti  solo da zucchero e coloranti, frutta fresca pessima e poco appetibile, pane che sembrava del giorno prima, miele per pancakes ma pancakes assenti.. ho avuto colazioni migliori in 2-3 stelle. Dovessi tornare la colazione la farei al bar e spenderei decisamente molto meno.Abbiamo prenotato due camere ed abbiamo chiesto camere comunicanti, alla fine abbiamo avuto due camere vicine e nelle stesso piano ma non siamo riusciti a capire se l'hotel dispone di camere comunicanti.;Starhotels Business Palace;05/07/2019;ce;TRAINING
klivio;Vengo spesso in questo albergo nei miei fine settimana a Milano ed è sempre un piacere ritornarci. Vicinissimo alla fermata della metro che collega sia la stazione che il Duomo. Camera e bagno sempre molto puliti, apprezzo molto i canali sky sulla tv.Molto buona la colazione. Check in/out veloce, personale sempre gentile e professionale;Starhotels Business Palace;05/07/2019;ce;TRAINING
Tiberio S. d;Perfetto nel complesso.Colazione abbondante , personale gentile , tv con sky,  letti comodi e spaziosi.Igiene perfetta.Collegata perfettamente con tutti i punti della città usando la metro che si trova dietro l' angolo della strada dell' hotel.Da ritornarci;Starhotels Business Palace;05/07/2019;ce;TRAINING
Iuliana O;Molto accogliente, personale molto cordiale e professionale. Stanze grandi, eleganti e pulite. Molto attenti alle esigenze del cliente.Bellissimo posto, perfettamente collegato con il centro di Milano.;Starhotels Business Palace;05/07/2019;ce;TRAINING
Patrizia P;È la seconda volta che visito Milano e per la seconda volta ho deciso di alloggiare in questo hotel. Vicinissimo alla fermata metro offre tutti i servizi essenziali. Camere molto ampie e pulite, bagni pulitissimi e grandi con tutti i servizi necessari. Colazione internazionale super abbondante, ci sono torte, crostate, croissant, cereali, frutta, ma anche uova, bacon, e chi più ne ha più ne metta. Personale gentilissimo e sempre disponibile per qualsiasi problema e necessità. La prima volta che ho alloggiato qui mi è subito piaciuto, la seconda volta è stata la conferma.;Starhotels Business Palace;05/07/2019;ce;TRAINING
FABIOan70;Pernottato con un altra coppia di ritorno da un matrimonio. Ho apprezzato la qualità delle stanze (spaziose e silenziose) e il letto matrimoniale di misure extra large. Ottimo servizio alla reception e super coccolati nella colazione. La struttura è moderna, con ampio parcheggio e vicino all'ingresso dell'autostrada.…;Cosmopolitan Business Hotel;05/07/2019;ce;TEST
Max G;Hotel in situazione strategica per business, con parcheggio ampio e gratuito. Camere spaziose e pulite, forse avrei gradito una migliore illuminazione sia in bagno che in camera.Letto ampio e comodo.Colazione davvero Super!;Cosmopolitan Business Hotel;05/07/2019;ce;TEST
Cricri18;Penso sia la ventesima volta che torniamo in questo hotel e devo dire che le aspettative sono sempre meglio, le stanze sono spaziose il letto è veramente comodo e largo, ottima la colazione e lo staff ..... gentilissimo  e apprezzano gli amici a 4 zampe!!!!! Ci vediamo presto.;Cosmopolitan Business Hotel;05/07/2019;ce;TRAINING
Mario V;Ci sono stato tante volte perché questo hotel per me è davvero insuperabile come qualità delle stanze, come buffet colazione, come gentilezza del personale. Mi aspetterei qualche prezzo più scontato ogni tanto….;Cosmopolitan Business Hotel;05/07/2019;ce;TRAINING
Laphonso80;Ho trascorso una notte in questo hotel per lavoro. Il personale è ottimo e cortese, le camere veramente confortevoli e la colazione abbondante e molto variegata. Consigliatissimo per chi passa da lì per affari.;Cosmopolitan Business Hotel;05/07/2019;ce;TRAINING
Jkkerouac;Ottima struttura per chi lavora, posti comuni disponibili per incontri di lavoro.Camere ampie e ben arredate.Personale attento e disponibile.Colazione di livello.Ottimo rapporto qualità/prezzo.Wifi molto buono.;Cosmopolitan Business Hotel;05/07/2019;ce;TRAINING
Er tortellino;L albergo è bellissimo e molto professionale. Il ristorante altrettanto...si mangia bene e tipicamente la cucina marchigiana che è ottima...personale educato e disponibile.tavole apparecchiate bene ed eleganza nella struttura.;Cosmopolitan Business Hotel;05/07/2019;ce;TEST
Raffaele M;Tutto perfetto in hotel. Degno di un 4 stelle. Niente da recriminare. Tutto nuovo e pulito. Il ristorante merita una nota di merito il personale molto gentile ed efficiente. Il cibo buono e i prezzi abbordabili. Una ottima scelta anche per cenare. posso solo muovere una minuscola critica per i tavoli troppo vicini ma proprio se voglio trovare un difetto quasi impercettibile. Consigliato, molto. Soprattutto il ristorante.;Cosmopolitan Business Hotel;05/07/2019;ce;TRAINING
ferdisvago;L' hotel è  situato a dieci minuti di strada a piedi da porta napoli, moderno, pulito, davvero confortevole. Il personale è gentile . La colazione è ottima. I piatti del ristorante sono un pò particolari per i miei gusti. Ci ritornerò sicuramente;8piuhotel;05/07/2019;ce;TRAINING
Patrizia P;È la seconda volta che visito Milano e per la seconda volta ho deciso di alloggiare in questo hotel. Vicinissimo alla fermata metro offre tutti i servizi essenziali. Camere molto ampie e pulite, bagni pulitissimi e grandi con tutti i servizi necessari. Colazione internazionale super abbondante, ci sono torte, crostate, croissant, cereali, frutta, ma anche uova, bacon, e chi più ne ha più ne metta. Personale gentilissimo e sempre disponibile per qualsiasi problema e necessità. La prima volta che ho alloggiato qui mi è subito piaciuto, la seconda volta è stata la conferma.;Starhotels Business Palace;05/07/2019;ce;TEST
AndPed;Come ogni anno torniamo al Cosmopolitan per una giornata di workshop! Tutto perfetto, dall'organizzazione della parte meeting al food/beverage sempre al top. Camere spaziose, pulite e letto SUPER COMODO! A presto;Cosmopolitan Business Hotel;05/07/2019;ce;TRAINING
FABIOan70;Pernottato con un altra coppia di ritorno da un matrimonio. Ho apprezzato la qualità delle stanze (spaziose e silenziose) e il letto matrimoniale di misure extra large. Ottimo servizio alla reception e super coccolati nella colazione. La struttura è moderna, con ampio parcheggio e vicino all'ingresso dell'autostrada.…;Cosmopolitan Business Hotel;05/07/2019;ce;TRAINING
Fabrizio_Russiello;Ottimo Hotel, abbiamo soggiornato al Cosmopolitan più volte in vari anni e non ci ha mai deluso, camere molto spaziose, nonostante il passeggino il bimbo aveva spazio per giocare, pulitissime e profumate,letto comodo. La colazione e sempre stata ottima e di grande varietà. Abbiamo anche cenato preso il ristorante,a nostra sorpresa, i piatti erano tutti molto abbondanti e tutto molto buono, sono stati gentilissimi anche nel preparare la pastina del bimbo! Insomma....io lo consiglio, tant'è che ogni volta che vogliamo fare un fine settimana a Civitanova, prenotiamo sempre lì!…;Cosmopolitan Business Hotel;05/07/2019;ce;TEST
Max G;Hotel in situazione strategica per business, con parcheggio ampio e gratuito. Camere spaziose e pulite, forse avrei gradito una migliore illuminazione sia in bagno che in camera.Letto ampio e comodo.Colazione davvero Super!;Cosmopolitan Business Hotel;05/07/2019;ce;TRAINING
Markaccio;Hotel ove la cortesia regna sovrana.Camere tranquille, ampie e pulite.Unico neo la posizione. Purtroppo se si vuole raggiungere il mare, essendoci la ferrovia di mezzo, si è obbligati a fare il giro “largo” passando dallo stadio, quindi o si prende l’auto o si deve fare un bel giretto.;Cosmopolitan Business Hotel;05/07/2019;ce;TRAINING
Cricri18;Penso sia la ventesima volta che torniamo in questo hotel e devo dire che le aspettative sono sempre meglio, le stanze sono spaziose il letto è veramente comodo e largo, ottima la colazione e lo staff ..... gentilissimo  e apprezzano gli amici a 4 zampe!!!!! Ci vediamo presto.;Cosmopolitan Business Hotel;05/07/2019;ce;TEST
Vir90;Ottimo soggiorno, ottimo albergo, ottima la pulizia e buonissima la colazione della mattina. Il personale gentile ed educato. Consiglio questo posto in quanto è anche vicinissimo al centro, con 5 minuti di macchina si arriva facilmente.;Cosmopolitan Business Hotel;05/07/2019;ce;TRAINING
Ale D;Classico hotel business. Si trova in comoda posizione tra l'autostrada e la città. C'è un ampio parcheggio esterno. Le camere sono ampie e ben arredate, dotate di tutti i comfort. Zone comuni con piacevole bar, grande reception. Il ristorante è di buon livello, non il solito ristorante da hotel. C'è anche una piccola ma attrezzata palestra. In complesso una buon soggiorno molto confortevole.;Cosmopolitan Business Hotel;05/07/2019;ce;TRAINING
Laphonso80;Ho trascorso una notte in questo hotel per lavoro. Il personale è ottimo e cortese, le camere veramente confortevoli e la colazione abbondante e molto variegata. Consigliatissimo per chi passa da lì per affari.;Cosmopolitan Business Hotel;05/07/2019;ce;TEST
luplay;a due passi dal termine della superstrada (Foligno - Civitanova) ed a pochi minuti dal casello dell'autostrada. Posizione quindi ideale con ampio parcheggio.Hotel moderno ed accogliente con una nota di merito per la cucina.ideale per chi si trova in zona.;Cosmopolitan Business Hotel;05/07/2019;ce;TEST
Er tortellino;L albergo è bellissimo e molto professionale. Il ristorante altrettanto...si mangia bene e tipicamente la cucina marchigiana che è ottima...personale educato e disponibile.tavole apparecchiate bene ed eleganza nella struttura.;Cosmopolitan Business Hotel;05/07/2019;ce;TRAINING
ferdisvago;L' hotel è  situato a dieci minuti di strada a piedi da porta napoli, moderno, pulito, davvero confortevole. Il personale è gentile . La colazione è ottima. I piatti del ristorante sono un pò particolari per i miei gusti. Ci ritornerò sicuramente;8piuhotel;05/07/2019;ce;TRAINING
LadyZ;L'hôtel é straordinario, la pulizia è molto curata, il personale gentile disponibile e accogliente. La colazione superlativa. Le camere sono molto belle e spaziose. Se dovessi trovare una pecca l'hotel è leggermente decentrato rispetto al centro. Esperienza da rifare. ;8piuhotel;05/07/2019;ce;TRAINING
Alessandra M;Nuovissima struttura, super moderna, stanze ampie, atmosfera con luci colorate in doccia, luce di cortesia toilette, arredamento moderno avvolgente, punti luce touch-screen con led blu il personale gentile e professionale, colazione favolosa.;8piuhotel;05/07/2019;ce;TRAINING
Claudio C;Abbiamo soggiornato con degli amici in questo hotel alle porte di Lecce. Struttura curatissima e pulita. Dotata di tutti i servizi, ristorante, ampio parcheggio, camere touch screen con personale gentile e cordiale. Si può raggiungere il centro sia in auto, oppure in 15 minuti a piedi. La colazione è ricca e varia.;8piuhotel;05/07/2019;ce;TEST
Gessica;Uno dei migliori hotel della provincia.attenti a tutto anche ai particolari.pulizia maniacale ovunque.spesso pernottiamo qui cenando al ristorante dove qualità e cortesia regnano.gentilissimi ed educati.bravi;8piuhotel;05/07/2019;ce;TRAINING
Guido T;E' un ottimo hotel. Si trova alla periferia di Lecce ma in pochi minuti si raggiunge il centro.Camere confortevoli e pulite. Letto comodo e ben insonorizzato. Colazione ricca e personale davvero molto gentile;8piuhotel;05/07/2019;ce;TEST
Fabiola;Scrivo questa recensione da parte del mio compagno che almeno una volta al mese soggiorna presso la Vs struttura. Come sempre soggiorno eccellente, personale molto cortese e professionale, struttura accogliente e cibo ottimo. Consiglio vivamente;8piuhotel;05/07/2019;ce;TEST
Gianca S;Meravigliosa struttura, facilmente raggiungibile. Le stanze sono ampie, tutto tecnologicamente all'avanguardia. Da consigliare anche per la buona colazione con un'ampia scelta. Personale altamente qualificato e cordiale.;8piuhotel;05/07/2019;ce;TRAINING
FM62;Hotel un po' decentrato ma a 200 MT dalla fiera. Col 28 in 15' si arriva in centro. Hotel recente, stanze sufficientemente ampie, bagno ben attrezzato. Buon WiFi , TV senza Sky. Colazione non proprio da 4*. Personale cordiale.;UNAHOTELS Bologna Fiera;05/07/2019;ce;TRAINING
Antonio I;La struttura è bella e molto nuova. Facilmente raggiungibile dall'aeroporto con 15 € di Taxi. Personale gentile, camere ampie e pulite. L'unica critica che mi sento di fare è che nelle camere si sentono molto i rumori che vengono dai piani superiori e dal corridoio.;UNAHOTELS Bologna Fiera;05/07/2019;ce;TEST
FabDiaf;Posizione non troppo comoda se si vuole visitare Bologna. Ottima per soggiorni brevi. Buono il servizio di pulizia e la colazione, varia e con prodotti continuamente riforniti. Il parcheggio gratuito scoperto è troppo piccolo per la quantità di ospiti che può ricevere la struttura. Se si arriva in macchina è più probabile dover parcheggiare nel garage a pagamento.;UNAHOTELS Bologna Fiera;05/07/2019;ce;TEST
luca o;Hotel vicinissimo alla fiera ed a pochi minuti dalla stazione.Camera arredata con cura e pulita. Colazione a livello del resto.Unici difetti se possiamo considerarli tali la tv con solo i canali del digitale terrestre e nel bagno forse per una svista solo una saponetta per tutto.Sicuramente ci tornerò;UNAHOTELS Bologna Fiera;05/07/2019;ce;TEST
adocchiaperti;Ottimo hotel facilmente raggiungibile dalla tangenziale e a due passi dalla fiera di Bologna.Camere grandi, pulite e confortevoli. Molto comodo il phon in bagno potente e non come quelli che solitamente si trovano nelle altre strutture. Personale disponibile, colazione ricca e variegata per andare incontro a tutte le esigenze e a tutti i palati. Assolutamente da riprovare!;UNAHOTELS Bologna Fiera;05/07/2019;ce;TRAINING
VerdurasFamily;Camera moderna e pulita, letto comodo. Temperatura ottimale. Accesso con tessera elettronica. Sistema luci tuch ad icone comodo e semplice. Spazi di appoggio abbondanti, armadio comodo e illuminato. Enorme porta finestra che da su un bel balconcino (ma non è zona per guardare il panorama). Bagno con doccia enorme. Soffione e doccetta con pressione più che abbondante e temperatura acqua sempre calda!Colazione con molta scelta.Riposato bene quindi soddisfatto.;UNAHOTELS Bologna Fiera;05/07/2019;ce;TEST
Filippo Marangoni;Ottimo hotel a Bologna a pochissimi passi dall'ingresso della Fiera. Facilimente raggiungibile, uscita Arcoveggio provenendo da Padova, tangenziale direzione Ancona, uscita per via Stalingrado, due minuti e si arriva all'Hotel. Parcheggio privato. Hotel internazionale, moderno, sobrio, elegante. Personale al desk gentile ed efficiente. Pulizia e luminosità. Camere confortevoli, silenziose, materasso comodissimo. Bagno impeccabile. Decisamente un ottimo quattro stelle. Colazione internazionale, abbondante e servita in una sala luminosa. Prezzo adeguato: matrimoniale ad € 120,00 a camera con servizio minibar e parcheggio compresi. Ottimo. Consigliato per il comfort, posizione, qualità e prezzo.;UNAHOTELS Bologna Fiera;05/07/2019;ce;TEST
andrewcana;Abbiamo pernottato una notte, scelto per la vicinanza al Parco della Musica. Ottimo b&b molto pulito camera tripla mto spaziosa con un bel bagno. Buona la colazione. A 5 minuti di distanza dai mezzi per il centro e dall'auditorium ;Parioli Bed & Business;05/07/2019;ce;TRAINING
Flavia I;Ci sono stata con il mio fidanzato in occasione di un evento all'Auditorium Parco della Musica e posso dire di aver fatto un'ottima scelta. Il b&b è a pochi passi dalla struttura, si trova in una zona residenziale molto tranquilla e non molto lontano da Villa Borghese. Abbastanza varia la colazione (sala accessibile a qualsiasi ora) e confortevoli le camere (quella in cui ho soggiornato io, in particolare, era molto grande). Il proprietario è stato molto cordiale e ci ha fatti sentire a casa. Se avrò nuovamente necessità di soggiornare in zona, sicuramente terrò conto di questo posto.;Parioli Bed & Business;05/07/2019;ce;TRAINING
Carlo F;Servizio ottimo e consigli su misura , Camera e bagno puliti e confortevoli .Colazione ricca e sempre disponibile . Vicino il sevizio di trasporto ATAC  per il centro Vicinissimo all'auditorium della musica .;Parioli Bed & Business;05/07/2019;ce;TRAINING
Priscilla4788;"Sono stata proprio la scorsa notte in questo B&B e personalmente l'ho trovata un'esperienza davvero piacevole. Avevo scelto la struttura per la vicinanza con l'Auditorium e fortunatamente si è confermata tale (in 5 minuti a piedi lo si raggiunge e la zona di sera è comunque ""viva"" per la presenza di un ristorante e di un chiosco di fiori). Governante gentilissima al mio arrivo, nell'attesa di sapere quale fosse la stanza da assegnarmi, mi ha offerto un caffé idem il proprietario Edoardo, anche se con lui ho parlato solo al telefono. Camera ben arredata e spaziosa: un ampio armadio doppio con cassaforte, scrivania, specchio, comodini grandi, frigobar, ciotola con caramelline, TV 32"", numerose prese elettriche. Idem il bagno, ci si poteva muovere agilmente! (un consiglio per i viaggiatori: portatevi una cuffietta da doccia se non volete bagnarvi i capelli perché, la mia stanza N° 3 quantomeno, aveva il piatto doccia per cui il getto non si poteva indirizzare...). Ad onor del vero ho dormito di fila fino al mattino successivo e per me è abbastanza raro quando mi trovo in hotel, inoltre il materasso matrimoniale era unico e non due uniti... Nota di merito!Vorrei poi spezzare una lancia in favore della colazione, io l'ho trovata assolutamente degna. C'era, a parte la macchinetta del caffé, cacao tipo Nesquik, Nescafé, tisane, the e camomilla, spremiagrumi ed arance, frutta fresca, marmellatine Rigoni d'Asiago, succhi di frutta, miele, sciroppo d'agave, latte, ciambellone, rotolo al cioccolato, corn flakes, crostata, fette biscottate normali ed integrali, croissant e nastrine (questi ultimi confezionati naturalmente). Sinceramente per il prezzo pagato (colazione inclusa nel costo della camera) e per la struttura (B&B e non albergo 5*!) sono rimasta davvero soddisfatta. In molti hotel ho mangiato decisamente peggio e pagato di più!Quando mi ricapiterà di tornare in Auditorium (da amante della musica non lo escludo...), di sicuro so dove prenotare.";Parioli Bed & Business;05/07/2019;ce;TEST
famigliabarese;Bell'albergo moderno,  in zona periferica, ma con un taxi e 12 euro in pochi minuti si e' in centro. Stanze silenziose e ben pulite. Personale alla reception molto disponibile.  Il parcheggio esterno gratuito e' davvero minimo, anche se si puo' parcheggiare in strada a pagamento o nel parcheggio sotterraneo dell'albergo. La stanza era molto molto calda, abbiamo dovuto tenere la finestra aperta nonostante avessimo spento il riscaldamento. La struttura e' moderna e gradevole. Ci siamo trovati bene. Per chi viaggia con un cagnolino, non puo' essere lasciato solo nella stanza.  …;AC Hotel Bologna by Marriott;05/07/2019;ce;TEST
PedE5852;Tipico albergo business, cortesi al check-in. Parcheggio sotterraneo a pagamento e wifi gratuito. Buona la colazione, camera ampia e silenziosa con tutti i confort standard per queste strutture. Mi è stato permesso di lasciare la macchina in garage anche per la giornata e non solo per la notte.;AC Hotel Bologna by Marriott;05/07/2019;ce;TEST
Luigi O.;La zona chiaramente non è il massimo ma se devi andare a Bologna per lavoro è molto comoda perché non distante dal centro anche a piedi. L’albergo si stacca decisamente dal contesto urbano e vive di luce propria. Proprio una bella luce. Il format è quello classico della catena AC by Mariott: ospitalità, pulizia il tutto accompagnato da un design lineare, elegante e funzionale. A conferma che per gli AC il cliente è sempre al centro delle loro attenzioni.;AC Hotel Bologna by Marriott;05/07/2019;ce;TRAINING
Giuseppe B;Buon hotel, situato vicino alla stazione e poco lontano dal centro, posteggio auto esterno limitato a poche autovetture e posteggio coperto a pagamento. Cordialità e disponibilità del personale non mancano, piccola palestra con vista panoramica sulla città, la camera nella media, pulita e con un grande televisore, ho gradito la bottiglia di acqua come forma di cortesia al posto della solita caramella o cioccolatino posato sul cuscino, la colazione di qualità ma da migliorare l'assortimento degli alimenti, la  caffetteria ottima e servita dal bar e non dalla immancabile macchina fai da te tutto fare.;AC Hotel Bologna by Marriott;05/07/2019;ce;TRAINING
SailSKIp;Camera in stile contemporaneo, spazio nella media, purtroppo il materasso era un po’ sformato nonostante penso fosse recente e cosa super negativa la temperatura eccessivamente alta impossibile da regolare e per questo ho dormito solo 3 ore! impossibile anche tenere la finestra socchiusa per compensare il caldo.. Wifi gratuito molto lento, quasi inutilizzabile.Colazione basic ma di buona qualità.Personale molto disponibile e gentile.;AC Hotel Bologna by Marriott;05/07/2019;ce;TEST
iAmo_Blog;Quando si sceglie AC Marriott non si sbaglia e difatti anche l'hotel di Bologna offre ottimo confort e un tocco di classe. Partiamo subito dall'unico difetto dell'hotel ossia il parcheggio esterno molto limitato che obbliga a parcheggiare nell'interrato a pagamento (15euro a notte). L'hotel è in zona fiera, prossimo comunque al centro città nei paraggi inoltre si possono trovare anche alcuni ristorantini. La camera è pulita con un bagno moderno ma con la vasca e non con la doccia. Il letto è molto ampio e comodo, con una tv degna di questo nome. Non abbiamo provato il ristorante, ma la colazione ha un'offerta ampia e di qualità. C'è anche una palestra nell'hotel con attrezzi Technogym.Hotel visita da iAmo_Blog;AC Hotel Bologna by Marriott;05/07/2019;ce;TRAINING
nonnamoro;L'hotel ci è piaciuto, pulito ed efficiente, gentilissimo e disponibile il personale, ottima e con amplissima scelta dolce e salata, la colazione a buffet, ben servito da autobus x raggiungere il centro;AC Hotel Bologna by Marriott;05/07/2019;ce;TRAINING
Daniele P.;Abbiamo soggiornato quattro giorni in un Alpine Lodge.....hanno praticamente tutto!!!! Ottimo punto di partenza per le escursioni e poi, al rientro, tutti in piscina a rinfrescarsi. Esperienza splendida. Da provare. Ci ritorneremo senz'altro! Grazie;Camping Olympia;05/07/2019;so;TRAINING
stefaniabonini;Siamo stati in camper due notti in occasione della Cortina-Dobbiaco Run: splendida accoglienza e disponibilità ad ogni richiesta, personale gentilissimo è sempre presente. Il campeggio è organizzato, pulito , silenzioso e curato...è e rimarrà la nostra tappa in Val Pusteria!;Camping Olympia;05/07/2019;so;TRAINING
GlobeTrotting534439;È il secondo anno consecutivo che veniamo, in camper, io mio marito e due cani, e come l'anno scorso ci siamo trovati benissimo, cortesia, pulizia e ospitalità la fanno da padroni. Ottima posizione, consigliatissimo.;Camping Olympia;05/07/2019;so;TRAINING
Elena F;Abbiamo alloggiato negli alpine lodge, e tutto era perfetto e perfettamente in stile montano. Il camping è situato in una posizione strategica, vicinissimo al lago di Braies e alle tre cime di Lavaredo. Personale gentile e disponibile per qualsiasi informazione o chiarimento.Ci tornerei mille volte!;Camping Olympia;05/07/2019;so;TRAINING
Roberta C;Ottima accoglienza e ospitalità in questo bel campeggio in Val Pusteria. Ci sono tutti i servizi necessari e spazio per i ragazzi. Bello anche il mini-zoo. Penso che in estate sia ancora meglio! Ci torneremo sicuramente.;Camping Olympia;05/07/2019;so;TRAINING
carlofranz;Volevamo trascorrere alcuni giorni nella tranquillità e nella cortesia pusterese e al Camping Olympia non puoi sbagliare. Accoglienza impeccabile, servizi perfetti come sempre qui abbiamo trovato! Bravi!!!  Carlo & Silvana;Camping Olympia;05/07/2019;so;TRAINING
