commento;LABEL personas - Luis;tipo_lista
Eravamo giÃ  stati qualche anno fa. Anche questa volta ci siamo trovati benissimo..Tutto perfetto, dalla posizione, all'accoglienza, alla pulizia, al confort, alla colazione.....insomma  una meraviglia.Ottimo anche il rapporto qualitÃ  prezzo.;Habitual Travelers;TEST
Eravamo stati all'albergo altre due volte e come prima ci siamo trovati benissimo. L'albergo e' bello, curato e molto accogliente che rende il weekend romano ancora piu piacevole! La nostra camera al sesto piano dell'hotel aveva il suo terrazzo privato che dava sulla Piazza della Rotonda dandoci un panorama unico del Pantheon.  La colazione Ã¨ buona e varia. La camera era assolutamente pulita e ben tenuta. Il personale era molto cortese e disponibile a ogni nostra esigenza. Ve lo consigliamo!;Habitual Travelers;TRAINING
Posizione favolosa e camere classiche arredate con gusto visto il contesto offre pulizia e gentilezza ad un prezzo molto accessibile per quanto scritto sopra e con tutto  il centro Roma a disposizione in 5 minuti a piedi;Value Seekers;TEST
Hotel in posizione stupenda, personale gentilissimo, camere pulite e buona colazione.Sul terrazzo bellissimo bar all'aperto con visuale stupenda. Comodissimo lo spazio esterno davanti all'Hotel per fumarsi un sigaro o una sigaretta nella piazza per me piÃ¹ bella di Roma.;Value Seekers;TRAINING
albergo accogliente e di classe, sono stato con mia moglie per lavoro e ci siamo trovati benissimo,comodo a tutti i servizi ed ottimo per visitare Roma. servizio attento e camere molto pulite. ci ritorneremo al prossimo viaggio. grazie;Habitual Travelers;TEST
Non posso che confermare tutte le recensioni precedenti. Camera standard ma con vista al primo piano dotata di tutto (compresi accappatoio e ciabattine). Riassetto stanza 2 volte al giorno (e vogliamo chiamarlo un 3 stelle???) colazione ottima sia dolce che salato, servizio di concergierie attento e sempre disponibile. In ultimo la posizione strepitosa. Whatâ€™s else? La terrazza allâ€™ultimo piano ad uso dei clienti dove dâ€™estate Ã¨ disponibile il servizio bar!!;Social Travelers;TRAINING
Tre stelle storico in posizione strategica, centrale e suggestiva: davanti al Pantheon.Camera un pÃ² piccola ma curata.Ottima la prima colazione anche con frutta e succhi freschi.Prezzi abbordabili tenuto conto della posizionePersonale gentile.Difficile pretendere di piÃ¹.Vale la pena tornare.;Value Seekers;TEST
Posto molto bello e accogliente comodo personale molto gentile ottimo lo consiglierei per un lungo week end. Sono stata benissimo e tornero presto appena possibile. Rapporto qualita prexxprezzo.ottimo;Value Seekers;TRAINING
Location super. Struttura molto bella e pulita con camere spaziose e molto belle. Terrazza al sesto piano con vista fantastica sul pantheon e su tutta Roma. Colazione molto varia. Personale gentilissimo e attento ad ogni esigenza.;Researchers;TEST
Posizione perfetta,personale magnifico,camere splendide....ci hanno anche fatto un upgrade di camera,rispetto a quella prenotata.Colazione ricca di tutto,comprese crostate ,macchina automatica per i pancake, succhi,yogurt,brioches freschissime, bacon,uova strapazzate, diversi tipi di pane,focacce....e molto altro.Camera assolutamente deliziosa,spaziosissima e silenziosissima,nonostante la posizione assolutamente centrale.Provato anche il bar dell'albergo che offre aperitivo davvero buoni e ricchi.Personale,come dicevo,disponibilissimo,cordialissimo,gentilissimo.Un motivo in piÃ¹ per tornare a Roma, e torneremo presto.;Luxury Travelers;TRAINING
Nel cuore di Roma! Stanza grande e con vista mozzafiato. Personale disponibile e cortese. Ottimo sia per un viaggio d affari sia per un soggiorno di piacere. Il prezzo assolutamente in linea con la qualitÃ  della stanza. ;Value Seekers;TRAINING
Siamo stati in questo splendido hotel solo una notte, sarebbe stato assolutamente bello starci di piÃ¹. Il personale Ã¨ stato puntuale, professionale e molto educato. Ci hanno contattato i giorni prima del nostro arrivo, ci hanno prenotato un transfer dalla stazione Roma termini, ci hanno accolto in modo impeccabile. La suite Tempesta, che avevamo scelto, Ã¨ molto bella sia per la posizione sia per la presenza di una grande casa idromassaggio. Il pavimento in legno a spina Ã¨ bellissimo ed i materiali dellâ€™arredo sono Tutti ricercati e di tendenza. La domotica Ã¨ buona. Consiglierei solo di aggiungere Netflix in camera o altri servizi per TV. Colazione la mattina in terrazza vista su piazza Navona davvero INCREDIBILE . Consiglio questo posto a chi ama soggiornare in piccoli boutique hotel di design  Un grazie alla responsabile e a tutto lo staffâ€¦;Luxury Travelers;TRAINING
Non avessi letto le altre recensioni forse sarei arrivato con aspettative piÃ¹ basse ed avrei messo cinque palle, arrivando in un cinque stelle, con cinque palle, primo hotel di Roma su TripAdvisor si arriva con unâ€™aspettativa talmente alta che si rischia di rimanere un pochino delusi. Cosa mi Ã¨ piaciuto: -La vista, la vista, la vista: lâ€™affaccio su piazza Navona Ã¨ impagabile. -Lâ€™arredo: curato, elegante, ironico -La pulizia -rapporto qualitÃ /prezzo buono  Cosa poteva andare meglio: -le dimensioni del letto -la sala della colazione e lÃ  colazione in generale -alcuni piccoli dettagli nellâ€™arredo (fili elettrici troppo lunghi, piccole scalfitture nei mobili, soprammobili  con il prezzo sotto)...dettagli che fanno la differenza tra il molto buono ed il perfetto. -il fatto di essere un hotel di fatto senza servizi comuni a parte la reception e la terrazza Ã¨ penalizzante (no Spa, no ristorante, no palestra, no aree comuni), anche se questo lo si sa giÃ  al momento della prenotazione. In sintesi: bello, posizione meravigliosa, stanze coinvolgenti, ma manca ancora qualcosina per arrivare alla perfezioneâ€¦;Luxury Travelers;TEST
Palazzo affascinante, posizione unica come la vista direttamente sulla suggestiva Piazza Navona. Personale gentile e disponibile. Le camere originali, di un design moderno e curato nei minimi dettagli e colazione buonissima. Niente di meglio;Luxury Travelers;TRAINING
Hotel eccezionale, posizione fantastica, personale di una cortesia e professionalitÃ  superiore. Camera favolosa con vista su Piazza Navona. Servizi in camera di livello superiore. Terrazza stupenda. Vale veramente la pena soggiornare in questo fantastico hotel. ;Luxury Travelers;TEST
Ho soggiornato nella bellissima suites Cappuccino. Da non perdere la vista dalla fantastica terrazza.La  stanza affaccia su una delle piÃ¹ belle e famose piazze di Roma.Per colazione ho scelto lâ€™omelette ed era deliziosa. Non ho resistito e ho scattato alcune foto che allego di seguito.;Luxury Travelers;TRAINING
Una location unica con tutte le suite che si affacciano su piazza Navona con una vista mozzafiato. Le camere curate in ogni particolare offrono il massimo del piacere e del confort. Lo staff con discrezione offre cordialitÃ  ed efficienza . Il soggiorno in questa location regala un'esperienza unica nel centro di Roma;Luxury Travelers;TEST
Ho alloggiato in questo hotel per qualche giorno e devo dire che Ã¨ sempilcemente... FANTASTICO! Le camere erano fantastiche e arredate con ordine e classe, affacciavano su piazza Navona... meravigliosa! Il personale molto gentile e attento alle esigenze di tutti.;Researchers;TEST
Le suite valorizzano al massimo la veduta di piazza Navona una delle piÃ¹ belle del mondo. In particolare la suite dove ho soggiornato era prospiciente sulla fontana dei quattro fiumi e sulla basilica di Santa Agnese. Uno spettacolo unico. Le suite sono luminose e ben arredate in stile moderno e dotate dei piÃ¹ moderni conforts. La prima colazione offre prodotti di prima qualitÃ  e piatti espressi molto gustosi.;Luxury Travelers;TEST
Si trova proprio difronte a Piazza Navona la reception Ã¨ molto accogliente si mangia bene ed l'unico peccato e che nn si possono portare gli animali domestici PerÃ² ottimo hotel sopratutto grazie alla posizione;Habitual Travelers;TEST
La posizione si trova proprio davanti alla Fontana dei Quattro Fiumi di Bernini in Piazza Navona. Posizione ottima, andavamo camminando da per tutto ( vicino al Pantheon )! La suite meravigliosa, l'arredo e il design la rendono unica ( anche il bagno ). Pulizia impeccabile. Personale gentilissimo ! Hotel di altissimo livello! POSTO VERAMENTE INCANTEVOLE! Sono molto felice di averlo scelto !;Luxury Travelers;TEST
Devo dire che questo hotel e bellissimo e vale i soldi che ho pagato per una suite. Ottimi servizi. Ottima colazione (ovviamente c'Ã¨ di tutto) Ã¨ ottimo io personale gentile e simpatico grazie per questo soggiorno;Value Seekers;TEST
Location favolosa che si staglia su piazza Navona... un vero gioiello incastonato nella cittÃ  eterna. Personale cordiale e sempre attento alle richieste del cliente. Inutile dire della bellezza della camera. Indimenticabile. Confort e lusso ad un prezzo congruo. Colazione favolosa. Che dire di piÃ¹?? Andateci almeno una volta sarete piacevolmente coccolati.;Luxury Travelers;TEST
Il posto Ã¨ meraviglioso. Hai la fortuna di entrare e vivere per qualche giorno in uno dei piÃ¹ bei palazzi romani e di affacciarti, come fosse la tua casa, sulla piazza piÃ¹ bella al mondo: una sensazione incredibile! Le camere poi sono super confortevoli, eleganti, lussuose e originali. Lo staff infine Ã¨ la ciliegina sulla torta: sorridente, gentile, attento e pronto a darti suggerimenti per vivere al meglio il tuo soggiorno a Roma.;Researchers;TRAINING
ESPERIENZA UNICA . I proprietari cosÃ¬ come tutto lo staff del Lifestyle sono persone eccezionali . Camere stupende, arredate con gusto e classe. Ogni stanza richiama un tema particolare e lo stile Ã¨ conforme allo stesso. Tutte le camere hanno l'affaccio su Piazza Navona, aprire la finestra ti permette di godere di un panorama unico, tra i piÃ¹ belli ed invidiati del mondo . Pulizia e cura dei particolari sono tra i punti di forza di questa struttura perfetta ed impeccabile sotto ogni aspetto . La colazione Ã¨ di una qualitÃ  superiore. Buffet con varietÃ  di frutta, yogurt, salumi ( tra cui il pregiatissimo patanegra spagnolo ), torte preparate giornalmente, cereali, biscotti, pane e la possibilitÃ  di ordinare piatti espressi : uova, bacon, omelette e quant'altro . Non ci sono parole per descrivere questo posto, esse non basterebbero per decantare al meglio un luogo magico come il LSS di Roma . Bravi ragazzi, continuate cosi ! Siete voi con la vostra professionalitÃ  e attenzione la vera chiave del vostro meritato successo! Francesca;Luxury Travelers;TRAINING
Hotel di altissimo livello, siamo rimasti senza parole, tutto perfetto pulito e comodo. Curato con molta attenzione ogni angolo della struttura, silenzio e tranquillitÃ  hanno reso il nostro soggiorno ancora piÃ¹ piacevole. Per concludere dalla camera una vista strepitosa. Sicuramente ci torneremo!!!CONSIGLIATO!!!;Luxury Travelers;TEST
Hotel di altissimo livello. Ho avuto la fortuna di scegliere quest'hotel per un breve soggiorno romantico a Roma. ma sono rimasto senza parole quando sono entrato nella suite che ci era stata assegnata camera perfetta, parquet, letto comodissimo e con un baldacchino in vetro particolarissimo...vista mozzafiato su piazza Navona e poi il bagno..con una vasca idromassaggio incantevole e un piano doccia da lasciar senza parole. colazione ottima, variegata e di alta livello. personale gentilissimo e servizievole in tutto, sia prima del check in che durante il soggiorno.;Luxury Travelers;TEST
Le camere sono modeste ma pulite, senza grandi comfort (noi abbiamo alloggiato nella depandance). La colazione nel vicino bar Ã¨ piuttosto misera. Personale cortese e ottima posizione. Abbastanza caro per quello che offre ;Value Seekers;TRAINING
A prima vista non sembra interessante. Appena sali in camera ti accorgi che e' un hotel che non sembra confortevole ma lo Ã¨. Camere di livello superiore e, poi nel centro del centro di Roma, al Pantheon, che dire di piÃ¹. La prima colazione si consuma in uno dei bar con tavolinetti all'aperto nell'incantevole piazza della Rotonda proprio di fronte al Pantheon. Che dire di piÃ¹. Un'ottima scelta.â€¦;Researchers;TEST
Credo che ci sia poco da dire, personale di ottimo livello e molto gentile, affaccio in una zona meravigliosa di Roma, colazione all'altezza della location ottima variegata e assolutamente fresca. E' un'ottimo albergo.;Luxury Travelers;TRAINING
Abbiamo alloggiato in questo Albergo per il ponte dell'Immacolata. Avevamo prenotato con scetticismo ma ci siamo subito ricreduti. Struttura posizionata difronte al Pantheon con una vista spettacolare. Molto carine le camere, da poco ristrutturate : faccio notare che se qualcuno ha scritto che ci vorrebbe una rinfrescata dovrebbe pensare che i danni li faccio noi clienti e non il personale della struttura. Gli ambienti si presentano puliti e confortevoli. Il personale Ã¨ gentilissimo e squisitamente disponibile. La colazione veniva servita in un bar nelle immediate vicinanze: cibo di buona qualitÃ  in quantitÃ  appropriate. I prezzi sono giusti e rapportati alla location della struttura.  Al mio ritorno ho ricevuto, tramite mail, il ringraziamento per il soggiorno da parte della struttura con un saluto da parte di tutto il personale;Value Seekers;TRAINING
"Hotel confortevole, ma che avrebbe bisogno di una rinfrescata. I bagni sono puliti ma ""vintage"". Con qualche piccolo accorgimento meriterebbe un pallino in piÃ¹. Colazione consona al livello. Ottima la posizione.";Luxury Travelers;TRAINING
Molto caro e niente arrosto. Di sicuro al prezzo di 250 euro al giorno ti aspetti non di trovare ii servizi di un 5 stelle ma di sicuro un 3 stelle di altissima qualitÃ . E anche cosÃ¬ quel prezzo e veramente altissimo. Stanza nella dependance picolissima. Un letto a una piazza e mezzo con d'intorno spazio di neanche mezzo metro a girarci. Parchet in legno molto andato ( grafiato ) anche se qui in tutto non sarebbe la colpa del albergo. Tv in stanza credo 21 pollici ( minuscolo ). Bagno ristrutturato nuovo anche se si poteva di meglio.                              Owen Francisc;Value Seekers;TRAINING
Abbiamo alloggiato in questo hotel per il ponte del 25 aprile. Camera con affaccio sul pantheon. Vista spettacolare. Camera molto confortevole e personale eccellente. La colazione poi,fatta in un bar che ha i tavoli sulla piazza, prepara per una giornata felice. Ci tornerÃ² sicuramente.;Researchers;TEST
Location unica con vista mozzafiato sul PantheonPersonale professionale e gentile Camera perfetta con tutti i comfort Colazione bellissima in piazza della rotondaConsigliatissimo il mio riferimento a Roma.;Habitual Travelers;TEST
Per chi vuole soggiornare in pieno centro di Roma a un prezzo conveniente in stanze pulite anche se non molto spaziose puÃ² venire qui.Per la colazione c ' e' una convenzione con il vicino bar a piazza della Rotonda.;Value Seekers;TRAINING
Ho soggiornato una notte  per lavoro all'Hotel Abruzzi. Posizione ottimale difronte al Pantheon. Zona centralissima con turisti ad ogni ora,  vi lascio immaginare il rumore esterno. Ma una volta entrati nell'Hotel  una tranquillitÃ  assoluta, molto silenzioso. Camera spaziosa e pulita. Il prezzo un po' caruccio!!! Personale competente e gentile. Spero di trovare qualche offerta per ritornarciðŸ˜Š;Value Seekers;TRAINING
Moderno nuovo, carinissimo personale disponibile e gentile,colazione all'americana abbondante presso un bar adiacente .In posizione centrale proprio davanti al Pantheon.Abbiamo viaggiato con un bimbo ci siam trovati benissimo.;Social Travelers;TRAINING
Purtroppo, dopo aver chiamato hotel Abruzzi, che con sinceritÃ  Non avevano piÃ¹ doppie, che l'unica disponibilitÃ  che avevamo era un matrimoniale, abbiamo prenotato da qui imbroglioni dell'albergo del sole, vicino dell'AbruzzÃ¬ cosÃ¬ abbiamo potuto constatare la grande differenza. Si l' Abruzzi Non si puÃ² confondere, ottima professionalitÃ  e sinceritÃ , belle stanze, Totti doc, dietro il suo piccolo cuore si nasconde un super 5 stelle.;Habitual Travelers;TEST
Ottimo soggiorno e personale cordiale e disponibile. Camera luminosa, panorama incantevole con sottofondo musicale che accompagna il weekend romantico. Spero di ritornare nuovamente per la quarta volta.;Habitual Travelers;TEST
Era un viaggio rapido per un fine settimana a Roma, e quindi volevo un hotel vicino a tutti i principali siti: quello trovato non avrebbe potuto essere un posto migliore essendo a circa 25 minuti a piedi dal Vaticano e Colosseo, a 5-10 minuti dalla fontana di Trevi, da Piazza di Spagna e negozi. E con il Pantheon a due passi e Piazza Navona 2 minuti di distanza.La camera era in un annesso a breve distanza dalla porta dell'hotel. Era pulita, ordinata ed aveva tutto quello che occorre per i i bisogni di base. Il personale Ã¨ stato di grande aiuto quando ciÃ² Ã¨ stato necessario e ci ha fatto sentire molto ben accolti. E' stato molto piacevole, inoltre, mangiare all'aperto, seduto in un bar sulla piazza che si affaccia sul Pantheon e gustare un prosecco prima di una breve passeggiata per raggiungere il letto.;Researchers;TRAINING
Consiglio questa eccellente struttura, soprattutto per chi si vuole muovere a piedi nel centro di Roma. Il personale Ã¨ professionale e cortese.Le camere affacciano sulla suggestiva piazza del Pantheon e sono molto luminose.;Habitual Travelers;TRAINING
Sono stata veramente bene in questo albergo. Mi Ã¨ stata data una suite al quarto piano con una vista a dir poco spettacolare. Silenzioso (gli ottimi infissi isolano dai rumori della strada), confortevole e con uno staff di grande professionalitÃ  e squisita cordialitÃ .La colazione, varia e abbondante, si fa all'esterno, in un bar della piazza, dai cui tavolini si continua a godere della splendida vista.;Researchers;TRAINING
Di fronte al Pantheon e infatti risulta impossibile dormire a causa dei vari rumori: folla, spazzini, vigilanza... Stanze piccole e cosi pure il bagno dove non rifornivano di gel doccia. Fino al primo piano no ascensore e quindi 3 rampe di scale.Per la colazione bisogna andare al bar nella parte opposta della piazza della rotonda che offre poco e di scarsa qualitÃ ,;Habitual Travelers;TRAINING
"Siamo un gruppo di motociclisti (Motorustici) che ogni anno fine Maggio primi di Giugno, si prende una pausa da tutto (famiglia e lavoro) per qualche giorno. Quest'anno Sardegna, strade bellissime da moto, paesaggi stupendi, gente cordiale, insomma il Top.  Ho cercato su Tripadvisor ed Ã¨ spuntato Albergo diffuso Mannois. GiÃ  al telefono chi ti risponde ti fa capire che lavorano sereni.....quindi prenotiamo x 7 pax. Stanze in abitazioni recuperate e ristrutturate ""stile sardo"", pulite e fresche. Colazione alta qualitÃ  e abbondante, a buffet. Sa Turre (ristorante della struttura) con una cucina tradizionale, gustosa e con rapporto qualitÃ /prezzo giusti. Tutti i dipendenti giovani, allegri, disponibili, bravissimi......da 10. (come in Liguria!!!!)â€¦";Independent Travelers;TEST
Un meraviglioso gioiello incastonato nel centro storico di Orosei. Curato nei piÃ¹ piccoli dettagli, fortemente legato alle tradizioni senza essere banale e scontato. Gentilezza e professionalitÃ  fanno il resto. Molto comodo il servizio bike x raggiungere il loco piccolo stabilimento balneare. Esperienza che si ripeterÃ  tante tante volte .â€¦;Habitual Travelers;TRAINING
Abbiamo soggiornato in questo meraviglioso hotel diffuso per festeggiare una nostra importante ricorrenza. Le location sono incantevoli, curate nei dettagli, accoglienti e confortevoli;Researchers;TRAINING
Otto giorni come si deve in questo gioiellino, molto curato e accogliente. Al centro di una delle zone piÃ¹ interessanti della Sardegna. Ottimo. Colazione nella media. Camera con jacuzzi funzionante( merce rara al giorno dâ€™oggi) personale bravissimo.;Researchers;TEST
Bellissima struttura diffusa. consigliatissima.Ottimo anche il ristorante connesso Sa Turre posto sulla vetta di un torrione che domina l'intero paese di Orosei.Locale riservato e romantico, personale gentile e competente.;Researchers;TRAINING
"Nel 2014 avevo  soggiornato in questa struttura che mi aveva pienamente soddisfatta.  Orosei e il suo bel mare mi hanno  spinta a ripetere l'esperienza con mio marito e mia nipote di 12anni . Non ho avuto dubbi nel scegliere Mannois. Il concetto di albergo diffuso mi soddisfa pienamente, dislocato nel centro storico, ma funzionale , tutte le strutture sono a pochi minuti di distanza . Abbiamo alloggiato  a ""sa dommo"" in una ampia camera tripla con balcone con tavolino e poltrone , la cui pulizia era ineccepibile e profumatissima, il sonno fantastico. Se vogliamo l'unico neo il bagno senza aria  con ciÃ² che ne consegue. La colazione Ã¨ servita a Sa corte, casa madre,   in cui Ã¨ ubicata la reception: abbondante, varia,  con prodotti del territorio , dolci preparati dal cuoco ( torte, cannoli, paste, brioche ogni ben di Dio ) e salata ( ricotta, formaggi, salumi, uova, bacon ) frutta, succhi . Il personale Ã¨ numeroso, attento, simpatico, efficiente. Basta chiedere Ã¨ si Ã¨ accontentati. Altrettanto posso dire  di Emanuele, della straordinaria Emanuela prodighi di informazioni, suggerimenti, consigli sul territorio, sulle attivitÃ  , sui offerti. Solleciti, discreti, con professionalitÃ  straordinaria. L'albergo offre anche un valido servizio di biciclette, anche a pedalata assistita con cui Ã¨ agevole muoversi nel centro storico di Orosei, dove non Ã¨ facile parcheggiare,  e si percepisce un certo fastidio da parte degli abitanti nei confronti dei turisti. Non Ã¨ semplice aggirarsi in auto nelle strette viuzze del paese.  CiÃ² esula dal giudizio  ultra positivo sulla struttura. Vorrei fare un plauso al lido Mannois, perfettamente attrezzato,  pulito, ordinato ma soprattutto gestito da fantastici ragazzi  sorridenti, simpatici che aggiungevano valore al bello stabilimento balneare.Consiglio a chi cerca semplicitÃ  raffinata, senza ostentazione che non sia la qualitÃ  del servizio, la professionalitÃ , l'efficienza, l'onestÃ  nei prezzi per i servizi forniti. Un grande abbraccio a tutto il personale che ci ha fatto sentire in una grande famiglia.";Social Travelers;TRAINING
Un albergo, specialmente quello delle vacanze, deve evocarti sensazioni, emozioni...E quando si sceglie lâ€™albergo diffuso Mannois, una struttura ricettiva dislocata in edifici diversi, si ha anche la possibilitÃ  di â€œpersonalizzareâ€ le proprie emozioni. Ho deciso in loco di prolungare il mio soggiorno e, a causa di una prenotazione giÃ  confermata, ho avuto la possibilitÃ  di pernottare in una camera diversa dalla prima assegnata: ed Ã¨ proprio da questa mia esperienza che ho potuto assaporare unâ€™atmosfera diversa dalla prima. Sa Turre: una stanza luminosa e mediterranea, con una vista mozzafiato sui borghi di Orosei che si stendono a perdita dâ€™occhio fino al mare, arredi chiari e perfettamente in armonia con i giochi architettonici delle volte dei soffitti. Sa Corte: una stanza romantica e intima, con un balconcino che si affaccia sulla corte interna, sfondo indimenticabile per un aperitivo in attesa del tramonto, arredi minimal e architettura curata nel minimo dettaglio per conservare al massimo il fascino di quei borghi ricchi di charme.La prima colazione Ã¨ degna di un hotel lusso, con specialitÃ  di alta pasticceria e un ricchissimo buffet che saprÃ  accontentare anche i palati piÃ¹ esigenti. Non solo lo consiglierei vivamente, ma invito gli amici di TripAdvisor a visitare di persona questa sorprendente realtÃ  per ammirare con quanto amore per la propria terra e con quanta dedizione sono stati sapientemente ricostruite ambientazioni e architetture, partendo da vecchie e dismesse abitazioni e riprendendo pazientemente ogni piccolo particolare che potesse richiamare la loro iniziale condizione. Per un full immersion nella vera Sardegna che piano piano sta scomparendo. Eccellente rapporto qualitÃ  prezzo, personale attento e molto cordiale. Direi che definirlo hotel 4 stelle Ã¨ sicuramente riduttivo, perchÃ© i servizi offerti non hanno nulla da invidiare ad un resort piÃ¹ titolato.;Researchers;TRAINING
Piacevole struttura, personale cortesissimo, ben organizzato. Pulizia ed efficienza, buona base per le meravigliose escursioni nella zona. Silenziosa e tranquilla, consigliabile per soggiorni sia brevi ch lunghi. Buona la colazione. Suggerimenti? Attenzione al link con il ristorante Sa Turre, le luci nelle camere potrebbero essere migliorate, in particolare il lampione nel cortile.;Researchers;TRAINING
Anche se il tempo non Ã© stato dei migliori (pioveva a dirotto) abbiamo deciso di fare tutto il tragitto da Porto Torres fino a Orosei... 2 ore e mezza per godere di questo piccolo paradiso che ha mantenuto le promesse date. AllÂ´arrivo ha addirittura smesso di piovere ;Independent Travelers;TRAINING
Dormiamo ad Orosei dove siamo per la prima volta. Signora all'accoglienza molto gentile e disponibile. Camera molto carina, pulita e silenziosa. Accogliente.Ristorante chiuso perchÃ© fuori stagione ma i suggerimenti datici sono stati anche molto gentili ed interessanti. Da tener presente.;Independent Travelers;TEST
Albergo diffuso di immensa bellezza le stanze comprendono il bagno e sono curate nei minimi dettagli in stile sardo molto accoglienti e pulite e estremamente confortevoli. Viene servita una colazione a buffet molto varia e abbondante e tutto buonissimo. Consigliatissimo!!;Researchers;TEST
Abbiamo soggiornato qui per 4 notti e la nostra vacanza Ã¨ stata stupenda. La prima sera siamo arrivati in ritardo al check in e il ragazzo della reception si Ã¨ offerto di aspettarci per ben due ore!!I Ragazzi che lavorano in questoalbergo sono Gentilissimi e sempre disponibili, dalla signora che serviva i cappuccini alla mattina, a quelli della reception che ci davano sempre ottimi consigli su dove mangiare o cosa visitare. L'ultima sera, quando abbiamo detto alla ragazza della reception che saremmo partiti l'indomani prima della colazione si Ã¨ persino offerta di farci un pacco colazione da prenderci su per il viaggio! Che dire?? Meglio di cosÃ¬ non poteva andare! Staff fantastico!!;Social Travelers;TEST
Piacevole soggiorno per chi cerca privacy, indipendenza e qualitÃ . Ho soggiornato con il mio fidanzato nell'appartamento de luxe   : tutto nuovissimo, pulizia eccellente , stoviglie pulitissime e nuove , letto molto comodo e . stabile sapientemente ristrutturato, comodo per le varie escursioni e poi parcheggio pubblico adiacente , il centro si raggiunge tranquillamente a piedi,panetteria con prodotti freschi e deliziosi sotto casa, macelleria con con carni locali e bar. Stra-consigliato;Independent Travelers;TEST
Abbiamo soggiornato per 8 gg al Mannois sulla scorta delle ottime recensioni e perchÃ© preferiamo ogni anno scoprire zone che non conosciamo di questa meravigliosa isola. Pertanto la scelta Ã¨ ricaduta su Orosei.  L hotel Ã¨ molto curato con gusto nelle parti comuni  dove si puÃ² gustare un'eccellente colazione che puÃ² soddisfare tutti i gusti per varietÃ  e qualitÃ .  Bella la camera con pulizie giornaliere perfette. Simpaticissimo il servizio bike che ci ha consentito di raggiungere la spiaggia in circa 20 minuti  attraverso un bel percorso in buona parte pista ciclabile.  Servizio spiaggia perfetto comodissimo e con ombrelloni molto distanziati.  Personale di servizio professionale e gentilissimo tra  cui Anna regina delle colazioni che ci ha anche suggerito qualche percorso alternativo all interno che si Ã¨ rivelato perfetto. Il paese di Orosei Ã¨ stata una piacevole sorpresa con centro storico curato e grazioso con esercizi commerciali anche gradevoli. Consiglio anche la visita su spiagge limitrofe quale Su Barone, Bidderosa, Bircheda. Interessantissima la visita alla sorgente di Su Gologone (sempre suggerito da Anna).;Independent Travelers;TRAINING
inizio col scrivere che Davide il ragazzo che ci ha accolti nella struttura distaccata dell'hotel cioÃ¨ nel Loft, Ã¨ una persona GENTILISSIMA e molto disponibile, ci ha anche prenotato la minicrocera e il ristorante.il Loft Ã¨ un incanto, avevamo il numero 8, vista mare e montagna, camera arredata con gusto, veranda comodissima con frigo piano ad induzione microonde lavello e vari accessori essenziali, utilissimo per chi viaggia con bimbi piccoli come noi, preparando la pappa prima delle giornate passate al mare.letto comodissimo, culla fornita gratuitamente,   bagno molto grande e funzionale.L'intero alloggio pulito impeccabilmente, un 10 e lode.Sicuramente consiglierÃ² questo alloggio a chi vorrÃ  trascorrere una vacanza ad Orosei, sicuramente ci ritorneremo.un caro saluto a tutto lo staff e buon lavoroYlenia, Stefano Ã¨ Mattia;Social Travelers;TRAINING
Un soggiorno eccellente. Abbiamo scelto l hotel per la nostra luna di miele. Struttura incantevole per posizione ottima e scenario. Vista mare dalla colazione alla cena. Piscina da favola. Staff gentilissimo professionale e molto disponibile. Al nostro arrivo regalo di benvenuto molto gradito per la nostra luna di miele. Siamo stati aiutati nella scelta delle escursioni e ci hanno consigliato spiagge e locali. Ottimo il servizio di navetta. Grazie allo staff non vi dimenticheremo mai. A presto i novelli sposi Serena e Mattia.â€¦;Social Travelers;TRAINING
Hotel da classificare come il classico internazionale dotato di molte camere. La struttura Si trova in una zona panoramica, vicino alla parte industriale di Olbia, a pochi minuti dal centro.  Comodo se si Ã¨ in auto per girare le calette vicino Pittolungo e golfo Aranci, a mezzâ€™ora di auto si puÃ² andare a San Teodoro e Porto Cervo. Parcheggio un poâ€™ piccolino. Diciamo che La Piscina panoramica Ã¨ il suo punto di forza.  La Camera con terrazzo Ã¨ ampia e arredata di tutto il necessario, peccato che su un criterio di hotel 4 stelle sia la camera che il bagno siano un poâ€™ datati, doccia con vasca scomoda e abbiamo rinunciato a farci il bagno perchÃ© lâ€™acqua era gialla. Terrazza con bella vista su Olbia, ma con poca intimitÃ  in quanto il muretto confinante con la camera adiacente praticamente Ã¨ inesistente.  Il Personale Ã¨ stato gentile. La Colazione internazionale abbastanza ricca, anche se a mio giudizio troppo molto fai da te e con prodotti confezionati, la cosa positiva Ã¨ che si puÃ² fare con un ottima vista panoramica. Peccato che alcuna clientela non fosse molto educata, rovinando il momento relax della colazione.  Soggiorno tutto sommato positivo, ma non allâ€™altezza di altri 4 stelle della Sardegna, sia come struttura che come qualitÃ  prezzo. â€¦;Luxury Travelers;TEST
