"utente"|"commento"|"hotel"|"dataIns"|"labelpers"|"tipo_lista"
"FERLA74"|"Hotel bello ed accogliente. Ambienti puliti e personale molto gentile. Sale meeting molto curate. Parcheggio molto piccolo e pertanto molti di noi hanno dovuto parcheggiare fuori con rischio di multe e carro attrezzi. Cibo a buffet nella norma"|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"ce"|"TRAINING"
"fernando c"|"Eccomi a recensire una struttura che ha pochi eguali in italia! location meravigliosa,curata nei minimi dettagli,nulla è lasciato al caso.la professionalità della gente che ci lavora è esemplare,qualsiasi descrizione non potrebbe rendere al meglio l idea.....è un esperienza che va vissuta! per chi frequenta questo tipo di posti un eccellenza.il pelo nell uovo?.....colazione migliorabile.....per essere a livello del resto!il lusso si paga.......e va bene cosi! )"|"Monastero Santa Rosa Hotel & Spa"|"05/07/2019"|"lx"|"TRAINING"
"FilippiC"|"Lo Chalet è un posto incantato circondato da un lago incantevole. La Suite, vista montagna o vista lago, è il luogo ideale dove rigenerarsi al termine di un uscita tra le Dolomiti. Il proprietario è di un'accoglienza unica, così come Patrik e Andrea, i quasi gestori che faranno di tutto, nulla escluso, per farvi sentire accolti. La veranda vista lago è una chicca da godersi a cena come a colazione, così come la vista sulle tre cime di lavaredo che si scorge dalle vetrate. Al bar, oltre al caffè preparato con cura, gustatevi una grappa, rigorosamente di zona, per la cui scelta affidatevi a Patrik e Andrea, veri intenditori. A presto Lago d'Antorno, ritorneremo per provare la suite al sale. Saluti.…"|"Chalet Lago Antorno"|"05/07/2019"|"lx"|"TRAINING"
"Filippo Marangoni"|"Ottimo hotel a Bologna a pochissimi passi dall'ingresso della Fiera. Facilimente raggiungibile, uscita Arcoveggio provenendo da Padova, tangenziale direzione Ancona, uscita per via Stalingrado, due minuti e si arriva all'Hotel. Parcheggio privato. Hotel internazionale, moderno, sobrio, elegante. Personale al desk gentile ed efficiente. Pulizia e luminosità. Camere confortevoli, silenziose, materasso comodissimo. Bagno impeccabile. Decisamente un ottimo quattro stelle. Colazione internazionale, abbondante e servita in una sala luminosa. Prezzo adeguato: matrimoniale ad € 120,00 a camera con servizio minibar e parcheggio compresi. Ottimo. Consigliato per il comfort, posizione, qualità e prezzo."|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"sp"|"TRAINING"
"fimeroni"|"Sott’ogni aspetto quel che si respira nella struttura è...Amore.Da come si è accolti a come l’insieme è curato nei particolari...dalla colazione alla cena, passando per la piscina (unica nel suo essere realmente infinity) e la spa.Tutto è tranquillità, riservatezza e lusso nella semplicità.Anche un breve soggiorno rinfranca lo spirito e l’Amor di coppia. Da gustare periodicamente certamente!"|"Monastero Santa Rosa Hotel & Spa"|"05/07/2019"|"lx"|"TRAINING"
"Flavia I"|"Ci sono stata con il mio fidanzato in occasione di un evento all'Auditorium Parco della Musica e posso dire di aver fatto un'ottima scelta. Il b&b è a pochi passi dalla struttura, si trova in una zona residenziale molto tranquilla e non molto lontano da Villa Borghese. Abbastanza varia la colazione (sala accessibile a qualsiasi ora) e confortevoli le camere (quella in cui ho soggiornato io, in particolare, era molto grande). Il proprietario è stato molto cordiale e ci ha fatti sentire a casa. Se avrò nuovamente necessità di soggiornare in zona, sicuramente terrò conto di questo posto."|"Parioli Bed & Business"|"05/07/2019"|"so"|"TRAINING"
"FM62"|"Hotel un po' decentrato ma a 200 MT dalla fiera. Col 28 in 15' si arriva in centro. Hotel recente, stanze sufficientemente ampie, bagno ben attrezzato. Buon WiFi , TV senza Sky. Colazione non proprio da 4*. Personale cordiale."|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"ce"|"TEST"
"france600"|"Una trasferta di lavoro impone una notte a Civitanova. Arrivo in tarda serata. Check in veloce ed efficiente. Assegnano una camera particolarmente spaziosa (tre letti) anche se per uso singolo. Aria condizionata eccessiva con display che indica temperatura maggiore rispetto al reale. Ambiente pulito ed essenziale. Camera silenziosa e ben isolata anche rispetto a quelle contigue. Colazione a buffet con sezione dolce e salata ricca ma non sorprendente. Ottimo rapporto qualità prezzo. Comodissimo autostrada e tangenziale per Macerata. Logisticamente ottimale per trasferte di lavoro. Consigliabile…"|"Cosmopolitan Business Hotel"|"05/07/2019"|"sp"|"TRAINING"
"Francesca G"|"Ho soggiornato con la mia famiglia al Camping in Town per 3 giorni. Sono stata incuriosita da quel ragazzo con il cappello autista del calessino. Ci ha spiegato tutte le tipologie di itinerari che era possibile fare e abbiamo scelto il giro in città e campagna. Esperienza da non perdere!! Cultura e divertimento insieme.... Grazie davvero Sauro e tutto lo staff del campeggio."|"Camping Village Firenze"|"05/07/2019"|"so"|"TEST"
"Francesco M"|"Consiglio questo albergo assolutamente Camere spaziose e caldePersonale disponibileRapporto prezzo-qualità straordinario Non giudico servizio bar e ristorante perché non ne ho usufruitoSono rimasto molto soddisfatto"|"AC Hotel Bologna by Marriott"|"05/07/2019"|"sp"|"TRAINING"
"Francesco S"|"Abbiamo pernottato nella Suite in grotta, camera enorme e suggestiva ricavata all'interno delle tipiche abitazioni (Sassi) cercando di preservare quanto più possibile la costruzione originaria. Un'esperienza suggestiva. Molto interessante la scelta dei vini in suite ed i prezzi delle bottiglie ed in generale del frigobar sono davvero convenienti nonostante si tratti di una struttura di alta fascia. Bella l'idea di lasciare un proiettore, con i film ambientati a Matera, per poter vedere le pellicole sulla parete della grotta.Ho aperto un vino ma dava di tappo e mi è stato immediatamente sostituito.La Spa non è all'altezza del resto. Molto bello il momento dell'ingresso visto che è ricavata in una grotta ed è riservata in esclusiva, purtroppo c'è solo una vasca idromassaggio per 4, una doccia per massaggio cervicale (che non funzionava benissimo) ed una sauna minuscola che abbiamo anche trovato fredda poiché non era stata attivata prima assoultamente non vale il prezzo del biglietto. Questa cosa mi ha molto deluso ma non me la sono sentita di lamentarmi e non volevo inficiare troppo il voto che la struttura merita (lo staff avrebbe potuto almeno prevenire il problema della sauna fredda, ed il costo è davvero eccessivo 69€)Senza la SPA avrei dato 5 stelle"|"Antico Convicino Rooms Suites & SPA"|"05/07/2019"|"lx"|"TRAINING"
"Gennaro"|"Ho soggiornato per una notte in questo hotel ed appena entrato subito ti accorgi che e' il top. E' tutto cosi' perfetto dalla stanza alla colazione , io non ho trovato un solo difetto . Complimenti, ci ritornerei subito ..."|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"ce"|"TRAINING"
"Gessica"|"Uno dei migliori hotel della provincia.attenti a tutto anche ai particolari.pulizia maniacale ovunque.spesso pernottiamo qui cenando al ristorante dove qualità e cortesia regnano.gentilissimi ed educati.bravi"|"8piuhotel"|"05/07/2019"|"ce"|"TEST"
"Gianca S"|"Meravigliosa struttura, facilmente raggiungibile. Le stanze sono ampie, tutto tecnologicamente all'avanguardia. Da consigliare anche per la buona colazione con un'ampia scelta. Personale altamente qualificato e cordiale."|"8piuhotel"|"05/07/2019"|"ce"|"TRAINING"
"Gianluca Anastasi"|"Villa Ducale è un hotel che merita a pieno titolo di essere annoverato tra i migliori al mondo (e le classifiche lo confermano ampiamente).La qualità dell'accoglienza è altissima a 360°, l'ospite è coccolato dall'inizio alla fine della permanenza. Lo staff è altamente qualificato, gentile, pronto, accorto e al top. Le camere sono un connubio perfetto tra architettura contemporanea e massimo comfort. La colazione viene servita in una terrazza che lascia letteralmente senza fiato. Stesso ambiente per il ristorante dove pranzo e cena risultano un'esperienza gastronomica notevole dovuta anche alla presenza di un executive Chef di altissimo livello.Ogni singolo aspetto della permanenza è curato e gestito con la massima attenzione e l'esperienza risulta veramente di altissimo livello.Un assoluto punto di riferimento su Taormina. Per veri viaggiatori, per clienti esigenti che amano e conoscono profondamente il mondo dell'hotellerie."|"Hotel Villa Ducale"|"05/07/2019"|"lx"|"TRAINING"
"gianlucadb70"|"Il rapporto tra il prezzo contenuto ed i punti di forza (struttura moderna, pulita, confortevole con buona posizione) fanno dimenticare quelli deboli ( su tutti la colazione, con salato e dolce a mio avviso di qualità non idonea alla tipologia di hotel).Comunque per una sosta di una notte motivata da ragioni di lavoro è consigliabile."|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"sp"|"TRAINING"
"Gianlucapreco"|"5° anno presso questa struttura. Ma questa volta non posso mettere 5 stelle per due motivi. Il primo: ANIMAZIONE PATETICA , quest'anno veramente pessima, organizzati male e soprattutto con musi lunghi  quasi scocciati. Non educatissimi e soprattutto mai sorridenti o poco . Qualcuno ha scritto non invadenti... e grazie non si vedono mai. In spiaggia non si capisce mai quando iniziavano, con una piccola cassa da cui usciva della musica. Insomma una tristezza unica. Secondo aspetto negativo , nonostante la gentilezza del beach service la spiaggia non spiccava per pulizia . In 15 gg  penso di avere visto la buca vicino al mio ombrellone mai coperta, la sabbia non viene mai tirata e pulita veramente poco, il posacenere passavano anche 2/3 gg prima di essere svuotato.  Lodi invece allo staff delle pulizie, le casette erano igienizzate, pulite e profumate.. ma questa è ed  è sempre stato un punto forza dell'europa. Il solito Chirstian , colonna portante del villaggio , gentile e disponibile.  Ma tutto lo staff in generale è molto cortese. Ritornerò??? Certo che ritornerò sperando che il prossimo anno ci sia una scelta migliore per il gruppo di animazione"|"Europa Camping Village"|"05/07/2019"|"so"|"TEST"
"giaser"|"Sempre un ottimo hotel per alloggiare  ma alcuni dettagli in camera andrebbero migliorati.I servizi igienici come il bidet sono troppo piccoli e troppo vicino alla parete.il tappo del lavabo ed il soffione della doccia andrebbero manutenuti un po meglio. La colazione buona e varia.…"|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"ce"|"TEST"
"gin79mast"|"Hotel di altissimo livello. Ho avuto la fortuna di scegliere quest'hotel per un breve soggiorno romantico a Roma. ma sono rimasto senza parole quando sono entrato nella suite che ci era stata assegnata camera perfetta, parquet, letto comodissimo e con un baldacchino in vetro particolarissimo...vista mozzafiato su piazza Navona e poi il bagno..con una vasca idromassaggio incantevole e un piano doccia da lasciar senza parole. colazione ottima, variegata e di alta livello. personale gentilissimo e servizievole in tutto, sia prima del check in che durante il soggiorno."|"Lifestyle Suites Rome"|"05/07/2019"|"lx"|"TRAINING"
"gio2059"|"Un buon hotel, direi anche ottimo ma il prezzo è un po’ alto. Inoltre credo che oggi, con le varie diete che esistono, sia un po’ limitante non avere per colazione a disposizione mandorle, noci, nocciole, macadamia, noci di Pekan"|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"sp"|"TRAINING"
"Gioia C"|"Per la seconda volta abbiamo soggiornato nella struttura nella suite terra e usufruito della spa riservata. Tutto pulito, e personale gentilissimo come la prima volta. Consigliatissimo!! Sicuramente torneremo per provare anche le altre suite a disposizione :)"|"Halanus Hotel & Resort"|"05/07/2019"|"lx"|"TRAINING"
"Giorgio F"|"Aspetti positivi: campeggio tranquillo, anche la settimana di ferragosto. Immerso nel verde senza altre strutture nell'immediata vicinanza. Case mobili (perlomeno la nostra) pulita e recente. Animazione molto brava e non invadente. Complimenti davvero ai ragazzi!!!Aspetti negativi: la spiaggia attrezzata del campeggio, sul catalogo, non è quella della foto! Sulla foto è rappresentato lo stabilimento(ombrelloni blu) del residence figo... Spiaggia di ghiaia e non di sabbia, come invece descritto sul dépliant. In mare poi, ci sono rocce ovunque rendendo difficoltoso il solo entrare in acqua. Non adatto ai bambini. Mare che diventa profondo dopo qualche metri.Ristorante imbarazzante per i tempi di attesa e la disorganizzazione. Personale a volte scortese. Market carissimo e con prodotti nella media se non scadenti. Comprata anguria marcia, sostituita gentilmente, ma quella nuova era prossima a marcire.. Nel complesso il personale sembra sempre svogliato e non motivato. L'impressione che ho avuto è di un ambiente dove ognuno guarda il suo orticello. Infatti ogni decisione doveva essere dirottata ad un responsabile e i tempi si allungano parecchio, per ogni cosa.Vespe ovunque! Non si riesce a mangiare in pace! Formiche ovunque, abbiamo dovuto sigillare il cibo perché entravano dappertutto! Non ci ritornerò."|"Camping Village Capo d'Orso"|"05/07/2019"|"so"|"TRAINING"
"Giorgio M"|"tutto bene, piscine gia' riscaldate. forse un maggior controllo a qualche interperanza notturna ( parlare a voce alta sino alle 2 di notte...). il ristorante le briccole in notevole difficolta' per l'afflusso del sabato sera. prenotato per le 19,45, attesa di una ora e mezza......peccato.  non fanno pagare il coperto. interessante."|"Europa Camping Village"|"05/07/2019"|"sp"|"TRAINING"
"giorgio888"|"Prima volta in questo splendido Hotel, impeccabile in tutto! Pulizia, rispetto, silenzio, cortesia e disponibilità sono i principali fattori di una vacanza. Sicuramente sarà un mio punto di riferimento qualora dovessi tornare a Milano."|"Starhotels Business Palace"|"05/07/2019"|"ce"|"TEST"
"Giovanni P"|"Bel campeggio alle porte di Firenze. Logisticamente perfetto in quanto si arriva in centro percorrendo direttamente un vialone fino in centro, utilizzando la loro navetta ( 3 euro andata e ritorno ) o la linea 14 con fermata a 300 ma dalla struttura. Abbiamo soggiornato in un bungalow per tre persone molto pulito e comdodo in quanto si può parcheggiare davanti all’ingresso della canotta.Due pecche secondo me importanti in camera, fornitura prodotti di necessità scarsissima ( 1 rotolo di carta igienica  e un sapone  in tre per tre giorni ) e la mancanza del bidet in camera.Possibilità di mangiare presso la fabbrica di PedAvena all’interno della struttura.Nel complesso tutto molto pulito e tenuto bene.Prezzo da parte mia molto buono .Sicuramente da tenere in considerazione."|"Camping Village Firenze"|"05/07/2019"|"sp"|"TRAINING"
"Giovanni S"|"Stanza minuscola con bagno delle stesse dimensioni.Mobilio vetusto molto rovinato.Frigo completamente vuoto..lampadina della stanza fulminata.L'accessorio per stirare i pantaloni fuori uso.Discretamente pulito..le finestre sono chiuse sigillate.Colazione a buffet..personale di sala non particolarmente disponibile.Spero di non tornare più da queste parti"|"Crowne Plaza Milan Linate"|"05/07/2019"|"ce"|"TRAINING"
"Giovanni S"|"Struttura molto ben organizzata, personale cortese e situazione perfetta per famiglie con bambini ed appassionati di sport. La piscina e la disponibilità di campi da gioco rendono la vacanza indimenticabile.La vicinanza con Venezia rappresenta un plus ineguagliabile"|"Europa Camping Village"|"05/07/2019"|"so"|"TRAINING"
"giuliano m"|"Hotel non modernissimo ma pulito elegante e facile da raggiungere sia in auto che in metro.  Stanza spaziosa e silenziosa  letto comodo.  Colazione con ampia scelta e servizio puntuale in location elegante"|"Starhotels Business Palace"|"05/07/2019"|"lx"|"TRAINING"
"Giuseppe B"|"Buon hotel, situato vicino alla stazione e poco lontano dal centro, posteggio auto esterno limitato a poche autovetture e posteggio coperto a pagamento. Cordialità e disponibilità del personale non mancano, piccola palestra con vista panoramica sulla città, la camera nella media, pulita e con un grande televisore, ho gradito la bottiglia di acqua come forma di cortesia al posto della solita caramella o cioccolatino posato sul cuscino, la colazione di qualità ma da migliorare l'assortimento degli alimenti, la  caffetteria ottima e servita dal bar e non dalla immancabile macchina fai da te tutto fare."|"AC Hotel Bologna by Marriott"|"05/07/2019"|"ce"|"TRAINING"
"GlobeTrotting534439"|"È il secondo anno consecutivo che veniamo, in camper, io mio marito e due cani, e come l'anno scorso ci siamo trovati benissimo, cortesia, pulizia e ospitalità la fanno da padroni. Ottima posizione, consigliatissimo."|"Camping Olympia"|"05/07/2019"|"so"|"TRAINING"
"Guido P"|"Ero da solo e ho trovato una calorosa accoglienza dal personale e a cena la piacevole atmosfera si è diffusa tra i commensali: ho fatto conoscenza coi compagni olandesi di tavolo e ci siamo incontrati piu' volte nei gironi successivi sulle piste"|"Rifugio Lagazuoi"|"05/07/2019"|"so"|"TRAINING"
"Guido T"|"E' un ottimo hotel. Si trova alla periferia di Lecce ma in pochi minuti si raggiunge il centro.Camere confortevoli e pulite. Letto comodo e ben insonorizzato. Colazione ricca e personale davvero molto gentile"|"8piuhotel"|"05/07/2019"|"ce"|"TRAINING"
"Heidi K"|"Brunch della domenica in questo grande e moderno hotel in zona linate. Sala grande, con tanti tavoli ma buona acustica, c'è anche una zona un po' appartata per far giocare i bambini con l'assistenza di una ragazza del personale. Tante portate, molti antipasti, e ampia scelta tra primi e secondi caldi.  Per il dolce è possibile farsi fare una crepe al momento, altrimenti c'è un banco con vari tipi di torte e dessert.…"|"Crowne Plaza Milan Linate"|"05/07/2019"|"ce"|"TEST"
"iAmo_Blog"|"Quando si sceglie AC Marriott non si sbaglia e difatti anche l'hotel di Bologna offre ottimo confort e un tocco di classe. Partiamo subito dall'unico difetto dell'hotel ossia il parcheggio esterno molto limitato che obbliga a parcheggiare nell'interrato a pagamento (15euro a notte). L'hotel è in zona fiera, prossimo comunque al centro città nei paraggi inoltre si possono trovare anche alcuni ristorantini. La camera è pulita con un bagno moderno ma con la vasca e non con la doccia. Il letto è molto ampio e comodo, con una tv degna di questo nome. Non abbiamo provato il ristorante, ma la colazione ha un'offerta ampia e di qualità. C'è anche una palestra nell'hotel con attrezzi Technogym.Hotel visita da iAmo_Blog"|"AC Hotel Bologna by Marriott"|"05/07/2019"|"ce"|"TEST"
"IlRecensoreTop"|"Tre notti da favola, hotel pulito, riservato e veramente al centro. Abbiamo preso la suite con ingresso indipendente, trovando petali di rosa e spumante in ghiaccio sul letto. Colazione buonissima. Vista sul canale, direttamente di fronte a dove soggiorno’ Mozart. Un ringraziamento ai ragazzi della reception."|"Hotel Mercurio Venezia"|"05/07/2019"|"lx"|"TRAINING"
"Imperia Mor"|"Abbiamo trascorso il weekend di Pasqua qui e avevamo bisogno di un Hotel comodo non in centro e vicino all’autostrada. Appena arrivati siamo stati accolti con freddezza e poche parole, nessun cenno agli orari della colazione ne tanto meno un sorriso o un augurio di buon soggiorno. Per un quattro stelle non di certo il migliore dei biglietti da visita. Nessun altro cenno alle altre facilities dell’albergo. Camera spaziosa e senza dubbio pulita, ma gli appunti da fare sono tanti, il miscelatore montato al contrario e l’acqua ghiacciata nella doccia, un profumo chimico e dolcissimo in tutto l’albergo, aria bollente nei corridoi e aria gelata in camera anche quando provavamo ad accendere l’aria calda. Letto comodo, tutti i prodotti per il bagno e non solo disponibili in stanza. Sicuramente migliore per un soggiorno professionale che per uno di coppia. Colazione ricca, cappuccino latte e caffè disponibili au richiesta e con servizio al tavolo, ampia scelta ma qualche sorriso in più non avrebbe guastato, come qualche ammonimento in meno sulla pinza corretta da usare per la torta. Da migliorare."|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"so"|"TRAINING"
"Irene M"|"Ho soggiornato nella bellissima suites Cappuccino. Da non perdere la vista dalla fantastica terrazza.La  stanza affaccia su una delle più belle e famose piazze di Roma.Per colazione ho scelto l’omelette ed era deliziosa. Non ho resistito e ho scattato alcune foto che allego di seguito."|"Lifestyle Suites Rome"|"05/07/2019"|"lx"|"TEST"
"italiantourer"|"Abbiamo utilizzato una suite su due livelli. L’idea sicuramente ottima ma i dettagli proprio no. TV scadenti scarsa illuminazione arredamento cheap. L’arredamento anche dell’hotel molto da rivedere: forse meglio una poltrona o un divano in meno ma di pelle vera e non ecopelle. La colazione da migliorare con più prodotti di stagione (una spremuta di arancia invece del succo industriale?!?!?) e senza yogurt del Lidl.... abbiamo poi assistito ad una discussione piuttosto lunga tra il personale e forse la proprietà alla reception il tutto ad altissima voce. Le potenzialità ci sono ma bisogna lavorarci molto!! Peccato perché la struttura è un bel palazzo l’affaccio non è dei migliori ma si trova in una posizione centrale dalla quale si raggiunge più o meno tutto a piedi"|"Palazzo Brunaccini"|"05/07/2019"|"lx"|"TEST"
"Iuliana O"|"Molto accogliente, personale molto cordiale e professionale. Stanze grandi, eleganti e pulite. Molto attenti alle esigenze del cliente.Bellissimo posto, perfettamente collegato con il centro di Milano."|"Starhotels Business Palace"|"05/07/2019"|"ce"|"TEST"
"Jessica Bianchi"|"Il mio ragazzo mi ha portato a cena in questo ristorante per il nostro anniversario, veramente indimenticabile. La location unica e di grande classe, uno spettacolo cenare in una grotta solo io e lui, molto romantico. Il cibo si vede subito che è di alta qualità e cucinato con molta creatività. Il servizio impeccabile e molto professionale. In questo ristorante il lusso non manca mai. I camerieri sono molto preparati e gentili, passavano spesso a vedere se avevamo bisogno di qualcosa. Veramente un'esperienza bellissima e indimenticabile. Il ristorante si trova in centro di Città Alta, ottima posizione per una passeggiata romantica dopo cena."|"Hotel Relais San Lorenzo"|"05/07/2019"|"lx"|"TRAINING"
"Jet01316768061"|"Un rifugio in senso letterale: notte e ristorante gradevoli. Vino della casa ottimo. Pasta fresca e funghi ma anche stinco di maiale. Il prezzo è adeguato e personale ben educato. Lo consiglio a coppie in cerca di angolini rimantici e a famiglie con bambini"|"Rifugio Sapienza"|"05/07/2019"|"sp"|"TEST"
"Jkkerouac"|"Ottima struttura per chi lavora, posti comuni disponibili per incontri di lavoro.Camere ampie e ben arredate.Personale attento e disponibile.Colazione di livello.Ottimo rapporto qualità/prezzo.Wifi molto buono."|"Cosmopolitan Business Hotel"|"05/07/2019"|"sp"|"TRAINING"
"jol2008"|"Bellissimo hotel  di lusso in una dimora storica. Grandi stanze con soffitto con travi a vista sala ristorante con pareti affrescate.  Gentilezza e professionalità del personale unite alla bellezza della struttura rendono questo hotel un’oasi nel grigiore di Sesto San Giovanni."|"Grand Hotel Villa Torretta Milan Sesto, Curio Collection by Hilton"|"05/07/2019"|"lx"|"TRAINING"
"Kalos1"|"L’hotel, nonostante sia lontano da centro, non è scomodo, essendoci la fermata della metro a 150 mt. L’hotel è un po’ vecchiotto e nella moquette l’età si sente tutta. Risulta problematico chi è allergico alla polvere soggiornare. Personale professionale, ma al limite della simpatia. La colazione al limite per un 4 stelle. Buono il rapporto qualità prezzo. …"|"Starhotels Business Palace"|"05/07/2019"|"sp"|"TRAINING"
"kami"|"Buon rifugio  in quota ben organizzato con ristorante.  buona soluzione per partire presro il giorno seguente in escursione ai crateri sommitali. Forse un po troppo riscaldato di notte e ventola del bagno senza finestra molto rumorosa .Colazione ricca e personale gentile . "|"Rifugio Sapienza"|"05/07/2019"|"ce"|"TEST"
"Katia C"|"Ottimo hotel prenotato dal mio compagno, comodo , si trova all’uscita della tangenziale, parcheggio gratuito, camera spaziosa, pulita, bagno con bellissima e comoda doccia , materasso ottimo e colazione fantastica sia dolce che salata!!Personale gentilissimo"|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"ce"|"TRAINING"
"ketty r"|"Buon campeggio,nulla di particolare,piazzole ampie e ben tenute. Animazione discreta non invadente. Ottima presenza di servizi interni ,supermercato,edicola,bazar,medico,gastronomia,pizzeria e ristorante.Zona piscina ben tenuta e ben sorvegliata.Scarsa a mio avviso la pulizia dei bagni e docce ,forse dovuta alla grande affluenza essendo la settimana di ferragosto che a mio avviso andava un pò potenziata."|"Europa Camping Village"|"05/07/2019"|"so"|"TRAINING"
"klivio"|"Vengo spesso in questo albergo nei miei fine settimana a Milano ed è sempre un piacere ritornarci. Vicinissimo alla fermata della metro che collega sia la stazione che il Duomo. Camera e bagno sempre molto puliti, apprezzo molto i canali sky sulla tv.Molto buona la colazione. Check in/out veloce, personale sempre gentile e professionale"|"Starhotels Business Palace"|"05/07/2019"|"ce"|"TRAINING"
"LadyZ"|"L'hôtel é straordinario, la pulizia è molto curata, il personale gentile disponibile e accogliente. La colazione superlativa. Le camere sono molto belle e spaziose. Se dovessi trovare una pecca l'hotel è leggermente decentrato rispetto al centro. Esperienza da rifare. "|"8piuhotel"|"05/07/2019"|"ce"|"TRAINING"
"Laphonso80"|"Ho trascorso una notte in questo hotel per lavoro. Il personale è ottimo e cortese, le camere veramente confortevoli e la colazione abbondante e molto variegata. Consigliatissimo per chi passa da lì per affari."|"Cosmopolitan Business Hotel"|"05/07/2019"|"ce"|"TEST"
"Luca O"|"Struttura praticamente nuova, dotata di quasi ogni comfort. Molto comodo per raggiungere in bicicletta il centro lungo l' Arno(in ciclabile) in soli 5km. Unica nota negativa l'assenza della raccolta differenziata"|"Camping Village Firenze"|"05/07/2019"|"ce"|"TRAINING"
"luca o"|"Hotel vicinissimo alla fiera ed a pochi minuti dalla stazione.Camera arredata con cura e pulita. Colazione a livello del resto.Unici difetti se possiamo considerarli tali la tv con solo i canali del digitale terrestre e nel bagno forse per una svista solo una saponetta per tutto.Sicuramente ci tornerò"|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"ce"|"TRAINING"
"luca v"|"sono stato in camper per 2 notti, quindi un esperienza forse limitata ma: accoglienza e disponibilità notevoli (siamo arrivati di notte, ci hanno riservato uno spazio esterno e permesso l'utilizzo di tutti i servizi alle 00.45), piazzole in pineta ben ombreggiate e pulite, servizi (docce - spaziose e funzionali, wc) notevolissimi (tanti, pulitissimi, con phon, carta igienica, sapone per le mani). Personale molto cordiale.Assolutamente consigliato"|"Camping Sabbiadoro"|"05/07/2019"|"so"|"TRAINING"
"Lucia"|"Struttura curata nei minimi dettagli, pulita, organizzata, personale cordiale, animazione divertente ma mai invadente, ottimi i servizi (il market è fornitissimo, ottimo il ristorante, anche con possibilità di gastronomia e pizzeria da asporto). Il Camping è un'oasi di pace e tranquillità, ideale per una vacanza in famiglia, in cui i bambini possono girare autonomamente in piena sicurezza e libertà. Si può scegliere tra la spiaggia e un meraviglioso parco acquatico. Ottimo rapporto qualità-prezzo degli alloggi, quasi tutti nuovi e rinnovati di anno in anno.…"|"Europa Camping Village"|"05/07/2019"|"sp"|"TEST"
"Luciano P."|"Il soggiorno perfetto per chi è alla ricerca di un hotel di lusso, tre stelle sulla carta ma è come se fossero 4 per pulizia, cordialità e competenza del personale e servizi offerti. Rapporto qualità prezzo eccellente se si pensa anche alla vasta varietà di scelta per la colazione offerta e il posto auto messo a disposizione dalla struttura. Davvero un ottimo soggiorno, lo consiglio a tutti. Struttura eccellente. Da tenere in considerazione. Voto 10"|"Hotel Galant"|"05/07/2019"|"sp"|"TRAINING"
"luciovizioli"|"Buona l’ubicazione,ma purtroppo il proprietario ( forse gestore) è una persona sgarbata La professionalità e la serietà sono evidentemente un optional in questa struttura nel cuore dei Parioli.Peccato!!!"|"Parioli Bed & Business"|"05/07/2019"|"so"|"TEST"
"Luigi O."|"La zona chiaramente non è il massimo ma se devi andare a Bologna per lavoro è molto comoda perché non distante dal centro anche a piedi. L’albergo si stacca decisamente dal contesto urbano e vive di luce propria. Proprio una bella luce. Il format è quello classico della catena AC by Mariott: ospitalità, pulizia il tutto accompagnato da un design lineare, elegante e funzionale. A conferma che per gli AC il cliente è sempre al centro delle loro attenzioni."|"AC Hotel Bologna by Marriott"|"05/07/2019"|"ce"|"TRAINING"
"Luisa R"|"Sono stata,  a cavallo della fine dell'anno, in questo bellissimo hotel con un gruppo: ci siamo trovati tutti benissimo. Stanze moderne, eleganti e molto tecnologiche: cromoterapia, internet accessibile dalla grande TV, menu cuscini (!), ottima pulizia, letti comodissimi. La colazione molto varia e curata, sia dolce sia salata, davvero per tutti i gusti, scelta ampia di formaggi locali, uova e bacon, brioche, crostate ecc. . Abbiamo cenato una sola sera e i piatti sono risultati molto buoni e ben presentati. Molto gradevole anche l'arredamento, moderno e lineare, ma colorato e confortevole. Il personale è stato sempre molto professionale, cortese, gentile, sempre sorridente e disponibile. Nonostante la zona non sia particolarmente bella e leggermente periferica, non appena si entra in hotel la sensazione è così piacevole, l'accoglienza così perfetta che si desidererebbe fermarsi il più possibile, non è facile trovare alberghi così."|"8piuhotel"|"05/07/2019"|"lx"|"TRAINING"
"luplay"|"a due passi dal termine della superstrada (Foligno - Civitanova) ed a pochi minuti dal casello dell'autostrada. Posizione quindi ideale con ampio parcheggio.Hotel moderno ed accogliente con una nota di merito per la cucina.ideale per chi si trova in zona."|"Cosmopolitan Business Hotel"|"05/07/2019"|"ce"|"TEST"
