"utente"|"commento"|"hotel"|"datains"|"tipo_lista"|"labelpers"
"CHIBE"|"Hotel che necessita sicuramente della manutenzione nelle camere che risultano datate anche se pulite.Mi sarei aspettata prese funzionanti ai comodini per poter caricare gli ormai mille apparecchi tecnologici che si anno. Servizio alla reception normale in check in e piacevole in check out.Parcheggio coperto sotto l'hotel comodo per dimenticare la macchina ed usare i mezzi pubblici (la metro dista 2 minuti a piedi dall'hotel fermata Porto di Mare linea gialla), forse un pò caro ma in linea con i prezzi di hotel 4/5 stelle.La cosa che più ci ha delusi è sicuramente la colazione. poca qualità, succhi creati da buste e fatti  solo da zucchero e coloranti, frutta fresca pessima e poco appetibile, pane che sembrava del giorno prima, miele per pancakes ma pancakes assenti.. ho avuto colazioni migliori in 2-3 stelle. Dovessi tornare la colazione la farei al bar e spenderei decisamente molto meno.Abbiamo prenotato due camere ed abbiamo chiesto camere comunicanti, alla fine abbiamo avuto due camere vicine e nelle stesso piano ma non siamo riusciti a capire se l'hotel dispone di camere comunicanti."|"Starhotels Business Palace"|"05/07/2019"|"TRAINING"|"sp"
"Claudia C"|"Ho soggiornato nel nuovissimi Luxory lodge Ravelli con mio marito e mia figlia ed è stata un’esperienza magnifica. Gli appartamenti sono molto eleganti e confortevoli, docce con cromoterapia in entrambi i piani e una bellissima terrazza con sauna e idromassaggio privati. Alla mattina ti fanno trovare la colazione direttamente nell’ alloggio, il ristorante dell’hotel è molto elegante e il cibo ottimo. Il personale gentilissimo a soddisfare  qualsiasi nostra esigenza.... ci hanno fatto sentire come a casa ! ci ritorneremo sicuramente. Grazie!!!!…"|"Palace Ravelli"|"05/07/2019"|"TRAINING"|"lx"
"Cricri18"|"Penso sia la ventesima volta che torniamo in questo hotel e devo dire che le aspettative sono sempre meglio, le stanze sono spaziose il letto è veramente comodo e largo, ottima la colazione e lo staff ..... gentilissimo  e apprezzano gli amici a 4 zampe!!!!! Ci vediamo presto."|"Cosmopolitan Business Hotel"|"05/07/2019"|"TRAINING"|"ce"
"Cristian M"|"rapporto qualità prezzo ottimohotel situato vicino al centrostruttura curata nei minimi particolari con elevati designcamera spaziosabagno con vasca da bagno e con lavandino trasparente top..un'enorme televisore a parete che ti fa sentire come sul divano di casa tuainsomma consiglio vivamente a tutti"|"AC Hotel Bologna by Marriott"|"05/07/2019"|"TRAINING"|"sp"
"danielaO1765NK"|"Albergo accogliente, pulito, personale garbato. Un tantino decentrato, ma in questo momento dell'anno, malgrado il passaggio della famosa Millemiglia, quando i prezzi sono alle stelle, abbiamo beneficiato di un rapporto qualità prezzo assolutamente onesto."|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"TRAINING"|"sp"
"Daniele P."|"Abbiamo soggiornato quattro giorni in un Alpine Lodge.....hanno praticamente tutto!!!! Ottimo punto di partenza per le escursioni e poi, al rientro, tutti in piscina a rinfrescarsi. Esperienza splendida. Da provare. Ci ritorneremo senz'altro! Grazie"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"so"
"DanieleM"|"Siamo stati due notti in questa splendida struttura a San Donato Milanese. Il Plaza è sempre una garanzia. Camere confortevoli, personale gentilissimo,  complimenti alle ragazze della reception Marina, Ersilia e Sara, simpatiche, gentili e sorridenti. Colazione top. Parcheggio con custode h24 a 7 euro al giorno. Ci torneremo. Un caro saluto.."|"Crowne Plaza Milan Linate"|"05/07/2019"|"TRAINING"|"ce"
"Dapa322"|"Per farla breve la signora proprietaria è di una  maleducazione e presunzione che non si addicono assolutamente a chi vuole fare un lavoro che la porti ad interagire con le persone e con dei clienti. Al mondo non esistono solo i soldi come è stato per loro, esistono la parola, il rispetto e le buone maniere. Gestioni di questo tipo meriterebbero di provare cosa significa non avere clienti e doverseli guadagnare. Mi dispiace solo per il personale che ci lavora perché sono tutti molto carini e disponibili e si vede che cercano di sopperire alla scarsità dei proprietari. Il camping in generale non può essere considerato un 4 stelle. Le deluxe sono molto belle ma per il resto assolutamente pessime. Abbiamo soggiornato una settimana in deluxe e due notti in Burstner e non c’è paragone considerando che la differenza di prezzo è di soli 10 euro a notte. Consiglierei di pulire in maniera più accurata anche quelle più vecchie e di fornirle di un equipaggiamento stoviglie un po’ più adeguato.…"|"Camping Torre Castiglione"|"05/07/2019"|"TRAINING"|"so"
"Davide Bergamo"|"Bellissimo posto, diciamolo incantevole  Bravissimi lo staff sempre molto disponibili a risolvere ogni problematica.   In più SUPER l'animazione  bravissimi i ragazzi e le ragazze CHE CI LAVORANO  sanno coinvolgere tutti  Dai bimbi a noi adulti"|"Camping Torre Castiglione"|"05/07/2019"|"TRAINING"|"so"
"davide d"|"Bel posto per passare una giornata in famiglia a contatto con la natura. Cucina discreta, menu fisso con prezzi in linea con la qualità. Personale gentile, locale ben curato, possibilità anche di pernottamento."|"Agriturismo & Scuderia della Valle"|"05/07/2019"|"TRAINING"|"sp"
"Desirè D"|"Ho soggiornato con mio marito per una settimana nelle sistemazioni alpine lodge e ci siamo trovati benissimo.Sono soluzioni abitative singole e autonome, delle vere e proprie casettine di legno vista montagna. La posizione del campeggio è comodissima per raggiungere tutti i vari punti di interesse della valle ( tra Dobbiaco e Villabassa), a 5 min di auto dall imbocco per Braies, stessa distanza da san candido, 40 min da Lienz e da brunico. I lodge sono stupendi, dei gioiellini, tutti in legno, molto spaziosi e con tutti i confort (bagno grande e moderno con asciugamani e carta igienica, cucina con tutte le stoviglie, strofinacci, tovaglia, frigo, microonde e lavastoviglie con annessa capsula, sacchetti per la spazzatura, zona living con divanetto, tv,tavolo da pranzo che da sulla bellissima vetrata esterna, tanti armadi sia in camera da letto e cameretta von letto a castello). Bellissima anche la veranda esterna con tavolo per mangiare fuori e stendino per i panni. La tranquillità che si respira qui non ha prezzo! Anche perché la zona dei lodge è separata da quella dei camperisti. Come servizi abbiamo utilizzato solo il noleggio bici interno e il ristorante-pizzeria samyr (ottima pizza e bellissimo ambiente).Lo consiglieremo ai nostri amici e familiari e cogliamo l'occasione per ringraziare lo staff molto gentile e disponibile.Da ritornarci assolutamente!"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"ce"
"Dicoseso"|"Abbiamo soggiornato in questo hotel trovandoci pienamente a nostro agio. La suite era davvero confortevole, il personale molto disponibile e gentile, la colazione ricca e varia! Meritano più di qualche ora la SPA e il solarium. C'é anche un servizio in spiaggia che contribuisce a rendere il soggiorno davvero piacevole! Speriamo di tornare presto!…"|"Smeraldo Suites & Spa"|"05/07/2019"|"TRAINING"|"lx"
"Diego D"|"Situato in posizione perfetta per chi, come il sottoscritto, è costretto in Fiera per 3 giorni l Hotel è pulito, silenzioso e curato.Personale gentilissimo e cucina/room service di livello.Il prezzo è adeguato alla categoria ma, un paio di extra personali inizialmente non previsti si sono rivelati più che ragionevoli.Ci tornerò sicuramente."|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"TRAINING"|"sp"
"dott.Review"|"Confortevole. Soprattutto per viaggi di lavoro. Tutto ciò che serve senza esagerare. Ottimo rapporto qualità/prezzo. Stanze ampie e comode. Pulizia e servizio ok. Parcheggio comodo e gratis.Consigliato."|"8piuhotel"|"05/07/2019"|"TRAINING"|"sp"
"Elena F"|"Abbiamo alloggiato negli alpine lodge, e tutto era perfetto e perfettamente in stile montano. Il camping è situato in una posizione strategica, vicinissimo al lago di Braies e alle tre cime di Lavaredo. Personale gentile e disponibile per qualsiasi informazione o chiarimento.Ci tornerei mille volte!"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"so"
"Elena V"|"Da tempo ormai è la nostra base per le gite in sud tirolo. Il campeggio offre una miriade di comodità (bagni riscaldati, stanza con fasciatoio e vaschetta, bagno e doccia per i piccoli, vasca per i cani, piscina, servizio navetta, card per i trasporti pubblici inclusa, mini zoo, noleggio bici...) e il personale è sempre cortese e premuroso. Il bus ferma proprio davanti all’ingresso. Ciliegina sulla torta: l’ottimo ristorante annesso! Davvero consigliato!"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"ce"
"Eleonora C"|"Abbiamo mangiato in questo agriturismo per pranzo. Posto stupendo con vista mozzafiato sul Gran Paradiso. Ambiente all'interno caldo e famigliare, ideale per sentirsi coccolati. Piatti super prelibati e abbondanti."|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"TRAINING"|"ce"
"Eleonora2610"|"La posizione si trova proprio davanti alla Fontana dei Quattro Fiumi di Bernini in Piazza Navona. Posizione ottima, andavamo camminando da per tutto ( vicino al Pantheon )! La suite meravigliosa, l'arredo e il design la rendono unica ( anche il bagno ). Pulizia impeccabile. Personale gentilissimo ! Hotel di altissimo livello! POSTO VERAMENTE INCANTEVOLE! Sono molto felice di averlo scelto !"|"Lifestyle Suites Rome"|"05/07/2019"|"TRAINING"|"lx"
"Elia M"|"Devo dire che questo hotel e bellissimo e vale i soldi che ho pagato per una suite. Ottimi servizi. Ottima colazione (ovviamente c'è di tutto) è ottimo io personale gentile e simpatico grazie per questo soggiorno"|"Lifestyle Suites Rome"|"05/07/2019"|"TRAINING"|"lx"
"ElisAlice"|"Campeggio situato imposizione perfetta per poter visitare comodamente più luoghi di interesse senza sprecare troppo tempo in auto. Ottimo per chi ha cani. Unica pecca ristorante chiuso il martedì sera. Consigliato"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"ce"
"Emilio V"|"luogo sempre suggestivo con qualsiasi condizione meteo (abbiamo avuto alcune ore di bufera poi è arrivato il sole), buona organizzazione dell'accoglienza, sistemazione molto curata (abbiamo soggiornato in camera doppia), cucina e servizi adeguati"|"Rifugio Lagazuoi"|"05/07/2019"|"TRAINING"|"ce"
"ErMatador"|"Premetto che la location non è effettivamente un Hotel classico 5 stelle  come molti siti di prenotazioni on line descrivono e come ce lo si aspetta. È altresì quello che si definisce un albergo diffuso ( addirittura sul loro sito loro stessi si descrivono come resort .) Ciò deriva da un lato dalla tipicità della città e dall’altro dalla scelta di unire varie unità immobiliari. In effetti il resort é composto da case , casette , camere , locali, etc distribuite in una porzione di collina nel rione Sassi di Matera. L’accesso alle varie costruzioni é spesso tramite ripide stradine di pubblico passaggio e solo nella costruzione principale ( ovvero quella di più grandi dimensioni e in posizione più elevata ) l’accesso é esclusivo. Insomma non aspettatevi il classico albergo , ma soprattutto non aspettatevi servizi o dettagli di un classico hotel con rating 5 stelle. Certo la posizione é una tra migliori e caratteristiche in città ,  idem per la vista , idem per le camere che sono di recente ristrutturazione e sono ben arredate in stile sobrio  ( molte sono addirittura molto ampie come per esempio le suites )... ma in questo luogo a mio avviso manca l’anima , manca la giusta l’atmosfera, l'accudimento e l’accoglienza di un hotel premium/lusso. Plus : - posizione e vista ,  - cortesia del personale,  - buona connessione internet ( circa 15 mega in down e circa 2 in up )  Minus :  - scarsa insonorizzazione nelle camere in zona reception e/o vicino alla strada. - Accesso non sempre agevole alle camere,  - Non sono presenti servizi che ti aspetteresti inclusi per location con un rating del genere come : manca lobby in quanto tale ( solo saletta vicina a reception) manca SPA , manca palestra , manca una piscina/saune , Etc  - Rapporto qualità/prezzo mediocre. Buona la colazione ( sia come qualità che varietà ) e pregevole la zona breakfast sita all’interno di un’ampia grotta ( che funge anche in altri orari da ristorante ) peccato che impediscono di sedersi sui dei bei tavolini all'esterno nella bella stagione. Servizio valet parking a 25 euro al giorno. Conclusioni : una buona meta come posizione e contesto , ma pagare oltre 500 euro al giorno in modalità bed & breakfast ( senza servizi a valore che ritengo essenziali su rating del genere ) non lo giudico molto soddisfacente. Voto finale 6 meno meno.…"|"Sant'Angelo Luxury Resort"|"05/07/2019"|"TRAINING"|"lx"
"F703cT"|"Struttura nuova e tecnologicamente avanzata. Ottimo rapporto prezzo qualità.Personale sempre gentile e  disponibile.Camere pulite, climatizzazione ottima. Ampio parcheggio.Ristorante eccellente e bar fornito."|"8piuhotel"|"05/07/2019"|"TRAINING"|"sp"
"FabDiaf"|"Posizione non troppo comoda se si vuole visitare Bologna. Ottima per soggiorni brevi. Buono il servizio di pulizia e la colazione, varia e con prodotti continuamente riforniti. Il parcheggio gratuito scoperto è troppo piccolo per la quantità di ospiti che può ricevere la struttura. Se si arriva in macchina è più probabile dover parcheggiare nel garage a pagamento."|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"TRAINING"|"sp"
"Fabiana B"|"Delizioso villaggio,moderno,attorniato da piante ed alberi,si trova nel mezzo della bellissima zona piscine,anche riscaldate,con a disposizione sdraio ed ombrelloni e la spiaggia privata con il mare degradante e pulito,ideale per i bambini.Frontespiaggia,si trova il nuovo ristorante,perfetto per tutti i palati,poi la gastronomia takeaway ed il supermercato.Due negozi ed un grande bar per colazione o aperitivo,completano il tutto.Noi abbiamo alloggiato in una ecolife unit,casetta bella,ordinata  e pulitissima,attrezzata di tutto e con un grande terrazzo che abbiamo usufruito molto per pranzi e cene.Vacanza all insegna del relax e del divertimento,anche mio figlio preadolescenze,si e' goduto i nostri giorni di vacanza fra mare,piscina,campetto di calcio,giri in bici con gli amici e qualche sera trascorsa a Lido di Jesolo.Il personale e'molto gentile e disponibile,brave le ragazze e i ragazzi dell animazione.Siamo stati molto bene e torneremo presto!"|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"so"
"Fabio R"|"Qui in camper con la famiglia, prezzi corretti, gentilezza, disponibilità, pulizia e spazi a disposizione per tutti. Buono il ristorante, simpatico il parco giochi e il piccolo bioparco con gli animali di montagna, in cui i bambini si sono divertiti tantissimo. La posizione poi è fantastica, a due passi da Dobbiaco e San Candido, è la base perfetta per esplorare tutta la zona!"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"sp"
"Fabio S"|"Che dire... Ci siamo sentiti come a casa,immersi nella natura circondati dalle dolomiti innevate!Ma la cosa che vi differenzia,è la gentilezza e la cura che avete dei vostri ospiti! Il campeggio pulitissimo e curato in ogni dettaglio,nonostante fossimo in stagione di mezzo dove ancora le attività non sono riprese.Ci torneremo sicuramente perché abbiamo dimenticato li...un pezzetto di cuore!! A prestoBianco desy , Fabio e Serena"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"so"
"FABIOan70"|"Pernottato con un altra coppia di ritorno da un matrimonio. Ho apprezzato la qualità delle stanze (spaziose e silenziose) e il letto matrimoniale di misure extra large. Ottimo servizio alla reception e super coccolati nella colazione. La struttura è moderna, con ampio parcheggio e vicino all'ingresso dell'autostrada.…"|"Cosmopolitan Business Hotel"|"05/07/2019"|"TRAINING"|"ce"
"Fabiola"|"Scrivo questa recensione da parte del mio compagno che almeno una volta al mese soggiorna presso la Vs struttura. Come sempre soggiorno eccellente, personale molto cortese e professionale, struttura accogliente e cibo ottimo. Consiglio vivamente"|"8piuhotel"|"05/07/2019"|"TRAINING"|"ce"
"Fabrizio D"|"Un fine settimana passato visitando Firenze mentre i nostri ragazzi aspettavo di assistere al concerto degli Imagine Dragons. Un camping che nonostante avessi letto solo recensioni positive è andato oltre le aspettative. Situato a 5 minuti dal casello autostradale e a 5/7 minuti dal centro di Firenze, dotato di servizio navetta che parte ogni 20min. dal campeggio andata e ritorno. Receptionist cordialissimi come del resto tutti i collaboratori della struttura... chalet molto confortevole ma soprattutto molto molto pulito, un ristorante (“il pedavena”) con una birra artigianale deliziosa e con tagli di carne eccellenti. Che dire di più, lo consiglio vivamente a tutti coloro che vogliono passare qualche giorno in relax sul lungarno o fare una gita a Firenze. Appena ne avrò occasione farò ancora visita a questa struttura."|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"so"
"Fabrizio_Russiello"|"Ottimo Hotel, abbiamo soggiornato al Cosmopolitan più volte in vari anni e non ci ha mai deluso, camere molto spaziose, nonostante il passeggino il bimbo aveva spazio per giocare, pulitissime e profumate,letto comodo. La colazione e sempre stata ottima e di grande varietà. Abbiamo anche cenato preso il ristorante,a nostra sorpresa, i piatti erano tutti molto abbondanti e tutto molto buono, sono stati gentilissimi anche nel preparare la pastina del bimbo! Insomma....io lo consiglio, tant'è che ogni volta che vogliamo fare un fine settimana a Civitanova, prenotiamo sempre lì!…"|"Cosmopolitan Business Hotel"|"05/07/2019"|"TRAINING"|"ce"
"faret06"|"Molto bello e pulito piazzole spaziose e piscina accessibile a tutti. vicino ai mezzi pubblici e con la possibilità di arrivare a 20 min dal centro (a piedi) con la navetta. Inoltre per chi volesse ci sono  l'area barbecue, il market e un ristorante"|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"ce"
"Fearless44908682548"|"Ritengo il Lagazuoi il posto più bello del mondo. Qui il panorama è impagabile. Soggiornare al Rifugio permette di godere di questo splendido panorama all'alba e al tramonto, i momenti più belli della giornata. . La struttura è accogliente ed il trattamento adeguato al luogo dove ci si trova. Nel complesso Impagabile"|"Rifugio Lagazuoi"|"05/07/2019"|"TRAINING"|"ce"
"Felice N"|"Ho trascorso da poco 4 giorni in questo fantastico Camping dotato di Lodge in legno da favola, praticamente è come stare a casa vostra, dotati di ogni comfort, vi è anche una sauna al centro dei lodge prenotabile con soli 5€ a persona, dispone di area barbeque, minizoo con attrazioni per piccoli e grandi, aree roulotte, e a breve sarà anche hotel con camere o appartamenti, ristorante e market all'interno dello stesso camping, i proprietari sono gentilissimi e disponibili. prezzi onesti per la qualità dell'ambiente e del camping, tessere magnetiche per l'accesso ai lodge e per l'ingresso e l'uscita dal camping senza limiti di orario, bagni per animali, praticamente c'è di tutto…"|"Camping Olympia"|"05/07/2019"|"TRAINING"|"sp"
"ferdisvago"|"L' hotel è  situato a dieci minuti di strada a piedi da porta napoli, moderno, pulito, davvero confortevole. Il personale è gentile . La colazione è ottima. I piatti del ristorante sono un pò particolari per i miei gusti. Ci ritornerò sicuramente"|"8piuhotel"|"05/07/2019"|"TRAINING"|"ce"
"FERLA74"|"Hotel bello ed accogliente. Ambienti puliti e personale molto gentile. Sale meeting molto curate. Parcheggio molto piccolo e pertanto molti di noi hanno dovuto parcheggiare fuori con rischio di multe e carro attrezzi. Cibo a buffet nella norma"|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TRAINING"|"ce"
"fernando c"|"Eccomi a recensire una struttura che ha pochi eguali in italia! location meravigliosa,curata nei minimi dettagli,nulla è lasciato al caso.la professionalità della gente che ci lavora è esemplare,qualsiasi descrizione non potrebbe rendere al meglio l idea.....è un esperienza che va vissuta! per chi frequenta questo tipo di posti un eccellenza.il pelo nell uovo?.....colazione migliorabile.....per essere a livello del resto!il lusso si paga.......e va bene cosi! )"|"Monastero Santa Rosa Hotel & Spa"|"05/07/2019"|"TRAINING"|"lx"
"FilippiC"|"Lo Chalet è un posto incantato circondato da un lago incantevole. La Suite, vista montagna o vista lago, è il luogo ideale dove rigenerarsi al termine di un uscita tra le Dolomiti. Il proprietario è di un'accoglienza unica, così come Patrik e Andrea, i quasi gestori che faranno di tutto, nulla escluso, per farvi sentire accolti. La veranda vista lago è una chicca da godersi a cena come a colazione, così come la vista sulle tre cime di lavaredo che si scorge dalle vetrate. Al bar, oltre al caffè preparato con cura, gustatevi una grappa, rigorosamente di zona, per la cui scelta affidatevi a Patrik e Andrea, veri intenditori. A presto Lago d'Antorno, ritorneremo per provare la suite al sale. Saluti.…"|"Chalet Lago Antorno"|"05/07/2019"|"TRAINING"|"lx"
"Filippo Marangoni"|"Ottimo hotel a Bologna a pochissimi passi dall'ingresso della Fiera. Facilimente raggiungibile, uscita Arcoveggio provenendo da Padova, tangenziale direzione Ancona, uscita per via Stalingrado, due minuti e si arriva all'Hotel. Parcheggio privato. Hotel internazionale, moderno, sobrio, elegante. Personale al desk gentile ed efficiente. Pulizia e luminosità. Camere confortevoli, silenziose, materasso comodissimo. Bagno impeccabile. Decisamente un ottimo quattro stelle. Colazione internazionale, abbondante e servita in una sala luminosa. Prezzo adeguato: matrimoniale ad € 120,00 a camera con servizio minibar e parcheggio compresi. Ottimo. Consigliato per il comfort, posizione, qualità e prezzo."|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"TRAINING"|"ce"
"fimeroni"|"Sott’ogni aspetto quel che si respira nella struttura è...Amore.Da come si è accolti a come l’insieme è curato nei particolari...dalla colazione alla cena, passando per la piscina (unica nel suo essere realmente infinity) e la spa.Tutto è tranquillità, riservatezza e lusso nella semplicità.Anche un breve soggiorno rinfranca lo spirito e l’Amor di coppia. Da gustare periodicamente certamente!"|"Monastero Santa Rosa Hotel & Spa"|"05/07/2019"|"TRAINING"|"lx"
"Flavia I"|"Ci sono stata con il mio fidanzato in occasione di un evento all'Auditorium Parco della Musica e posso dire di aver fatto un'ottima scelta. Il b&b è a pochi passi dalla struttura, si trova in una zona residenziale molto tranquilla e non molto lontano da Villa Borghese. Abbastanza varia la colazione (sala accessibile a qualsiasi ora) e confortevoli le camere (quella in cui ho soggiornato io, in particolare, era molto grande). Il proprietario è stato molto cordiale e ci ha fatti sentire a casa. Se avrò nuovamente necessità di soggiornare in zona, sicuramente terrò conto di questo posto."|"Parioli Bed & Business"|"05/07/2019"|"TRAINING"|"so"
"france600"|"Una trasferta di lavoro impone una notte a Civitanova. Arrivo in tarda serata. Check in veloce ed efficiente. Assegnano una camera particolarmente spaziosa (tre letti) anche se per uso singolo. Aria condizionata eccessiva con display che indica temperatura maggiore rispetto al reale. Ambiente pulito ed essenziale. Camera silenziosa e ben isolata anche rispetto a quelle contigue. Colazione a buffet con sezione dolce e salata ricca ma non sorprendente. Ottimo rapporto qualità prezzo. Comodissimo autostrada e tangenziale per Macerata. Logisticamente ottimale per trasferte di lavoro. Consigliabile…"|"Cosmopolitan Business Hotel"|"05/07/2019"|"TRAINING"|"sp"
"Francesco M"|"Consiglio questo albergo assolutamente Camere spaziose e caldePersonale disponibileRapporto prezzo-qualità straordinario Non giudico servizio bar e ristorante perché non ne ho usufruitoSono rimasto molto soddisfatto"|"AC Hotel Bologna by Marriott"|"05/07/2019"|"TRAINING"|"sp"
"Francesco S"|"Abbiamo pernottato nella Suite in grotta, camera enorme e suggestiva ricavata all'interno delle tipiche abitazioni (Sassi) cercando di preservare quanto più possibile la costruzione originaria. Un'esperienza suggestiva. Molto interessante la scelta dei vini in suite ed i prezzi delle bottiglie ed in generale del frigobar sono davvero convenienti nonostante si tratti di una struttura di alta fascia. Bella l'idea di lasciare un proiettore, con i film ambientati a Matera, per poter vedere le pellicole sulla parete della grotta.Ho aperto un vino ma dava di tappo e mi è stato immediatamente sostituito.La Spa non è all'altezza del resto. Molto bello il momento dell'ingresso visto che è ricavata in una grotta ed è riservata in esclusiva, purtroppo c'è solo una vasca idromassaggio per 4, una doccia per massaggio cervicale (che non funzionava benissimo) ed una sauna minuscola che abbiamo anche trovato fredda poiché non era stata attivata prima assoultamente non vale il prezzo del biglietto. Questa cosa mi ha molto deluso ma non me la sono sentita di lamentarmi e non volevo inficiare troppo il voto che la struttura merita (lo staff avrebbe potuto almeno prevenire il problema della sauna fredda, ed il costo è davvero eccessivo 69€)Senza la SPA avrei dato 5 stelle"|"Antico Convicino Rooms Suites & SPA"|"05/07/2019"|"TRAINING"|"lx"
"Gennaro"|"Ho soggiornato per una notte in questo hotel ed appena entrato subito ti accorgi che e' il top. E' tutto cosi' perfetto dalla stanza alla colazione , io non ho trovato un solo difetto . Complimenti, ci ritornerei subito ..."|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TRAINING"|"ce"
"Gianca S"|"Meravigliosa struttura, facilmente raggiungibile. Le stanze sono ampie, tutto tecnologicamente all'avanguardia. Da consigliare anche per la buona colazione con un'ampia scelta. Personale altamente qualificato e cordiale."|"8piuhotel"|"05/07/2019"|"TRAINING"|"ce"
"Gianluca Anastasi"|"Villa Ducale è un hotel che merita a pieno titolo di essere annoverato tra i migliori al mondo (e le classifiche lo confermano ampiamente).La qualità dell'accoglienza è altissima a 360°, l'ospite è coccolato dall'inizio alla fine della permanenza. Lo staff è altamente qualificato, gentile, pronto, accorto e al top. Le camere sono un connubio perfetto tra architettura contemporanea e massimo comfort. La colazione viene servita in una terrazza che lascia letteralmente senza fiato. Stesso ambiente per il ristorante dove pranzo e cena risultano un'esperienza gastronomica notevole dovuta anche alla presenza di un executive Chef di altissimo livello.Ogni singolo aspetto della permanenza è curato e gestito con la massima attenzione e l'esperienza risulta veramente di altissimo livello.Un assoluto punto di riferimento su Taormina. Per veri viaggiatori, per clienti esigenti che amano e conoscono profondamente il mondo dell'hotellerie."|"Hotel Villa Ducale"|"05/07/2019"|"TRAINING"|"lx"
"gianlucadb70"|"Il rapporto tra il prezzo contenuto ed i punti di forza (struttura moderna, pulita, confortevole con buona posizione) fanno dimenticare quelli deboli ( su tutti la colazione, con salato e dolce a mio avviso di qualità non idonea alla tipologia di hotel).Comunque per una sosta di una notte motivata da ragioni di lavoro è consigliabile."|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TRAINING"|"sp"
"gin79mast"|"Hotel di altissimo livello. Ho avuto la fortuna di scegliere quest'hotel per un breve soggiorno romantico a Roma. ma sono rimasto senza parole quando sono entrato nella suite che ci era stata assegnata camera perfetta, parquet, letto comodissimo e con un baldacchino in vetro particolarissimo...vista mozzafiato su piazza Navona e poi il bagno..con una vasca idromassaggio incantevole e un piano doccia da lasciar senza parole. colazione ottima, variegata e di alta livello. personale gentilissimo e servizievole in tutto, sia prima del check in che durante il soggiorno."|"Lifestyle Suites Rome"|"05/07/2019"|"TRAINING"|"lx"
"gio2059"|"Un buon hotel, direi anche ottimo ma il prezzo è un po’ alto. Inoltre credo che oggi, con le varie diete che esistono, sia un po’ limitante non avere per colazione a disposizione mandorle, noci, nocciole, macadamia, noci di Pekan"|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"TRAINING"|"sp"
"Gioia C"|"Per la seconda volta abbiamo soggiornato nella struttura nella suite terra e usufruito della spa riservata. Tutto pulito, e personale gentilissimo come la prima volta. Consigliatissimo!! Sicuramente torneremo per provare anche le altre suite a disposizione :)"|"Halanus Hotel & Resort"|"05/07/2019"|"TRAINING"|"lx"
"Giorgio F"|"Aspetti positivi: campeggio tranquillo, anche la settimana di ferragosto. Immerso nel verde senza altre strutture nell'immediata vicinanza. Case mobili (perlomeno la nostra) pulita e recente. Animazione molto brava e non invadente. Complimenti davvero ai ragazzi!!!Aspetti negativi: la spiaggia attrezzata del campeggio, sul catalogo, non è quella della foto! Sulla foto è rappresentato lo stabilimento(ombrelloni blu) del residence figo... Spiaggia di ghiaia e non di sabbia, come invece descritto sul dépliant. In mare poi, ci sono rocce ovunque rendendo difficoltoso il solo entrare in acqua. Non adatto ai bambini. Mare che diventa profondo dopo qualche metri.Ristorante imbarazzante per i tempi di attesa e la disorganizzazione. Personale a volte scortese. Market carissimo e con prodotti nella media se non scadenti. Comprata anguria marcia, sostituita gentilmente, ma quella nuova era prossima a marcire.. Nel complesso il personale sembra sempre svogliato e non motivato. L'impressione che ho avuto è di un ambiente dove ognuno guarda il suo orticello. Infatti ogni decisione doveva essere dirottata ad un responsabile e i tempi si allungano parecchio, per ogni cosa.Vespe ovunque! Non si riesce a mangiare in pace! Formiche ovunque, abbiamo dovuto sigillare il cibo perché entravano dappertutto! Non ci ritornerò."|"Camping Village Capo d'Orso"|"05/07/2019"|"TRAINING"|"so"
"Giorgio M"|"tutto bene, piscine gia' riscaldate. forse un maggior controllo a qualche interperanza notturna ( parlare a voce alta sino alle 2 di notte...). il ristorante le briccole in notevole difficolta' per l'afflusso del sabato sera. prenotato per le 19,45, attesa di una ora e mezza......peccato.  non fanno pagare il coperto. interessante."|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"sp"
