"utente"|"commento"|"hotel"|"datains"|"tipo_lista"|"labelpers"|"predictedCategory"
"Robbyna"|"Trovato praticamente per caso navigando in internet, non avremmo potuto essere più fortunati...posizione ottima, nel centro storico di Napoli, vicinissimo a piazze  e vie importanti, le camere sono al secondo piano, non c’è l’ascensore ma se non si hanno particolari esigenze, non è un problema.Pio, il proprietario è molto disponibile e comprensivo, sia le zone comuni che le stanze sono pulite, a disposizione degli ospiti si trova sempre frutta e brioche.Colazione perfetta con dolce e salato, bevande calde e fredde, non manca nulla.Al check out si possono lasciare i bagagli, dico quasi perfetto perché non c’è la possibilità, una volta riconsegnate le chiavi, di usufruire di una toilette al di fuori delle camere, sarebbe stata utile prima di recarsi in aeroporto.In ogni caso ci tornerei e lo raccomando senza indugio..."|"Bed and Breakfast Il Conservatorio"|"05/07/2019"|"SCORE"|""|"ce"
"mglobetrotter"|"mi è piaciuta la posizione centralissima comoda alla metropolitana e a tutte i luoghi di interesse del centro storico, la colazione ottima e abbondante con prodotti freschi ogni mattina (brioche e sfogliatelle fantastiche) e ottima l'accoglienza. purtroppo però niente segnale wifi in camera, letto non comodissimo e scarichi doccia lenti"|"Bed and Breakfast Il Conservatorio"|"05/07/2019"|"SCORE"|""|"ce"
"alessandro v"|"Pulizia della stanza e della struttura ricettiva ottima ed impeccabile. Cordialità e gentilezza sono di casa. Per non parlare della posizione del bed, a due passi dal cuore pulsante del centro storico . Consigliatissimo. Ottima la possibilità  di parcheggiare l'auto in un garage convenzionato. Alla prossima visita sicuro che ritornerò in questa struttura."|"Bed and Breakfast Il Conservatorio"|"05/07/2019"|"SCORE"|""|"ce"
"am1992"|"Tornata qui dopo sei mesi dal precedente soggiorno, non posso che confermare l'ottima qualità dell'ospitalità e del servizio ricevuti. Il posto curatissimo, la gentilezza del titolare, la camera comoda e spaziosa, la buona colazione. La posizione è un altro punto a favore di questo b&b. Centrale, vicino alla metro fermata Dante, e comodo per visitare la città, vicinissimo a tante attrazioni e monumenti importanti."|"Bed and Breakfast Il Conservatorio"|"05/07/2019"|"SCORE"|""|"ce"
"Crissycrissy75"|"Gestore disponibile e professionale. Camere silenziose e pulite, materasso ok. Colazione ottima e varia, cappuccino come al bar. Bel vicolo, suggestivo il fatto di ascoltare i musicisti del conservatorio di fronte. Consiglio vivamente."|"Bed and Breakfast Il Conservatorio"|"05/07/2019"|"SCORE"|""|"ce"
"Allevote"|"Location molto carina e curata, tutto molto pulito e ordinato. La colazione abbondante e buonissima. Si trova in una posizione centralissima, al centro storico di Napoli comodo per raggiungere qualsiasi sito o posto comodamente a piedi vicino anche alla fermata metropolitana. Il responsabile nonché proprietario oltre ad essere molto simpatico è una persona molto disponibile, cordiale e gentile. Se ci ritroveremo in zona ritorneremo senz’altro. Esperienza unica. Consigliatissimo!"|"Bed and Breakfast Il Conservatorio"|"05/07/2019"|"SCORE"|""|"ce"
"Marcoluana D"|"Sono stato in questo b&b a febbraio, 2 adulti e un bambino 10 anni, la struttura è molto accogliente, camera soppalcata con bagno , grande curata pulita. Si trova in una zona centrale ricca di locali e attività, a pochi passi dalla metro. Oltre all ottima posizione, la struttura è molto carina, buona la colazione ed inoltre il proprietario è gentilissimo e disponibile ad ogni esigenza. Lo consiglio vivamente, complimenti"|"Bed and Breakfast Il Conservatorio"|"05/07/2019"|"SCORE"|""|"ce"
"tiziana t"|"Situato in una zona molto vivace della città, dentro il cuore di Napoli. Si respira aria bohemien...Le stanze sono molto silenziose, nonostante la movida serale,  curate e funzionali. Ottima anche la colazione e l'accoglienza di Pio e della sua collaboratrice."|"Bed and Breakfast Il Conservatorio"|"05/07/2019"|"SCORE"|""|"ce"
"Rossella G"|"B&B straconsigliato. Gita a Napoli last minute...Io e mio marito abbiamo soggiornato solo x una notte in questo meraviglioso B&B, situato in una zona centralissima. Camere spaziose e  pulitissime dotate di tv, WiFi, phone e diffusore. Titolare gentilissimo e pronto a soddisfare ogni esigenza. Colazione ricchissima dal dolce al salato. Possibilità di parcheggiare la macchina in un garage convenzionato a pochi metri dal B&B."|"Bed and Breakfast Il Conservatorio"|"05/07/2019"|"SCORE"|""|"ce"
"599max"|"Situato in una posizione strategica per visitare Napoli a due passi da via dei Tribunali e da via Toledo. Molto ben organizzato e pulito e proprietario molto cortese e disponibile. Colazione Super con sfogliatelle e frolle ad attendervi la mattina. Non vediamo l'ora di ritornarci."|"Bed and Breakfast Il Conservatorio"|"05/07/2019"|"SCORE"|""|"ce"
"FioreFix"|"Appartamento bellissimo, direi impeccabile sotto molti aspetti, con belle terrazze, situato in una zona residenziale chiusa in periferia, la metro è vicina ma purtroppo l'ultimo ritorno è attorno alle 20:00. Locali o altro in zona non ce ne sono per chi è a piedi, ma ci sono depliant in camera per servizi a domicilio.…"|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"Marco Btt"|"Struttura molto bella e pulizia esemplare. Tutto è curato nei minimi particolari. Proprietario gentilissimo, sempre molto disponibile Le stanze sono ben curate, letti comodi. Sono stato più volte in queste struttura e le ho provate tutte. Tutto veramente perfetto. Nota di merito anche per la cura e impegno che il proprietario mette nella preparazione della colazione. Ampia scelta. Consiglio vivamente questa struttura.…"|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"Andrea C"|"Posto accogliente pulito e professionale,  proprietario gentilissimo, mi sono fermato tre giorni e ho avuto l impressione di essere a casa di amici.. se tornerò a Napoli tornerò lì sicuramente.. lo Consiglio vivamente!"|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"vincenzo c"|"Ciao a tutti miei lettori, ho scelto questo B&B perchè era posizionato poco distante dalla mia fidanzata con cui ho trascorso un weekend nella sua città da urlo. Detto questo passiamo alla recensione. Il B&b si trova strategicamente a 50 m vicino alla Circunvesuviana per cui potete anche dimenticare l'auto. Parcheggio interno con cancello e sorveglianza h24 molto comodo in un parcò davvero enorme. L'appartamento fa parte di un complesso di palazzi alti circa 8 piani e si trova al 7° piano . Ascensore ampio per i bagagli. Consiglio non vi portate tanta roba gli armadi sono ampissimi ma passerete mezza giornata a disfare le valigie inutilmente. La stanza che abbiamo preso si trova infondo al corridoio . Ci sono tre camere di cui la nostra era la matrimoniale. All'ingresso trovate la porta della camera del proprietario che è sempre a disposizione gentilissimo instancabile. i bagni sono due molto grandi entrambi uno con vasca nel disimpegno delle camere il secondo poco prima della cucina, con doccia. Le istruzioni sparse e multilingue fanno si che non possiate sbagliarvi e sono per seguire le semplici regole di convivenza. La cucina è funzionale c'è tutto ma è solo utilizzabile per la colazione. Per il resto non vi mancherà niente . Grazie ancora Gianluigi di tutto.…"|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"LELE71_11"|"Ho soggiornato nel B&B,durante le vacanze natalizie,ambiente pulito,tranquillo e arredato con mobili nuovi e moderni. La colazione,da consumarsi entro le ore 11,  è ricca di :prodotti da forno di buona qualità, latte,yogurt, marmellata ,nutella ,caffe,biscotti,pane integrale e altro. Vicinissimo alla fermata della Circumvesuviana e dotato di posto auto custodito, consente rapidi spostamenti verso la città. Ma ciò che mi ha colpito di più, al di là degli evidenti pregi della struttura, sono state la gentilezza e la disponibilità del proprietario che,attento alle esigenze dei suoi ospiti,mi ha permesso di pernottare in un periodo in cui il B&B non accetta prenotazioni. Grazie a lui io ho potuto trascorrere il Natale vicino alla mia famiglia e di questo gli sono grata. Ora il B&B Rooms Rent Vesuvio è il mio punto di riferimento.…"|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"Gianmarco M"|"Proprietario gentilissimo, molto disponibile e che cura i minimi particolari.Struttura molto bella e pulizia esemplare, perfetta per chi deve trovarsi vicino all'Ospedale del mare.Consiglio vivamente questa struttura."|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"Mariachitan"|"Luogo molto carino e riservato. Personale gentile e disponibile. Due bagni disponibili super puliti e attrezzati, camera confortevole e ben arredata. Colazione normale, prezzo giusto. Adatto sia a coppie che a singole persone. Vesuviana a 2 passi dalla struttura."|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"Fabio D"|"Piacevolmente sorpreso dalla qualità della struttura, della permanenza e dell'accoglienza. Casa bellissima e comodissima. Il proprietario, persona disponibilissima, completa un quadro perfetto. Ci tornerei un milione di volte"|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"so"
"Pietro G"|"Ottimo posto pulito e molto disponibile lo consiglio vivamente per passare una vacanza a Napoli l'unica pecca e la distanza dal centro comunque si raggiunge con la Circumvesuviana colazione abbondante"|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"mestru"|"Sono stato ospite la scorsa settimana di questa favolosa struttura e ci ritornerò la settimana prossima ....  tranquillamente, comunque, ho tutti gli elementi utili per fornire la mia recensione. Un plauso va al sig. Gianluigi che attraverso l’utilizzo appieno del significato della parola “condivisione” ha realizzato con il proprio appartamento questo splendido b&b. La pulizia, l’ordine ed il profumo regnano sovrani ed inducono l’ospite  a rispettare tali standard sopratutto negli ambienti comuni ( due bagni e cucina).... io sono un precisino di mio e mi comporto così di default .... però un ambiente trovato pulito e  ordinato invita anche l’ospite più indisciplinato a lasciarlo nello stesso (o quasi) modo in cui l’ha trovato per l’utilizzo da parte degli  altri. La gentilezza e l’ospitalità del proprietario ti fanno sentire a casa propria. Giro l’Italia per lavoro e specialmente in quest’ultimo periodo Non recensisco molto le strutture che mi ospitano ...questa volta mi sono sentito quasi obbligato anche per mettere in risalto l’eccellente rapporto qualità prezzo di quanto offerto. Grazie Gianluigi per l’ospitalità. Ci vediamo lunedì"|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"Michele B"|"Ho alloggiato in questo B&B perché avevo la macchina a noleggio e dispone di parcheggio gratuito. È molto ben posizionato per raggiungere sia Napoli che le principali zone di interesse della zona (Caserta, Sorrento, Pompei, Ercolano, il Vesuvio, ecc...), senza dover uscire ogni volta dal traffico del centro se si alloggia in piena città.Inoltre dispone anche ti una stazione ferroviaria per chi volesse raggiungere il centro di Napoli senza macchina.B&B davvero molto pulito e confortevole. Si trova al settimo piano e dalla mia camera inoltre avevo una bellissima vista sulla città.Proprietario molto cordiale e disponibile. Se avrete bisogno vi indicherà i principali luoghi e cose da vedere."|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"Ilaria P"|"Ho contattato questa struttura per avere un preventivo e ne è scaturita una cascata di mail prive di educazione e buon gusto. Mi limito a girarle, si commentano da sole.Chiaramente non ho soggiornato presso la struttura e non posso esprimere un giudizio su di essa, ma le premesse sono tutt'altro che allettanti"|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"Paola F"|"Rapporto Prezzo qualità veramente eccellente. Accoglienza ottima. Superiore alle mie aspettative. Situato al settimo piano con tramonti e albe stupende.  Attenzione al particolare.... Da provare per credere"|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"annamariaalbino"|"Disponibilità incredibile, pulizia, serietà, tranquillità e professionalità! Grazie Gianluigi...senza il tuo Mac personale,che mi hai prestato, non avrei potuto sostenere la prova del concorso. La tua generosità è una garanzia per gli ospiti."|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"so"
"Juanma P"|"Sono stato con amici benissimo. La stanza e bellissima con una piccola terrazza. È un po lontano dal centro ma si arriva facilmente. Gianluigi è stato molto gentile con noi e ci ha aiutato tantissimo. Ci tornerei senza dubbi."|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"vcrimi"|"Cercavo un alloggio vicino all’ ospedale del Mare e fortunatamente ho trovato il B&B di Gianluigi, persona splendida super gentile e disponibile.Posizione strategica in quanto a due passi dall ospedale del mare e facilmente raggiungibile dall’aereoporto di Capodichino.Arredamento completamente nuovo e moderno sopratutto molto pulito e con ogni comfort.Consigliatissimo a chi non è del posto Gianluigi Ha un grande senso di ospitalità e un ottimo punto di riferimento per ogni tipo di informazione."|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"marcolino886"|"È proprio il caso di dire “fai come se fossi a casa tua” .Pulizia e ordine sono le prime cose che saltano agli occhi oltre all’accoglienza da parte di Gianluca il titolare , ragazzo giovane e attento alle esigenze degli ospiti . 4 stanze accoglienti , 2 bagni sempre puliti e una cucina dotata di ogni comfort. Segnarlo tra i preferiti ....fatto ??"|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"Maria Antoniett... M"|"Consigliatissimo Perfetta accoglienza,beb sempre pulitissimo, colazione molto abbondante. Gestore sempre molto disponibile e cordiale.Vicino all'ospedale del mare, alla circumvesuviana e all'aeroporto"|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"Fabiuss79"|"Tutto perfetto consigliatissimo per chi deve andare all'ospedale del Mare.Vicino all'aeroporto e alla circumvesuviana.Struttura molto pulita, gestore molto disponibile, colazione abbondantemente.Consigliatissimo"|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"ce"
"Rosario A"|"Opto per questa soluzione alloggiativa per l'estrema vicinanza all'ospedale del Mare e per la 'circumvesuviana'a due passi.Camera singola spaziosa con due bagni in comune non consentono attese.Andate!"|"Rooms Rent Vesuvio Bed & Breakfast"|"05/07/2019"|"SCORE"|""|"so"
"gaiara"|"Sono stata con la mia famiglia. Il camping è  gestito molto bene. Il personale molto cortese e disponibile. La posizione è strategica, a pochi passi da piazza dei miracoli. Le casette mobili sono ben arredate e complete e la piscina è  fantastica, dopo una giornata di escursione  e' ottima per rilassarsi. Ci tornerò  sicuramente…"|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"ce"
"Maurizio R"|"Come primo impatto, arrivando in camper, era l`altezza dell`erba nelle piazzole e la quantitá di fango dappertutto, ovviamente poi portato nella zona docce.La sicurezza é gestita dalla Receptionist e consiste nell`attaccare il loro adesivo al veicolo per il controllo da parte della Guardia notturna ma non ci sono CCTV tra le piazzole o in entrata!! Quando richiesto di riservare la piazzola per una seconda notte, la Receptionist ci ha detto Mettete pure il vostro tavolo per riservare la piazzola ma non ha detto ci assumiamo la responsabilitá se sparisce ... e difatti é stato rubato!!!! E non si sono neanche scusati, anche se avevamo notato che il Parco usa cavalletti loro per riservare i clienti che decidono loro!! Non accettabile!! A tutt`oggi non abbiamo ricevuto nessuna comunicazione se abbiano trovato il tavolo oppure no.Molto cortesi in apparenza ma scortesi alla partenza!! Wi-Fi senza chiave sicura e di scarso download, molti altri camperisti vicini si sono lamentati della scarsa potenza.Decisamente indietro coi tempi!! Non lo raccomandiamo a nessuno!!!…"|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"so"
"paolo a"|"Campeggio situato in posizione strategica, in 10 minuti a piedi, attraversi una strada molto trafficata e un sottopassaggio e sei arrivato in Piazza dei Miracoli. Bisogna fare un po' di attenzione ad attraversare la strada,  trattandosi di rettilineo i veicoli sfrecciano e  sarebbe opportuno far mettere un semaforo pedonale a chiamata.  I servizi interni del campeggio sono buoni, il personale molto gentile. La casa mobile è ben dotata, peccato però che non ci sia un viottolo piastrellato per raggiungere l'ingresso. Prezzi nella norma.  Location da tenere sicuramente in memoria per la posizione.   …"|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"ce"
"Marco P"|"a soli 10 minuti dalla torre di Pisa...... a piedi o con il Bus. il campeggio ha piazzole ben delimitate e in estate ombreggiate, ma le stesse hanno un grosso dislivello e sono fangose. al campeggio non manca nulla: un ristorante, bar, minimarket e servizi igienici grandi e sempre puliti..... forse avrei gradito un piccolo parco giochi per i più piccoli.…"|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"sp"
"Enrico L"|"Ottimale per la vicinanza a Pisa. Si può raggiungere la Piazza dei Miracoli in 10 minuti a piedi. Le case mobili sono adeguate anche se migliorabili. Nella nostra non era previsto il televisore e le luci non erano proprio ottimali. E provvisto di parcheggio, bar, minimarket e un ristorante pizzeria molto buono. E' presente una piscina aperta nei mesi estivi. Nelle vicinanze sono presenti altri supermercati.…"|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"sp"
"Silvia M"|"Camping ben tenuto. Personale disponibile. Servizi puliti.ci sono anche quelli per i bambini! Market e piscina all’interno. 10 min a piedi dalla torre pendente . Convenzionato con altri campeggi  Ideale per fare tappa in questa città"|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"ce"
"Giulia"|"Abbiamo soggiornato per 2 notti io e il mio ragazzo ad ottobre e devo dire che è veramente un bel posto. Ci siamo trovati benissimo, pulitissimo, dotato di condizionatore e aria calda per le serate un po’ fresche. Personale cortese e disponibile per ogni cosa. In soli 10min (cronometrati) si arriva sotto la Torre e si può visitare tutta la città. Veramente una bella scoperta. Chiude in inverno, ma mi rendo conto che sarebbe un problema rimanere aperti. Peccato perchè venendo una volta al mese a Pisa speravo di aver trovato un punto di riferimento. Ci ritorneremo sicuramente quando sarà aperto di nuovo."|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"ce"
"Martina G"|"Siamo venuti io e il mio ragazzo,questo camping si trova a 10 minuti da piazza dei miracoli e torre di Pisa, abbiamo soggiornato per 3 giorni e ci siamo trovati molto bene Pulizia 10Stanza molto carina.. tre letti , armadietti piccolo cucinino e bagnetto con doccia Tutto molto modernoVerrò sicuramente in estate per godermi la bellissima piscina."|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"ce"
"Ivan L"|"Ho pernottato solo una notte ma sicuramente tornerò per un periodo più lungo...educazione e cortesia alla reception, camera molto pulita e profumata con aria condizionata, cucina  organizzata e funzionale,piazzola per il posteggio..non ho provato il ristorante quindi non conosco i prezzi e la quantità del cibo.Prezzo giusto per la singola notte considerando che siamo a metà ottobre. Consigliato!"|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"ce"
"Danilo M"|"Camping a due passi dalla torre , ambiente confortevole e pulito , servizi interni , piscina , bar , ristorante e negozio , il personale e gentilissimo e professionale , è frequentato da una clientela internazionale."|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"ce"
"GiulyTitania"|"Villaggio molto bello, vicinissimo alla Torre di Pisa,mobile home pulita e fornita davvero di tutto!! Piscina pulita e personale professionale, educato ed accogliente L’unica cosa che suggerisco  è una disinfestazione per le zanzare. Avevamo un patio bellissimo ma non abbiamo potuto sostare fuori. Comunque per il resto lo consiglio a tutti. Vi troverete molto bene."|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"ce"
"Karen P"|"Siamo stati ai primi di agosto per un paio di notti in questo campeggio con il nostro camper per poter visitare Pisa. La posizione è ottima e anche i prezzi sono ragionevoli. Piscina con acqua salata molto carina, docce calde comprese, idem carico e scarico. Lo consiglio vivamente anche solo per una breve tappa ."|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"sp"
"Ilaria S"|"Dal camping si raggiunge piazza dei miracoli a piedi (1km), inoltre offre servizi non scontati nei campeggi: acqua calda e carta igienica gratis nei bagni la piscina e un bagno riservato ai più piccoli con vasca, fasciatoio e lavandini e docce a misura. Unica pecca (ma secondo me assolutamente trascurabile), le piazzole sono un po' piccole se si ha una tenda grande. Mi è dispiaciuto poter rimanere solo un giorno!"|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"sp"
"ospite"|"Campeggio con ottimissima posizione per la visita alla torre, prezzo ottimo, pulizia e ordine buoni e ottime anche le coperture per i camper che pochi campeggi hanno. Cani ben accetti, personale disponibile e cordiale, lo consiglio vivamente."|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"ce"
"Antonio C"|"Siamo stati bene camping molto attrezzato una bella piscina ristorante market bar inoltre è a due passi dalla torre e dalla stazione di Pisa San Rossore ottimo per una puntatina a Firenze i treni sono molto frequenti."|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"ce"
"Sara P"|"Ho trascorso due notti con la mia famiglia in questo camping alloggiando in una Tripla Deluxe. Il campeggio è situato in una zona periferica di Pisa, oltre la ferrovia, con il vantaggio di essere ad una decina di minuti a piedi da Piazza dei Miracoli, ma lo svantaggio di essere in una zona abbastanza deserta e in cui non è molto piacevole passeggiare perchè mal frequentata.Il personale della reception molto gentile e disponibile.La camera (o meglio mini appartamento) con spazi ridotti ma moderna, pulitissima e dotata di tutto, con cucinino, armadi a sufficienza e bagno (senza bidet).La piscina molto bella, con gradini, vaschetta per bimbi, mini scivolo e idromassaggio.Il bar discreto, serve anche qualche piatto caldo.Il market interno (prevedibilmente) molto caro e vende prevalentemente articoli adatti ad un’utenza straniera (il campeggio è frequentato prevalentemente da tedeschi).Il ristorante interno serve buoni piatti italiani (ha gestione separata).Nel complesso valutazione più che buona."|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"ce"
"Davide P"|"Se cercate un alloggio semplice, tranquillo ma comunque a due passi dal centro di Pisa questo camping è la soluzione ideale per voi!Io e la mia famiglia abbiamo soggiornato due notti in un bungalow molto carino struttura piccolina ma dotata di tutto il necessario. Pulizia ottima e bagno dotato di tutto (unico neo, la mancanza di un bidet).Bellissima la verandina con angolo cucina.Staff del campeggio molto gentile e comodi servizi (bar, ristorante, mini market).Punto forte: in circa 15 minuti a piedi siete alla Torre di Pisa pur potendo dormire nella tranquilla campagna!"|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"ce"
"Giovanni S"|"Sono stati cinque giorni fantastici. Ci siamo sentiti al nostro agio. Tutte le comodità a portata di mano. Posto bellissimo, alloggi molto confortevoli. Tutto lo staff molto disponibili. Ristorante molto buono e servizio bar idem con il gestore e famiglia molto simpatici tra l'altro siciliani come noi. Da ritornarci sicuramente"|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"ce"
"Crigius"|"Abbiamo soggiornato in questa struttura con un gruppo di 7 amici...Sbalorditi dall'organizzaznione e dalla sistemazione delle stanze, ottima la pulizia e tenuta degli ambienti nonchè  delle stoviglie. oltre a soggiornare abbiamo goduto dell'angolo cottura con spaghettata tra amici"|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"ce"
"silvia p"|"La struttura ha risposto perfettamente alle nostre esigenze: vicina alla città (10 minuti scarsi a piedi dalla piazza dei miracoli), con la piscina per far sfogare i ragazzi al rientro dalle due giornate in giro tra Pisa e Lucca. La mobilhome (avevamo quella con tre camere) adeguata come spazi, pulita e nuova. Personale garbato. Il camping ha un ristorante (mediocre ma comodo se non si vuole cucinare e neanche andare in città di sera) un piccolo market e il bar sulla piscina. Complessivamente buono"|"Camping Village Torre Pendente"|"05/07/2019"|"SCORE"|""|"sp"
"Sissy V"|"L'albergo è a pochi minuti dalla Stazione centrale. Abbiamo apprezzato la cura dei dettagli, la pulizia, i  letti comodi, la tranquillità, la colazione varia e abbondante, l'atmosfera familiare e la cordialità e disponibilità dei proprietari. Confermiamo i numerosi i giudizi molto positivi che ci avevano orientato nella scelta.…"|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"ce"
"fantacalcio24"|"Tutto perfetto staff e posizione ottimi..unico neo camere un po' datate... Ma molto spaziose.. posizione vicino alla stazione perfetta sia x arrivi e partenze grazie anke al servizio navetta, 10/15 min a piedi dal centro .. lo staff simpatico e disponibile..colazione un po' caruccia...…"|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"ce"
"sergiodec"|"La posizione della struttura è abbastanza strategica:a 10 minuti dalla stazione e a 10 minuti dal centro. Hotel abbastanza piccolo con una quindicina di stanze ma tutte di recente ristrutturazione. La pulizia sia delle camere che degli spazi comuni eccellente. Unica pecca la colazione: non è molto variegata (questo non vuol dire che sia misera) ma vi ricordo che si tratta di un piccolo hotel a conduzione familiare. Se dovessi ritornare a Pisa, ci ritornerei e consiglio anche a voi di alloggiare presso questa struttura.…"|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"ce"
"Roberto M"|"Hotel piccolo ma accogliente, personale gentilissimo e disponibile, Camera (la mia singola) generosa nelle dimensioni e pulitissima, bagno extra large, buona e abbondante la colazione, wi-fi ok, parcheggio interno privato (rarissimo a Pisa), 10 minuti a piedi dal centro. Se vi interessa un albergo semplice ma con questa qualità, allora è quello giusto.…"|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"ce"
"enza70"|"Camera singola carina non ben collocata la televisione, bagno spazioso, kit cortesia sufficiente. Colazione internazionale varia, consiglio di offrire qualche prodotto dolce fresco e non solo confezionato. Personale gentile e molto disponibile."|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"ce"
"nicola g. d"|"L'hotel ha un suo fascino: contenuto nelle sue dimensioni, ma notevole nei contenuti. Ottime stanze, ottima pulizia, ottimo servizio. I proprietari sono accoglienti e capaci. C'è anche la possibilità di parcheggiare l'auto all'interno dell'Hotel."|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"sp"
"raffaele f"|"Per il nostro capodanno a Pisa abbiamo scelto questo Hotel. Abbiamo soggiornato una sola notte e ci siamo trovati molto bene prezzo nella media forse un pò alto però posizione comoda, camera pulita e calda... insomma tutto quello di cui si ha bisogno c’è! Anche il personale molto cordiale.Unica pecca 10€ il parcheggio interno è da rapina proprio!"|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"sp"
"ElliMuso"|"Prenotato il venerdì per il sabato.Quando siamo arrivati abbiamo avuto una piacevolissima sorpresa, hotel molto bello, personale professionale e cordiale, davvero consigliato per chi necessita di un luogo di appoggio per la notte. Vicino alla stazione e a 10/15 min dal centro di Pisa."|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"ce"
"G. C."|"Professionalità cordialità e gentilezza dei titolari. Stanza spaziosa e pulita, bagno grande con finestra. Ottima e abbondante la colazione. Struttura vicino la stazione, piazza dei Miracoli raggiungibile con una piacevole passeggiata. Parcheggio riservato."|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"ce"
"pimpisu90"|"Ottimo hotel, abbiamo soggiornato per 5 notti, camera pulita, personale gentile e non invadente, ambiente sempre caldo.. E soprattutto nella camera spaziosa regnava la pace.. Bella silenziosa.. Perfetto per chi deve viaggiare in treno.. Come noi. Lo consiglio.."|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"sp"
"Valiant F"|"Facile da trovare e con possibilità di parcheggio e anche di un piccolo è tranquillo giardino. Ho passato due notti nel silenzio e nella tranquillità, la simpatia e la cordialità sono di casa. La stanza molto ampia, pulita e con stile, mi sono sentito come a casa, la colazione é molto abbondante.Vicino alla Stazione e a venti minuti a piedi (che dopo una bella mangiata toscana,  non fanno male) dalla famosa Torre.Il costo é medio/basso, consiglio di provarlo."|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"ce"
"Rosario P"|"Mi sarei aspettato molto di più. Invece la struttura è angusta e poco confortevole. Colazione adeguata alla categoria: salato pressoché inesistente e dolci industriali. Prezzo molto alto rapportato alla qualità."|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"sp"
